exact_id,product,operation_id,method,path,response_codes,development_status,verification_status,overall_status,qa_status,basis_sha,source_path,qa_comment
ADM-admApprovalPolicies,ADM,admApprovalPolicies,GET,/adm/api/approvals/policies,200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admApprovalPolicySave,ADM,admApprovalPolicySave,POST,/adm/api/approvals/policies,200;400;401;403;404;409;422;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admApprovalPolicyDetail,ADM,admApprovalPolicyDetail,GET,/adm/api/approvals/policies/{policyCode}/versions/{version},200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admApprovalRequest,ADM,admApprovalRequest,POST,/adm/api/approvals/requests,200;201;400;401;403;404;409;422;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admApprovalRequestDetail,ADM,admApprovalRequestDetail,GET,/adm/api/approvals/requests/{id},200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admApprovalDecision,ADM,admApprovalDecision,POST,/adm/api/approvals/requests/{id}/decisions,200;400;401;403;404;409;422;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admApprovalExecute,ADM,admApprovalExecute,POST,/adm/api/approvals/requests/{id}/execute,200;400;401;403;404;409;422;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admApprovalReconcile,ADM,admApprovalReconcile,POST,/adm/api/approvals/requests/{id}/reconcile,200;400;401;403;404;409;422;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admAuditLogFindAuditLogs,ADM,admAuditLogFindAuditLogs,GET,/adm/api/audit-logs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admAuditDeliveryList,ADM,admAuditDeliveryList,GET,/adm/api/audit-logs/deliveries,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
