defect_id,priority,area,status,source_paths,finding,impact,required_action,review_sha
QA35-DF-001,P0,Governance/Evidence,실패,cpf-docs/work/current/CPF_CURRENT_WORK_REQUEST.md;cpf-docs/work/current/CPF_20260731_QA34_GPT_FINAL_DEVELOPMENT_COMPLETION_REPORT.md,"Latest master is e1f8bef..., but the completion report remains based on c2e1680... and the current request says only one independent verification remains.",Post-push canonical state and actual source SHA are inconsistent.,Rebaseline all current/handover/continuity/matrix/evidence documents to the latest SHA after source repair and forbid stale baseline promotion.,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-002,P0,Verification Wrapper,실패,cpf-tools/scripts/verify-cpf-qa34-all.ps1,The all-wrapper calls missing reclassify-cpf-qa33-exact-sha.py. The repository contains reclassify-cpf-qa33-matrices.py instead.,Codex one-pass verification fails before final reclassification.,Fix the command contract and add a wrapper dependency/preflight self-test that checks every referenced script and parameter before expensive execution.,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-003,P0,Evidence Finalization,실패,cpf-tools/scripts/verify-cpf-qa34-finalize.ps1,The finalize wrapper calls missing verify-cpf-qa34-evidence-closure.py.,Final exact-SHA evidence index cannot be produced.,"Implement the evidence closure validator, its schema/negative fixtures, or remove the dead wrapper and replace it with one canonical finalization path.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-004,P0,Evidence/QA33,실패,cpf-tools/scripts/verify-cpf-qa34-runtime-matrix.ps1;cpf-tools/scripts/reclassify-cpf-qa33-matrices.py,"A finite runtime step list can emit all QA33 138 requirement IDs, 414 scenario IDs, and 552 result IDs wholesale. Reclassification trusts array membership rather than scenario-specific proof.",A broad PASS can falsely complete unrelated or unexecuted rows.,"Replace bulk ID fan-out with step-to-requirement-to-scenario-to-result mapping. Every completed row must reference the exact command, exit code, artifact hash, environment, and scenario result that proved it.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-005,P0,Matrix/Completion Semantics,실패,cpf-docs/quality/CPF_20260731_QA34_REQUIREMENT_MATRIX.csv;cpf-docs/quality/CPF_20260731_QA34_SCENARIO_MATRIX.csv;cpf-docs/quality/CPF_20260731_QA34_RESULT_MATRIX.csv,All rows are marked development complete because Source/Test/Gate/Runner files exist. Scenarios are generic normal/error/recovery sentences and share one evidence ID.,Runner existence is promoted to feature completion and masks missing consumers or runtime behavior.,"Define executable completion rules per row. Development completion requires compileable source, real consumer, positive/negative test, and owner boundary. Verification completion requires row-specific execution evidence.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-006,P0,Frontend/OpenAPI,실패,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-biz-admin/frontend/openapi/cpf-openapi.json,Tracked ADM OpenAPI contains only two auth operations and zero schemas; BZA contains four auth operations and zero schemas.,Claims of full backend OpenAPI and typed client coverage are unsupported.,"Export the full authenticated backend OpenAPI from runtime, canonicalize it, commit complete schemas/error contracts, and prove controller-to-operation and operation-to-consumer coverage.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-007,P0,Frontend/Generated Artifact,실패,cpf-admin/frontend/src/generated;cpf-biz-admin/frontend/src/generated,"Tracked generated artifacts remain legacy: marker schema v2, old c1f273... source SHA, legacy source-sha.json, and missing operation-contract/Orval output expected by the new verifier.",Fresh clone generation causes tracked drift or fails before typecheck/build.,"Regenerate ADM/BZA outputs with schema v3, remove legacy SHA artifacts, commit all canonical generated files, and require clean post-generation git status.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-008,P0,Frontend/Consumer,재확인 필요,cpf-admin/frontend/src/shared/cpfApi.ts;cpf-admin/frontend/src/app/methods;cpf-admin/frontend/src/features,Generic query/mutation wrappers require operation lookup for many routes while the tracked operation contract is incomplete.,Non-auth screens may fail operation resolution or continue to use URL wrappers without generated typed consumers.,"Migrate real screens to generated typed operations/hooks, maintain an approved exception list only for binary/stream endpoints, and enforce operation usage coverage.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-009,P0,OpenAPI Coverage,부분 구현,cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py,"Coverage is based on regex and operation ID counting. It does not prove composed routes, inherited/interface mappings, DTO schemas, validation constraints, or standard error responses.",A numerically matching but semantically incomplete OpenAPI can pass.,"Add runtime route inventory and semantic schema comparison, including request/response DTO, validation, auth, paging, and 401/403/404/409/429/500/503 responses.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-010,P0,Database,부분 구현,cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1,The matrix performs clean install and then individual migration operations without first proving an exact QA32 baseline schema and sequential version state for each vendor.,Fresh install success can be confused with supported upgrade-chain success.,"Create independent Oracle/PostgreSQL/MariaDB baseline instances, verify baseline manifest/checksum, apply V83/V86-V91 sequentially with state assertions, then rollback/reapply with post-step verification.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
