requirement_id,priority,area,requirement_type,owner_module,source_scope,consumer_scope,requirement,implementation_details,positive_acceptance,negative_acceptance,concurrency_failure_recovery,evidence_required,completion_prohibited_when,related_defects,initial_status
QA33-REQ-001,P0,Baseline,SOURCE_REMEDIATION,cpf-docs,cpf-docs/work/review/CPF_20260730_QA32_DEVELOPMENT_COMPLETION_REPORT.md,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",최신 exact SHA와 clean worktree 기준으로 보고서·Evidence·Manifest를 재생성하고 stale Overlay 보고를 superseded 처리한다.,현재 master가 1536a0d인데 보고서는 d31bd127/WORKTREE_OVERLAY_UNCOMMITTED를 Head로 기록한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-001,미구현
QA33-REQ-002,P0,Evidence,SOURCE_REMEDIATION,cpf-docs,cpf-docs/evidence/current/CPF_20260730_QA32_COMPLETION_EVIDENCE.json,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",sanitized exact-SHA Completion/Requirement/Scenario Evidence와 JSON Schema를 정본 경로에 추가한다.,Push된 exact SHA의 QA32 Completion Evidence 정본이 없다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-002,미구현
QA33-REQ-003,P0,Evidence,SOURCE_REMEDIATION,cpf-docs,cpf-docs/evidence/templates/CPF_QA32_COMPLETION_EVIDENCE_TEMPLATE.json,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Template·Schema·negative fixture·integrity gate를 추가한다.,QA32 Integrity가 요구한 Completion Evidence Template이 없다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-003,미구현
QA33-REQ-004,P0,Evidence,SOURCE_REMEDIATION,cpf-docs,cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Requirement/Scenario Evidence 필수 필드를 통일하고 schema gate를 추가한다.,Requirement Evidence Template이 없다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-004,미구현
QA33-REQ-005,P0,Evidence,SOURCE_REMEDIATION,repository-wide,.gitignore,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Evidence 파일명/추적 정책을 sanitized 정본으로 통일하고 git check-ignore gate를 추가한다.,cpf-docs/evidence/** ignore 규칙과 요구된 일반 .json Evidence 이름이 충돌한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-005,미구현
QA33-REQ-006,P1,Quality Gate,SOURCE_REMEDIATION,cpf-tools,cpf-tools/scripts/verify-cpf-qa32-completion.py,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",완료 행마다 exact-SHA Evidence 파일·명령·exit code·report hash를 직접 검증한다.,CSV 상태 문자열과 얕은 Marker Gate만으로 개발 완료를 계산한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-006,미구현
QA33-REQ-007,P1,Quality Gate,SOURCE_REMEDIATION,cpf-tools,cpf-tools/scripts/verify-cpf-qa32-primary-engines.py,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact","Gradle/npm compile, dependency graph, consumer call, runtime smoke와 marker gate를 분리한다.",파일 존재·문자열 Marker·키워드 검색이 대부분이며 compile/call graph/state semantics를 검증하지 않는다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-007,미구현
QA33-REQ-008,P1,Result Matrix,SOURCE_REMEDIATION,cpf-docs,cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",각 행을 Owner/Consumer/Method/SQL/Test/Evidence exact path로 축소하고 증거 없는 완료를 철회한다.,서로 다른 Requirement가 동일한 광범위 wildcard Source와 동일 메모를 반복한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-008,미구현
QA33-REQ-009,P1,Documentation Scope,SOURCE_REMEDIATION,README*,README*;cpf-docs/guides/**,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",제품 결함 수에서는 제외하되 Source/Documentation provenance scope를 별도 Manifest로 분리한다.,별도 AI 관리 범위가 QA32 Source Commit에 섞였다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-009,미검증
QA33-REQ-010,P0,Build,SOURCE_REMEDIATION,settings.gradle,settings.gradle;cpf-tools/build/platform-bom/**,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Included Build를 복원하거나 includeBuild를 제거하고 BOM 공급 경로를 단일화한다.,includeBuild 대상 platform-bom Source가 삭제됐는데 includeBuild가 남아 있다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-010,미구현
