defect_id,priority,area,status,source_paths,finding,impact,required_action,related_requirements,development_status,verification_status,remediation_evidence
QA34-DF-001,P0,Build,실패,settings.gradle;cpf-tools/build/gradle-plugin/build.gradle;cpf-member/build.gradle,복원 Plugin ID com.cpf.platform-conventions와 Golden Reference Consumer com.cpf.domain-conventions가 불일치하고 Included Build가 pluginManagement 공급 경로로 연결되지 않았다.,fresh clone Project 구성 실패 또는 과거 Local Plugin 의존,Plugin ID/Group/Artifact/Marker와 settings pluginManagement를 단일화하고 empty cache Gradle help/projects로 검증,QA33-REQ-010;QA33-REQ-011;QA33-REQ-118,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-002,P0,Build/Artifact,실패,cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle;cpf-tools/scripts/verify-local-artifact-propagation.ps1,새 BOM/Plugin Publication 좌표가 기존 Artifact Federation 정본과 불일치한다.,LOCAL/REMOTE/OFFLINE 소비 및 Upgrade 계약 붕괴,"Canonical 좌표를 결정하고 Root Publish, Verifier, Generator, Consumer를 동시 이관",QA33-REQ-118;QA33-REQ-119,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-003,P0,Evidence,실패,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,"Evidence sourceSha는 c1f273..., resultSha는 null, scope는 BASE_SHA_PLUS_ROOT_OVERLAY이며 최신 master da491... exact SHA가 아니다.",Push 후 Source와 검증 결과의 동일성 미증명,최종 Push exact SHA clean tree에서 전 Gate 재실행 후 sourceSha/resultSha를 고정,QA33-REQ-001;QA33-REQ-002;QA33-REQ-003;QA33-REQ-113,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-004,P0,Frontend/Evidence,실패,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-biz-admin/frontend/openapi/cpf-openapi.json;cpf-admin/frontend/scripts/verify-generated-client.mjs,OpenAPI/Generated Marker가 c1f273...를 유지하고 CPF_SOURCE_SHA가 없으면 현재 Git HEAD 비교를 생략한다.,stale Generated Client가 Build PASS,Git HEAD exact SHA 비교를 항상 fail-closed하고 Push 후 재생성,QA33-REQ-017;QA33-REQ-018;QA33-REQ-120,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-005,P0,Frontend/API,부분 구현,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-biz-admin/frontend/openapi/cpf-openapi.json;cpf-admin/frontend/scripts/generate-checked-client.mjs,OpenAPI Snapshot은 인증 일부 Operation과 빈/자유 Schema만 포함하고 bootstrap generator는 generic 함수만 만든다.,제품 API/DTO/Error 계약 미생성 및 raw API 혼재,실제 Backend OpenAPI 전체 Export와 Orval typed client로 전환,QA33-REQ-120,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-006,P1,Frontend/QA Gate,실패,cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py;cpf-admin/frontend/scripts/write-generated-marker.mjs,overlay mode가 exact SHA/lock/browser 검증을 건너뛰고 non-overlay Gate와 Marker Producer Schema가 불일치한다.,Development Gate false PASS,"Producer/Verifier Schema 통일, overlay와 exact-SHA Gate 분리, negative fixture 강화",QA33-REQ-006;QA33-REQ-120,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-007,P1,Frontend/Test,부분 구현,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts,Visible Navigation 최대 40개만 검사하고 API injection이 없으면 assertion 없이 PASS하며 권한 Test도 marker count 중심이다.,Route/권한/API 오류 회귀 미검출,"Router Registry 전체, 강제 injection assertion, 실제 401/403/위험조치 검증",QA33-REQ-120,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-008,P1,Database/QA Gate,부분 구현,cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py,Semantic Parity Gate가 SQL 실행 없이 Token 존재와 Type 문자열만 확인한다.,문법/Constraint/Backfill/Rollback 결함 false PASS,Static Token Gate로 명칭 변경하고 3 Vendor 실제 실행 Gate 추가,QA33-REQ-104;QA33-REQ-109,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-009,P0,Traceability,미검증,cpf-docs/work/review/CPF_20260731_QA33_FINAL_STATUS.json;cpf-docs/quality/CPF_20260731_QA33_UNRESOLVED_REGISTER.csv,Requirement Verification 138건 전체가 미검증이며 Result 401건이 미검증이다.,QA33 전체 완료 판정 불가,QA34 exact-SHA Runtime으로 138/414/552를 재판정,QA33-REQ-001~QA33-REQ-138,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
QA34-DF-010,P0,Security,재확인 필요,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java,BFF SecurityFilterChain이 ADM/BZA 전체 Matcher에 anyRequest().permitAll()을 적용한다.,다른 Chain/Method Security 공백 시 인증·권한 우회,FilterChain Order/Matcher와 모든 위험 API의 401/403 통합 검증 및 명시적 Authorization,QA33-REQ-019;QA33-REQ-021,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE
