change_id,area,decision,primary_oss,license_policy,current_paths,target_modules,cpf_owned,legacy_to_remove,mandatory_gates,rollback
OSS-MIG-001,ADM/BZA UI Widgets,ADOPT_NOW,Element Plus + TanStack Table,MIT + MIT,cpf-admin/frontend; cpf-biz-admin/frontend,shared CPF UI wrappers + ADM/BZA feature screens,"Design tokens, permission/action policy, PII masking, audit UX, feature composition",custom generic table/pager/dialog/menu/form implementations after consumer parity,Playwright 3 browsers; server paging/sort/filter; keyboard/ARIA; bundle duplicate/legacy import 0,migration wave feature flags only during development; final release has one Primary path
OSS-MIG-002,Frontend Routing,ADOPT_NOW,Vue Router,MIT,ADM/BZA hash/location routing,ADM/BZA router registry and guards,menu/permission metadata and business route IDs,hashchange/location.hash/history custom primary routing,deep link/back-forward/refresh/not-found/forbidden E2E,route parity branch before legacy removal
OSS-MIG-003,Frontend Client State,ADOPT_NOW,Pinia,MIT,ADM mixins/BZA global reactive,"auth subject, environment, UI preferences only",state persistence allow/deny and security classification,large cross-feature mixins/global mutable stores,"store isolation, logout reset, no token persistence",feature-by-feature store migration
OSS-MIG-004,Frontend Server State,ADOPT_NOW,TanStack Vue Query,MIT,screen-level fetch/loading/error/cache,generated API query/mutation hooks,"query keys, error contract, idempotent retry policy",manual cache/refetch/loading logic,cancel/invalidation/stale/error/unknown tests,per-feature adapter migration
OSS-MIG-005,Frontend Form Validation,ADOPT_NOW,Zod + Element Plus Form,MIT + MIT,manual input/select validation,typed feature form schemas,"backend validation source of truth, audit reason, null/empty policy",generic manual coercion for important workflows,cross-field/nullable/backend error focus tests,form-by-form parity
OSS-MIG-006,Frontend API Client,ADOPT_NOW,Orval,MIT,manual fetch/URL/casts,ADM/BZA generated clients + shared mutator,"OpenAPI, headers, CSRF, standard error, operationId",raw fetch and manual endpoint strings except narrow approved mutator,"clean regeneration, spec hash, contract and browser tests",endpoint migration waves
OSS-MIG-007,Browser Security,ADOPT_NOW,Spring Security + Spring Session JDBC,Apache-2.0,ADM/BZA authentication/session,ADM/BZA BFF,"Role/Menu/Button/API/Data Scope, session audit/forced termination",browser readable access/refresh token persistence and duplicate auth filters,HttpOnly/Secure/SameSite/CSRF/session fixation/role revoke/multi-instance,server session cutover with controlled logout
OSS-MIG-008,Gateway Data Plane,ADOPT_NOW,Spring Cloud Gateway Server Web MVC + Embedded Tomcat,Apache-2.0,cpf-gateway custom Web MVC proxy,single cpf-gateway executable bootJar,route/binding/server group/approval/version/ACK/NACK/safety/ledger,"custom HTTP forwarding Primary path, bootWar, WebFlux artifact plans","route/filter parity, scale-out, load/failure, artifact dependency inspection",SCG adapter parity before custom path deletion
OSS-MIG-009,Messaging,ADOPT_NOW,Apache Kafka,Apache-2.0,core Kafka/AMQP api exposure and CPF messaging,cpf-message-api + kafka adapter/starter,"message contract, schema/version, idempotency, DLT, attempt ledger",AMQP primary and broker dependencies from core API,Testcontainers Kafka partition/rebalance/duplicate/DLT/outage,topic/consumer migration with dual-read only if explicitly time-boxed
OSS-MIG-010,Messaging Unit Test,ADOPT_NOW,CPF In-memory Test Adapter,CPF code,tests,cpf-message-testkit,simple deterministic contract adapter,none; must not emulate full Kafka,contract parity and duplicate/redelivery injection,not applicable
OSS-MIG-011,Resilience,ADOPT_NOW,Spring Cloud CircuitBreaker + Resilience4j,Apache-2.0,service calls/gateway/agents,standard outbound adapters,"retry eligibility, request hash, unknown result, policy approval, attempt ledger",custom retry/circuit loops and duplicated layers,fault injection and no duplicate retry layers,adapter-by-adapter parity
OSS-MIG-012,Batch Engine,ADOPT_SCOPED,Spring Batch,Apache-2.0,cpf-batch execution metadata,Job/Step/JobRepository/ExecutionContext only,definition/approval/topology/agent/file-shell/unknown/fencing/ADM,duplicated generic job/step metadata after parity,restart/partition/stop/failure/DB lifecycle,job type migration waves
OSS-MIG-013,Persistent Scheduler,ADOPT_SCOPED,db-scheduler; Quartz only advanced optional adapter,Apache-2.0,cpf-batch scheduler,CpfScheduleTriggerPort adapters,schedule approval/version/windows/audit and job ownership,duplicated persistent cron/cluster logic,misfire/takeover/duplicate/clock skew,adapter switch with trigger reconciliation
OSS-MIG-014,DB Migration,ADOPT_NOW,Flyway OSS Core,Apache-2.0 OSS artifacts only,cpf-tools/db vendor migrations,3DB schema history/order/checksum engine,"vendor SQL, backup/restore, rollback scripts, evidence",duplicated history/order execution logic after parity,MariaDB/PostgreSQL/Oracle fresh/upgrade/failure/restore,DB backup + forward-fix/restore
OSS-MIG-015,Observability,ADOPT_NOW,Micrometer Observation + OpenTelemetry OTLP,Apache-2.0,core observability,observation conventions + exporter adapter,"CPF execution IDs, attribute policy, masking, attempt semantics",OTel SDK types from public API and duplicate instrumentation,trace propagation/cardinality/masking/collector outage/overhead,exporter disable without product failure
OSS-MIG-016,Local Cache,ADOPT_NOW,Caffeine,Apache-2.0,cpf-common cache,opt-in local cache starter,key/TTL/invalidation/fail policy,cache dependency from common API,stampede/eviction/metrics/provider absence,cache bypass to source of truth
OSS-MIG-017,Distributed Cache,OPTIONAL_ADAPTER,Valkey-compatible provider,Valkey BSD-3-Clause; client artifacts separately verified,Spring Data Redis assumptions,opt-in valkey adapter; server not bundled,provider contract and consistency policy,Redis server bundling/default assumptions,multi-instance/outage/invalidation/no server binary in package,disable provider/use DB or local cache
