evidence_id,scope,command,required_environment,required_outputs,exact_sha_rule,time_rule,sanitization_rule,pass_rule,status
QA33-EV-001,Baseline,git rev-parse HEAD; git rev-parse origin/master; git status --porcelain=v1,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,HEAD/origin equality and clean status,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-002,Request Integrity,python cpf-tools/scripts/verify-cpf-qa33-request-integrity.py --root .,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,"all package files, hashes, IDs, counts",sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-003,Gradle Settings,gradlew.bat projects help --no-daemon --stacktrace,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,settings/includeBuild/project path resolution,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-004,Java Full,gradlew.bat clean test --no-daemon --stacktrace,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,Java25 all module compile/test,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-005,Dependency Graph,gradlew.bat dependencies dependencyInsight,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,lock/convergence/owner boundaries,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-006,Published POM,gradlew.bat publishAllPublicationsToCpfStagingRepository,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,POM/BOM/sources/javadocs,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-007,Offline,gradlew.bat clean test --offline -PcpfArtifactMode=OFFLINE,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,network-blocked build,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-008,ADM npm,cd cpf-admin/frontend && npm ci && npm run verify,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,lock/lint/typecheck/unit/build,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-009,BZA npm,cd cpf-biz-admin/frontend && npm ci && npm run verify,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,lock/lint/typecheck/unit/build,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-010,ADM Browser,cd cpf-admin/frontend && npx playwright test,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,Chromium/Firefox/WebKit routes/session/a11y,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
QA33-EV-011,BZA Browser,cd cpf-biz-admin/frontend && npx playwright test,exact Java25/Node/npm/DB/Kafka/Browser/tool versions recorded,Chromium/Firefox/WebKit auth/permission/a11y,sourceSha=resultSha=latest master exact SHA; input/output artifact SHA-256 recorded,startedAt/finishedAt Asia/Seoul and duration required,password/token/secret/session/cookie/private key/PII raw value prohibited; scan report required,exitCode=0 and failures=0; not executed means 미검증,미검증
