surface_type,public_name,developer_choice,internal_components,required_convenience_api,required_extension_spi,reason
profile,minimal-domain,최소 Domain 서비스,"base runtime, core/common",표준 Context/Error/Identifier,없음,최소 진입점
profile,web-api,REST API,"web contract, OpenAPI, standard header/error, basic observability",표준 API 응답/오류/페이지/거래 Header,OpenAPI customizer 제한 SPI,OpenAPI를 별도 Starter로 고르지 않음
profile,secure-api,인증 MSA API,web-api + security resource-server,"CurrentActor, authorization, masking",principal/claim mapping SPI,API 보안 사용 사례
profile,browser-bff,ADM/BZA/BFF,web-api + browser session security,"session actor, CSRF, authorization",session store/identity mapping SPI,브라우저 세션 사용 사례
profile,event-service,이벤트 기반 서비스,messaging group + selected provider + reliability,"publish/consume, receipt, tracking, replay",broker provider SPI + conformance testkit,provider별 Profile 제거
profile,batch-service,Batch/Worker/Scheduler,cpf-batch runtime + internal scheduler provider,"job/worker execution, checkpoint, control",scheduler/worker extension SPI,Quartz 공개 Starter 제거
capability,data,persistence=jdbc|mybatis; cache=caffeine|valkey,"JDBC, MyBatis, Caffeine, Valkey","transaction, paging, routing, cache/lock",dialect/cache provider SPI,데이터 접근·캐시 선택 통합
capability,messaging,provider=kafka|rabbitmq|jms|ibm-mq,"broker core, reliability, provider leaves","publish/consume, standardized result, outbox/inbox/DLQ",customer broker SPI + contract testkit,Provider 교체와 운영 신뢰성
capability,integration,http/tcp/fixedlength/iso8583 기능 선택,"HTTP service call, TCP runtime, codecs/protocols","request, target, correlation, UNKNOWN/reconcile",transport/codec/protocol SPI,외부연계 공통 운영모델
capability,file,attachment/archive/tabular/sftp 기능 선택,"attachment, archive, POI, SFTP leaves","store/process/send/receive, receipt/tracking",storage/exchange/scanner SPI,파일 생명주기 통합
capability,notification,email/sms provider 선택,"notification core, outbox, email, SMS SPI","template-based send, recipient preference, receipt",notification provider SPI + testkit,사람 대상 전달의 별도 업무 의미
capability,security,mode와 secret provider 선택,"resource server, session, service identity, secret","current actor, authorize, mask, secret resolve",identity/secret provider SPI,보안 정책 일관성
capability,platform-operations,observability/runtime-control/channel-registry 기능 선택,"observability, internal OTLP, runtime control, channel registry","operation tracking, runtime change request, status",exporter/applier/registry SPI,플랫폼 운영 기능 통합
