requirement_id,work_package,priority,category,title,user_outcome,implementation_scope,required_consumer_flow,validation,required_evidence,completion_blockers,scope_type,requested_status
QA31-GOV-001,WP00,P0,Baseline,최신 exact SHA 기준선,모든 판정이 실제 최신 master 기준,Active 문서·Evidence·Matrix에 base/head/source SHA 기록,QA Gate·후속 세션,stale SHA injection에서 Gate 실패,SHA report JSON,과거 SHA 완료 허용,DefectClosure,OPEN
QA31-GOV-002,WP00,P0,Integrity,요청 원본 불변성,개발 AI가 검수 요건을 완화하지 못함,요청서·CSV·Manifest Hash 검증,개발 AI·QA·Codex,원본 1byte 변경 시 Exit 1,integrity report,원본 직접 상태 변경,DefectClosure,OPEN
QA31-GOV-003,WP00,P0,Matrix,926 Matrix Final Gate 연결,미검증 행이 완료를 통과하지 못함,통합 Matrix 행별 상태·필수 여부·Evidence 검사,Final Gate,필수 미검증 행 주입 시 실패,matrix gate report,기존 Ledger만 검사,DefectClosure,OPEN
QA31-GOV-004,WP00,P0,Evidence,완료 Evidence 실재성,완료 주장을 재현 가능,경로·sourceSha·command·exitCode·time·hash·sensitiveDataRemoved,모든 QA 행,파일 삭제/잘못된 SHA 시 실패,per-requirement JSON,문서 문자열만 Evidence,DefectClosure,OPEN
QA31-GOV-005,WP00,P0,Status,실행형 상태 엄격화,미실행을 완료로 보지 않음,Browser/DB/Redis/Multi-instance/Full Build 상태 분리,Matrix·Completion Report,미실행은 미검증 유지,result matrix,개발 완료와 검증 완료 합산,DefectClosure,OPEN
QA31-GOV-006,WP00,P0,Architecture,구형 Gateway 모델 제거 Gate,병렬 모델 재유입 방지,파일·Import·Bean·Test·Classpath 검색,Architecture Test,잔존 Anchor 주입 시 실패,arch test report,삭제 Script만 있고 Tree에 잔존,DefectClosure,OPEN
QA31-GOV-007,WP00,P1,DocsBoundary,README·Guide 제외,병행 AI 문서 작업과 충돌 방지,README*/cpf-docs/guides/cpf-tools README 변경 제외 검사,개발·Codex,무관 변경 시 Warning/제외,changed-file report,문서 차이를 Product 결함 처리,DefectClosure,OPEN
QA31-GOV-008,WP00,P1,Packaging,Root-relative 결과 ZIP,사용자가 안전 적용·Push 가능,변경파일+결과+Evidence+Manifest만 패키징,개발 AI·사용자,빈 Root 파일/Secret/Cache 포함 시 실패,zip manifest,임의 절대경로·루트 파일,DefectClosure,OPEN
QA31-GWY-001,WP01,P0,Route,Ingress/Target Path 분리,Wildcard 요청이 정확한 Target URI 호출,Path variable·suffix·query·rewrite typed contract,Public Controller→Snapshot→Proxy,wildcard/path traversal/query E2E,request/target trace,pattern 자체를 Target path로 전송,DefectClosure,OPEN
QA31-GWY-002,WP01,P0,Apply,ACK 전 신규 Route default deny,검증되지 않은 Route 외부 노출 방지,Candidate validation·LKG·activation·ACK 순서,Synchronizer·Snapshot·Provider,cold start/no ACK/restart,apply status+request result,Candidate 자동 활성화,DefectClosure,OPEN
QA31-GWY-003,WP01,P0,Reconcile,Drift·Rollback 원자성,부분 적용 시 LKG 유지·복구 가능,event fencing·expected/applied version·rollback,Distribution→Gateway instances,한 Instance 실패·재기동,per-instance ACK,전체 성공으로 평탄화,DefectClosure,OPEN
QA31-GWY-004,WP01,P0,Timeout,ADM Remote Timeout/Unknown,Owner Down 시 UI Hang 없이 결과불명 표시,WebClient connect/response/overall timeout·typed error,ADM Remote Port,timeout/reset/5xx/business conflict,typed error evidence,무제한 block·503 평탄화,DefectClosure,OPEN
QA31-GWY-005,WP01,P1,Capability,Local/Remote/NotInstalled parity,Topology와 설치 상태를 정확히 표시,Auto Provider와 Capability detail,ADM UI/API,local/remote/offline,capability response,빈 목록을 정상으로 표시,DefectClosure,OPEN
QA31-GWY-006,WP01,P0,Legacy,구형 Route 소비자 0,새 Runtime 단일화,old package file/import/test 제거,Build/Arch Test,repository search 0,search report,호환성 명목 병존,DefectClosure,OPEN
QA31-GHL-001,WP02,P0,ConnectionTest,Test Type별 실제 Adapter,운영자가 검사 단계 의미를 신뢰,NETWORK/TCP/TLS/APPLICATION/GATEWAY_E2E,ConnectionTest Worker,단계별 성공/실패,operation/result rows,모든 Type 동일 Socket,DefectClosure,OPEN
QA31-GHL-002,WP02,P0,Health,Application Probe 실제 수행,TCP-UP/APP-DOWN 구분,HTTP/Protocol request·expected status/body policy,Health Worker→Target,500/hang/auth fail,health history,socket connect만으로 UP,DefectClosure,OPEN
QA31-GHL-003,WP02,P0,Routing,Health 기반 Routable 판정,비정상 Instance 제외·회복 반영,threshold/hysteresis/stale/fencing,Health→Target Selector,flap/stale/recovery,selection reason,last result만 사용,DefectClosure,OPEN
QA31-GHL-004,WP02,P0,Attempt,시도별 Attempt 원장,Retry/Failover의 모든 단계 추적,Attempt callback/event contract,Service Call→Gateway Ledger,3 attempts mixed result,3 attempt rows,최종 1행·attemptNo에 총수,DefectClosure,OPEN
QA31-GHL-005,WP02,P0,Spool,Durable Spool Crash Replay,DB 장애에도 원장 유실 0,WAL fsync·capacity·quarantine·idempotent replay,Gateway instances→DB,DB down/crash/duplicate/spool full,file+DB evidence,DuplicateKey 무조건 삭제,DefectClosure,OPEN
QA31-GHL-006,WP02,P1,Operations,운영 KPI 실제 원장 기반,ADM KPI가 가짜/빈 값 아님,transaction/attempt/spool/drift aggregation,Ledger→Operations API/UI,known dataset,DB query+UI,정적/메모리 숫자,DefectClosure,OPEN
QA31-GSC-001,WP03,P0,HMAC,Body Hash 포함 서명,명령 Body 변조 차단,"method,target,contentType,bodySha,caller,operator,time,nonce,audience",ADM Remote→Gateway Filter,1byte body tamper,401/403 audit,Header만 서명,DefectClosure,OPEN
QA31-GSC-002,WP03,P0,Replay,Cross-instance Replay 차단,동일 요청을 다른 Instance에서 재사용 불가,shared nonce store or instance audience,Gateway cluster,same nonce different node,nonce store evidence,JVM map만 사용,DefectClosure,OPEN
