requirement_id,priority,area,requirement,owner_module,actual_consumers,related_defects,completion_condition,mandatory_verification,development_status,verification_status
QA35-REQ-001,P0,Governance/Evidence,"Synchronize every current document, matrix, marker, manifest, handover, and evidence reference to the latest actual master SHA after source repair.",cpf-docs;frontend generated markers,All modules and reviewers,QA35-DF-001;QA35-DF-018,No stale pre-push SHA in current scope; only history/archive may retain historical SHAs.,"Stale-SHA scanner, current-document uniqueness gate, clean tree.",미구현,미검증
QA35-REQ-002,P0,Verification Tooling,Repair QA34 all/finalize wrapper dependencies and create a verifier-of-verifiers preflight.,cpf-tools,"Codex, developer, CI",QA35-DF-002;QA35-DF-003,Every referenced script/task/fixture/parameter/output path resolves before expensive work starts.,"Negative fixture for missing script, wrong parameter, missing Gradle task, and unwritable evidence directory.",미구현,미검증
QA35-REQ-003,P0,Evidence,"Implement canonical final evidence closure with schema validation, file hash recomputation, exact-SHA/clean-tree checks, and source-clean external output.",cpf-tools;cpf-docs/evidence,"Release verifier, Codex",QA35-DF-003;QA35-DF-017,Final index proves every required artifact and row without modifying verified source.,Positive and tamper/missing/stale-SHA/dirty-tree negative tests.,미구현,미검증
QA35-REQ-004,P0,Evidence/Matrix,Replace QA33 bulk ID fan-out with step-scoped Requirement/Scenario/Result evidence mapping.,cpf-tools;cpf-docs/quality,"QA33 reclassifier, QA35 closure",QA35-DF-004,A row completes only from its exact scenario result and command evidence; unrelated IDs are rejected.,Strict row-by-row reclassification fixtures covering 138/414/552 counts.,미구현,미검증
QA35-REQ-005,P0,Completion Governance,Replace artifact-existence completion semantics with executable closure semantics.,cpf-docs/governance;cpf-tools,All modules,QA35-DF-005,"Development complete requires owner source, actual consumer, compile, positive/negative tests, migration/generator impact, and no known source defect.",Matrix consistency gate rejects completed rows lacking consumer/test/compile evidence.,미구현,미검증
QA35-REQ-006,P0,OpenAPI,"Export and commit complete ADM/BZA runtime OpenAPI including DTO schemas, validation, auth, paging, and standard errors.",cpf-admin;cpf-biz-admin,ADM/BZA frontend and external consumers,QA35-DF-006;QA35-DF-009,Runtime and tracked canonical snapshots match; controller/routes and schemas are semantically complete.,Runtime route inventory and semantic OpenAPI coverage test.,미구현,미검증
QA35-REQ-007,P0,Frontend Generated Client,"Regenerate and commit ADM/BZA Orval outputs, operation contracts, and marker schema v3; remove legacy source-sha artifacts.",cpf-admin/frontend;cpf-biz-admin/frontend,All ADM/BZA screens,QA35-DF-007,Fresh clone generation produces zero tracked diff and all required files/hash fields exist.,Generation positive test plus stale/missing/tamper/legacy negative fixtures.,미구현,미검증
QA35-REQ-008,P0,Frontend Consumer,Migrate real ADM/BZA screen calls to generated typed operations/hooks and eliminate unapproved raw URL wrappers.,cpf-admin/frontend;cpf-biz-admin/frontend,Route components and feature modules,QA35-DF-008,Every OpenAPI operation has intended consumer or explicit approved non-UI reason; every screen operation resolves.,AST-based operation-consumer graph and browser route smoke.,미구현,미검증
QA35-REQ-009,P0,Frontend Runtime,"Run approved-registry clean npm installation, lint, typecheck, unit, production build, bundle hash, and Chromium/Firefox/WebKit route/error/security E2E.",cpf-admin/frontend;cpf-biz-admin/frontend,Release verifier,QA35-DF-006;QA35-DF-007;QA35-DF-008;QA35-DF-014,Both frontends pass from empty caches with exact versions and no source drift.,"One frontend matrix with stage-specific evidence, not one aggregate boolean.",미구현,미검증
QA35-REQ-010,P0,BFF Security,Create and enforce an actual ADM/BZA endpoint-method-permission matrix.,cpf-starters/security/session-jdbc;cpf-admin;cpf-biz-admin,All privileged controllers,QA35-DF-011,No privileged route is authenticated-only or unowned; READ/WRITE/DELETE/risk operations use correct permission codes.,Real-controller 401/403/CSRF/session/permission tests and inventory gate.,미구현,미검증
QA35-REQ-011,P0,Build,Execute Java 25 empty-cache help/projects/aggregateQualityBuild/publication and generated-domain/TestKit consumption.,root build;cpf-tools/build;generator,All Java modules and generated domains,QA35-DF-014,Fresh clone and empty caches pass with canonical plugin/BOM coordinates.,Exact command/version/hash evidence and post-run clean tree.,미구현,미검증
QA35-REQ-012,P0,Database,Prove exact QA32 baseline to V83/V86-V91 sequential upgrade for Oracle/PostgreSQL/MariaDB.,cpf-tools/db;cpf-tools/scripts,Platform runtime and generated domains,QA35-DF-010,"Each vendor begins from verified baseline manifest, asserts version/schema after each step, then rollback/reapply succeeds.",Three independent DB profiles with install/upgrade/rollback/drift/query evidence.,미구현,미검증
QA35-REQ-013,P0,Kafka/Batch/Scheduler,"Execute real broker, two-worker/multi-instance, ACK failure, rebalance, duplicate, lease/fencing, process-kill, unknown-result, and recovery scenarios.",cpf-batch;messaging starter,"Batch workers, scheduler, control plane",QA35-DF-004;QA35-DF-014,Each scenario has isolated evidence; ledger/reply/ACK order and recovery are proven.,Real Kafka and process control matrix with row-specific IDs.,미구현,미검증
