requirement_id,layer,priority,area,owner,requirement,canonical_mapping,development_status,verification_status,acceptance
ARCH-MISSION,CANONICAL,P0,Architecture/Core,repository/cpf-core,상용 Business Platform Framework의 구축·운영·감사·확장·배포 책임,ARCH-MISSION,부분 구현,미검증,17-axis scenario matrix complete
ARCH-MSA,CANONICAL,P0,Architecture/Core,repository/cpf-core,Modular Monolith·동일 JVM·분리 WAS·MSA에서 동일 Public Contract,ARCH-MSA,부분 구현,미검증,17-axis scenario matrix complete
ARCH-BOUNDARY,CANONICAL,P0,Architecture/Core,repository architecture,Module Owner 단일화와 역방향·순환·타 Owner DB 직접 접근 금지,ARCH-BOUNDARY,부분 구현,미검증,17-axis scenario matrix complete
ARCH-LAYER,CANONICAL,P0,Architecture/Core,repository architecture,Public API·SPI·Internal 경계와 Publication·ArchUnit 강제,ARCH-LAYER,부분 구현,미검증,17-axis scenario matrix complete
CORE-API,CANONICAL,P0,Architecture/Core,cpf-core,"안전하고 발견 가능한 Public API, 거대 Utils·선택 Runtime type 노출 금지",CORE-API,부분 구현,미검증,17-axis scenario matrix complete
CORE-SPI,CANONICAL,P0,Architecture/Core,cpf-core,고객·Generated Domain·기관 Adapter용 안정된 SPI와 lifecycle/failure contract,CORE-SPI,부분 구현,미검증,17-axis scenario matrix complete
CORE-CONFIG,CANONICAL,P0,Architecture/Core,cpf-core,안전한 설정 우선순위·override 범위·버전·승인·감사·rollback,CORE-CONFIG,부분 구현,미검증,17-axis scenario matrix complete
CORE-TESTKIT,CANONICAL,P0,Architecture/Core,cpf-core,Public Contract·Header·Error·Idempotency·Local/Remote·Fault Test Kit,CORE-TESTKIT,부분 구현,미검증,17-axis scenario matrix complete
CPF-CALL,CANONICAL,P0,Architecture/Core,cpf-core,Local/Remote 동일 Header·권한·deadline·오류·추적·멱등성과 내부 Gateway 우회,CPF-CALL,부분 구현,미검증,17-axis scenario matrix complete
CPF-REGISTRY,CANONICAL,P0,Architecture/Core,cpf-core,Service·Endpoint·Instance·Capability·Version·Zone·Health·Lease Registry,CPF-REGISTRY,부분 구현,미검증,17-axis scenario matrix complete
CPF-ROUTING,CANONICAL,P0,Architecture/Core,cpf-core,Service/Instance/Zone/Version/Weight/Maintenance Routing과 Failover,CPF-ROUTING,부분 구현,미검증,17-axis scenario matrix complete
CPF-HEALTH,CANONICAL,P0,Architecture/Core,cpf-core,Liveness·Readiness·Startup·Dependency·Business Readiness와 Build/Schema Identity,CPF-HEALTH,부분 구현,미검증,17-axis scenario matrix complete
CPF-HEADER,CANONICAL,P0,Architecture/Core,cpf-core,표준·확장 Header의 신뢰경계·생성·전파·Masking·크기·호환성,CPF-HEADER,부분 구현,미검증,17-axis scenario matrix complete
CPF-CONTEXT,CANONICAL,P0,Architecture/Core,cpf-core,Transaction·Trace·Segment·Principal·Deadline·Attempt Context 전파,CPF-CONTEXT,부분 구현,미검증,17-axis scenario matrix complete
CPF-TXID,CANONICAL,P0,Architecture/Core,cpf-core,34자리 Transaction ID 단일 정본과 Online/Async/Batch/File/ADM 연결,CPF-TXID,부분 구현,미검증,17-axis scenario matrix complete
CPF-ROLE,CANONICAL,P0,Architecture/Core,cpf-core,Transaction Role·Direction·Source/Target 관계의 Log/Audit 일관성,CPF-ROLE,부분 구현,미검증,17-axis scenario matrix complete
CPF-ERROR,CANONICAL,P0,Architecture/Core,cpf-core,표준 오류·Protocol Mapping·Retryability·Unknown Result·Operator Guidance,CPF-ERROR,부분 구현,미검증,17-axis scenario matrix complete
CPF-VALID,CANONICAL,P0,Architecture/Core,cpf-core,입출력·설정·Header·File·Message·SQL Parameter 검증과 상한,CPF-VALID,부분 구현,미검증,17-axis scenario matrix complete
CPF-IDEMP,CANONICAL,P0,Architecture/Core,cpf-core,Canonical Request Hash·Scope·TTL·Replay·Conflict·Race Idempotency Ledger,CPF-IDEMP,부분 구현,미검증,17-axis scenario matrix complete
CPF-STATE,CANONICAL,P0,Architecture/Core,cpf-core,장기 거래 상태전이·Optimistic Lock·Terminal State·Reconciliation,CPF-STATE,부분 구현,미검증,17-axis scenario matrix complete
CPF-LOCK,CANONICAL,P0,Architecture/Core,cpf-core,Optimistic/Distributed Lock·Lease·Fencing·Epoch·Takeover·Stale Writer 차단,CPF-LOCK,부분 구현,미검증,17-axis scenario matrix complete
CPF-RESILIENCE,CANONICAL,P0,Architecture/Core,cpf-core,Timeout·Retry·Circuit Breaker·Bulkhead·Rate/Backpressure·Storm 방지,CPF-RESILIENCE,부분 구현,미검증,17-axis scenario matrix complete
CPF-DEADLINE,CANONICAL,P0,Architecture/Core,cpf-core,전체 Deadline Budget의 하위 호출·DB·Broker·File·Process 배분,CPF-DEADLINE,부분 구현,미검증,17-axis scenario matrix complete
CPF-SCHED,CANONICAL,P0,Architecture/Core,cpf-core,기술 Scheduler Trigger·Claim·Misfire·Calendar·Pause/Resume 계약,CPF-SCHED,부분 구현,미검증,17-axis scenario matrix complete
CPF-OPSDB,CANONICAL,P0,Architecture/Core,cpf-core,운영 DB Topology·Ownership·장애 정책·Backpressure·Recovery·Readiness,CPF-OPSDB,부분 구현,미검증,17-axis scenario matrix complete
CPF-LOGDB,CANONICAL,P0,Architecture/Core,cpf-core,DB Log Schema·Index·Retention·Masking·비동기 적재·ADM Projection,CPF-LOGDB,부분 구현,미검증,17-axis scenario matrix complete
CPF-FILELOG,CANONICAL,P0,Architecture/Core,cpf-core,환경·Domain·Instance·Transaction·Execution 구조화 File Log,CPF-FILELOG,부분 구현,미검증,17-axis scenario matrix complete
CPF-LOGFAIL,CANONICAL,P0,Architecture/Core,cpf-core,Log 저장 실패 격리·Spool·재전송·중복 제거·유실 탐지,CPF-LOGFAIL,부분 구현,미검증,17-axis scenario matrix complete
CPF-TRACE,CANONICAL,P0,Architecture/Core,cpf-core,Transaction ID와 Trace/Span/Segment/Attempt 연결·Sampling·Cardinality,CPF-TRACE,부분 구현,미검증,17-axis scenario matrix complete
CPF-MASK,CANONICAL,P0,Architecture/Core,cpf-core,PII/Secret/Credential 분류·Context Masking·Raw 승인·Evidence/Download 통제,CPF-MASK,부분 구현,미검증,17-axis scenario matrix complete
CORE-FIXED,CANONICAL,P0,Architecture/Core,cpf-core,고정길이 전문 Layout·Encoding·Byte Length·Parser/Writer·Version·Streaming,CORE-FIXED,부분 구현,미검증,17-axis scenario matrix complete
CORE-FILE,CANONICAL,P0,Architecture/Core,cpf-core,Path Alias·Bounded Streaming·Checksum·Atomic Publish·Traversal 방지,CORE-FILE,부분 구현,미검증,17-axis scenario matrix complete
CORE-MESSAGE,CANONICAL,P0,Architecture/Core,cpf-core,Versioned Broker Envelope·Correlation·Idempotency·Schema·TTL·Size 제한,CORE-MESSAGE,부분 구현,미검증,17-axis scenario matrix complete
CMN-EXTENSION,CANONICAL,P0,Common/Data,cpf-common,Core SPI 위 고객 Header·User Context·Validation·Error·Masking·Audit 확장,CMN-EXTENSION,부분 구현,미검증,17-axis scenario matrix complete
CMN-SAMPLE-DB,CANONICAL,P0,Common/Data,cpf-common,단일 Golden Sample Table의 CRUD/Search/Paging/Validation/Lock/Transaction 3DB,CMN-SAMPLE-DB,부분 구현,미검증,17-axis scenario matrix complete
CMN-CODE,CANONICAL,P0,Common/Data,cpf-common,공통 Code Group/Item/Version/유효기간/Cache/Invalidation/Admin,CMN-CODE,부분 구현,미검증,17-axis scenario matrix complete
CMN-MSG,CANONICAL,P0,Common/Data,cpf-common,다국어·업무·오류 Message Code/Locale/Parameter/Fallback/Cache/Version,CMN-MSG,부분 구현,미검증,17-axis scenario matrix complete
CMN-CALENDAR,CANONICAL,P0,Common/Data,cpf-common,영업일·휴일·기관 Calendar·기준일·Override·Batch/업무 공통 소비,CMN-CALENDAR,부분 구현,미검증,17-axis scenario matrix complete
CMN-TEMPLATE,CANONICAL,P0,Common/Data,cpf-common,알림·문서 Template Version·Variable Schema·Escaping·Preview·Approval,CMN-TEMPLATE,부분 구현,미검증,17-axis scenario matrix complete
DB-OWNERSHIP,CANONICAL,P0,Common/Data,cpf-tools/db + owner,모든 DB Artifact의 단일 Owner·Consumer와 타 Owner 직접 갱신 금지,DB-OWNERSHIP,부분 구현,미검증,17-axis scenario matrix complete
DB-INSTALL,CANONICAL,P0,Common/Data,cpf-tools/db + owner,3 Vendor Schema/User/권한/Table/Index/Constraint/Seed/Verify/Smoke,DB-INSTALL,부분 구현,미검증,17-axis scenario matrix complete
DB-MIGRATION,CANONICAL,P0,Common/Data,cpf-tools/db + owner,불변 Migration·Expand/Migrate/Contract·Checksum·Drift·Restart·Parity,DB-MIGRATION,부분 구현,미검증,17-axis scenario matrix complete
DB-ROLLBACK,CANONICAL,P0,Common/Data,cpf-tools/db + owner,Rollback/Forward Recovery·Backup Checkpoint·승인·부분 실패 복구,DB-ROLLBACK,부분 구현,미검증,17-axis scenario matrix complete
DB-BACKUP,CANONICAL,P0,Common/Data,cpf-tools/db + owner,Backup 암호화·Retention·Restore 검증·PITR·DR 연계,DB-BACKUP,재확인 필요,미검증,17-axis scenario matrix complete
DB-MULTI-VENDOR,CANONICAL,P0,Common/Data,cpf-tools/db + owner,MariaDB·PostgreSQL·Oracle Type/Index/FK/Paging/Lock/Error 동등성,DB-MULTI-VENDOR,부분 구현,미검증,17-axis scenario matrix complete
DB-SQL,CANONICAL,P0,Common/Data,cpf-tools/db + owner,Query ID·Owner·Parameter/Result·Sort/Filter Allowlist·Vendor SQL,DB-SQL,부분 구현,미검증,17-axis scenario matrix complete
DB-PERF,CANONICAL,P0,Common/Data,cpf-tools/db + owner,Index/Plan/Statistics/Partition/Slow Query/Capacity/Purge Regression,DB-PERF,부분 구현,미검증,17-axis scenario matrix complete
DB-MULTI,CANONICAL,P0,Common/Data,cpf-tools/db + owner,Multi Datasource·Replica·Read/Write Routing·Lag·Failover·Isolation,DB-MULTI,재확인 필요,미검증,17-axis scenario matrix complete
DATA-LINEAGE,CANONICAL,P0,Common/Data,data owners,Input→Process→Store→External Lineage·Quality·Reconciliation·Audit,DATA-LINEAGE,재확인 필요,미검증,17-axis scenario matrix complete
DATA-RETENTION,CANONICAL,P0,Common/Data,data owners,Retention·Purge·Archive·Legal Hold·개인정보 삭제·Backup 예외,DATA-RETENTION,재확인 필요,미검증,17-axis scenario matrix complete
GWY-ENTRY,CANONICAL,P0,Gateway/External/Event,cpf-gateway,TLS·Listener·Protocol·Client Identity·Request Limit·Maintenance·Plane 분리,GWY-ENTRY,부분 구현,미검증,17-axis scenario matrix complete
GWY-ROUTING,CANONICAL,P0,Gateway/External/Event,cpf-gateway,SCG Route Snapshot·Registry·Rewrite·Load Balance·Version/Zone/Weight·Atomic Refresh,GWY-ROUTING,부분 구현,미검증,17-axis scenario matrix complete
GWY-TRUST,CANONICAL,P0,Gateway/External/Event,cpf-gateway,Trusted Proxy·Header Allowlist/Overwrite·Forwarded Chain·Principal·SSRF Allowlist,GWY-TRUST,부분 구현,미검증,17-axis scenario matrix complete
