requirement_id,section,adm_coverage_mode,current_route_or_menu,query_api,command_api,permission_data_scope,failure_recovery_view,audit_evidence,development_status,verification_status
ARCH-MISSION,Architecture/Core,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ARCH-MSA,Architecture/Core,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ARCH-BOUNDARY,Architecture/Core,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ARCH-LAYER,Architecture/Core,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CORE-API,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CORE-SPI,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CORE-CONFIG,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CORE-TESTKIT,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-CALL,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-REGISTRY,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-ROUTING,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-HEALTH,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-HEADER,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
