requirement_id,priority,area,development_status,verification_status,blocker_type,reason,required_action,source_paths,test_paths,evidence_path,related_defects
QA33-REQ-001,P0,Baseline,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-docs/work/current/CPF_20260731_QA33_DEVELOPMENT_COMPLETION_REPORT.md;cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,cpf-tools/scripts/verify-cpf-qa33-source-integrity.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-001
QA33-REQ-002,P0,Evidence,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-tools/scripts/verify-cpf-qa33-result-coverage.py;cpf-tools/scripts/verify-cpf-qa33-all.ps1;cpf-docs/evidence/schema/CPF_QA32_EVIDENCE_INDEX_SCHEMA.json;cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,cpf-docs/evidence/fixtures/CPF_QA32_REQUIREMENT_EVIDENCE_INVALID_SHA.json;cpf-tools/scripts/verify-cpf-qa33-result-coverage.py,,QA33-DF-002
QA33-REQ-003,P0,Evidence,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-tools/scripts/verify-cpf-qa33-result-coverage.py;cpf-docs/evidence/schema/CPF_QA32_EVIDENCE_INDEX_SCHEMA.json;cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,cpf-docs/evidence/fixtures/CPF_QA32_REQUIREMENT_EVIDENCE_INVALID_SHA.json,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-003
QA33-REQ-004,P0,Evidence,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-tools/scripts/verify-cpf-qa33-result-coverage.py;cpf-docs/evidence/schema/CPF_QA32_EVIDENCE_INDEX_SCHEMA.json;cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,cpf-docs/evidence/fixtures/CPF_QA32_REQUIREMENT_EVIDENCE_INVALID_SHA.json,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-004
QA33-REQ-005,P0,Evidence,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-tools/scripts/verify-cpf-qa33-result-coverage.py;cpf-docs/evidence/schema/CPF_QA32_EVIDENCE_INDEX_SCHEMA.json;cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,cpf-docs/evidence/fixtures/CPF_QA32_REQUIREMENT_EVIDENCE_INVALID_SHA.json,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-005
QA33-REQ-006,P1,Quality Gate,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-tools/scripts/verify-cpf-qa33-source-integrity.py;cpf-tools/scripts/verify-cpf-qa33-batch-control-plane.py;cpf-tools/scripts/verify-cpf-qa33-result-coverage.py,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-006
QA33-REQ-007,P1,Quality Gate,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-tools/scripts/verify-cpf-qa33-source-integrity.py;cpf-tools/scripts/verify-cpf-qa33-batch-control-plane.py;cpf-tools/scripts/verify-cpf-qa33-result-coverage.py,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-007
QA33-REQ-008,P1,Result Matrix,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-docs/quality/CPF_20260731_QA33_RESULT_MATRIX.csv,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-008
QA33-REQ-009,P1,Documentation Scope,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-docs/work/review/CPF_20260731_QA33_POST_DEVELOPMENT_SELF_REVIEW.md,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-009
QA33-REQ-010,P0,Build,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-010
