scenario_id,requirement_id,priority,phase,scenario_type,title,preconditions,steps,expected_result,required_evidence,mandatory,initial_status
QA32-S001,OSS-GOV-001,P0,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,OSS-first Build-vs-Buy·라이선스 정책 정본화 정상 수직 Slice,"Repository HEAD와 시작 SHA를 기록하고 전체 Gradle/npm/Python/PowerShell 의존성, 배포 ZIP/JAR/Container, 생성 Template의 현재 구현 및 consumer inventory를 확보한다.","Build-vs-Buy Matrix와 ADR을 작성하고 MIT/Apache-2.0/BSD-2/3/ISC 자동 허용, MPL/EPL/LGPL 조건부 승인, GPL/AGPL/SSPL/RSAL/BSL/Unknown 기본 거부. 정확한 artifact/version/license/NOTICE/source URL/전이 의존성을 기록을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.",범용 엔진·UI는 승인된 permissive OSS를 Primary Path로 사용하고 CPF는 정책·계약·승인·감사·Control Plane만 소유이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.,"ADR, Build-vs-Buy Matrix, ORT 결과, CycloneDX/Syft SBOM, THIRD-PARTY-NOTICES, 예외 승인 원장",Y,NOT_EXECUTED
QA32-S002,OSS-GOV-001,P0,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,OSS-first Build-vs-Buy·라이선스 정책 정본화 실패·우회 차단,"Repository HEAD와 시작 SHA를 기록하고 전체 Gradle/npm/Python/PowerShell 의존성, 배포 ZIP/JAR/Container, 생성 Template의 현재 구현 및 consumer inventory를 확보한다.","다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: 허용 OSS 정상 빌드; 금지/Unknown 전이 의존성 주입 시 CI 실패; 라이선스 파일 누락 시 Release 실패. 또한 금지된 부분 구현 방식(문서에 OSS 이름만 추가, dependency만 추가, 기존 자체 구현을 Primary로 유지, 라이선스 Unknown을 경고로만 처리)을 의도적으로 재현한다.","위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, ADR, Build-vs-Buy Matrix, ORT 결과, CycloneDX/Syft SBOM, THIRD-PARTY-NOTICES, 예외 승인 원장",Y,NOT_EXECUTED
QA32-S003,OSS-GOV-001,P0,P1_OSS_FIRST_MIGRATION,COMPLETION_GATE,OSS-first Build-vs-Buy·라이선스 정책 정본화 완료 판정 Gate,모든 변경이 Working Tree에 존재하고 Result Matrix 초안이 작성되어 있다.,"정적·Architecture Gate(직접·전이 license allow/deny Gate; prohibited coordinate fixture; NOTICE/SBOM parity; dependency substitution drift 검사)를 실행하고 동일 패턴을 repository 전체, generator template, generated source, published artifact에서 재검색한다.","미구현·부분 구현·미검증 행이 남으면 완료가 거부된다. 모든 소비자 이관, legacy 제거, 실행 Evidence가 있을 때만 완료된다.","Gate command/환경/시작·종료시각/Exit Code/report hash; ADR, Build-vs-Buy Matrix, ORT 결과, CycloneDX/Syft SBOM, THIRD-PARTY-NOTICES, 예외 승인 원장",Y,NOT_EXECUTED
QA32-S004,OSS-GOV-001,P0,P1_OSS_FIRST_MIGRATION,P0_RECOVERY_REHEARSAL,OSS-first Build-vs-Buy·라이선스 정책 정본화 장애 중단·재시작·복구,실제 또는 격리된 동등 환경에서 처리 중 상태와 persistent evidence가 준비되어 있다.,"처리 중 process kill, response loss, duplicate retry, stale worker/instance, restart를 조합하여 주입하고 reconciliation 또는 rollback을 실행한다.",데이터 손상·중복 side effect·권한 우회 없이 실제 상태가 확정되며 UNKNOWN_RESULT는 임의 성공/실패로 축약되지 않는다.,"전후 DB/ledger/state diff, recovery command, exact artifact/source SHA, final actual state",Y,NOT_EXECUTED
QA32-S005,OSS-ARCH-001,P0,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,Core/Common API·SPI·Autoconfigure·기능별 Starter 분리 정상 수직 Slice,"Repository HEAD와 시작 SHA를 기록하고 cpf-core, cpf-common, 모든 consumer, published POM/module metadata/BOM의 현재 구현 및 consumer inventory를 확보한다.",cpf-core-api/spi/autoconfigure 및 starter-web/security/kafka/cache/excel/mybatis/observability 등 실제 사용 단위로 분리. public signature와 published dependency graph를 정리하고 BOM에서 호환 버전을 통제을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.,배포 독립 API/SPI는 가볍게 유지하고 기능별 adapter/autoconfigure/starter를 opt-in으로 분리이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.,"모듈 graph, POM/BOM/SBOM, consumer compile/runtime matrix, legacy dependency 제거 목록",Y,NOT_EXECUTED
QA32-S006,OSS-ARCH-001,P0,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,Core/Common API·SPI·Autoconfigure·기능별 Starter 분리 실패·우회 차단,"Repository HEAD와 시작 SHA를 기록하고 cpf-core, cpf-common, 모든 consumer, published POM/module metadata/BOM의 현재 구현 및 consumer inventory를 확보한다.",다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: 각 starter 포함/미포함 기동; same-JVM/분리 WAS; 중복 autoconfigure; missing optional provider fail-closed. 또한 금지된 부분 구현 방식(새 모듈명만 만들고 기존 api 의존성 유지; consumer가 여전히 transitive 기술 의존성을 받음; duplicate bean/autoconfigure 병존)을 의도적으로 재현한다.,"위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, 모듈 graph, POM/BOM/SBOM, consumer compile/runtime matrix, legacy dependency 제거 목록",Y,NOT_EXECUTED
QA32-S007,OSS-ARCH-001,P0,P1_OSS_FIRST_MIGRATION,COMPLETION_GATE,Core/Common API·SPI·Autoconfigure·기능별 Starter 분리 완료 판정 Gate,모든 변경이 Working Tree에 존재하고 Result Matrix 초안이 작성되어 있다.,"정적·Architecture Gate(jdeps/Gradle dependencyInsight/published POM 검증; forbidden api dependency Architecture Test; 모든 consumer 최소 classpath test)를 실행하고 동일 패턴을 repository 전체, generator template, generated source, published artifact에서 재검색한다.","미구현·부분 구현·미검증 행이 남으면 완료가 거부된다. 모든 소비자 이관, legacy 제거, 실행 Evidence가 있을 때만 완료된다.","Gate command/환경/시작·종료시각/Exit Code/report hash; 모듈 graph, POM/BOM/SBOM, consumer compile/runtime matrix, legacy dependency 제거 목록",Y,NOT_EXECUTED
QA32-S008,OSS-ARCH-001,P0,P1_OSS_FIRST_MIGRATION,P0_RECOVERY_REHEARSAL,Core/Common API·SPI·Autoconfigure·기능별 Starter 분리 장애 중단·재시작·복구,실제 또는 격리된 동등 환경에서 처리 중 상태와 persistent evidence가 준비되어 있다.,"처리 중 process kill, response loss, duplicate retry, stale worker/instance, restart를 조합하여 주입하고 reconciliation 또는 rollback을 실행한다.",데이터 손상·중복 side effect·권한 우회 없이 실제 상태가 확정되며 UNKNOWN_RESULT는 임의 성공/실패로 축약되지 않는다.,"전후 DB/ledger/state diff, recovery command, exact artifact/source SHA, final actual state",Y,NOT_EXECUTED
QA32-S009,OSS-UI-001,P1,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,Element Plus + TanStack Table Primary UI 전환 정상 수직 Slice,"Repository HEAD와 시작 SHA를 기록하고 cpf-admin/frontend, cpf-biz-admin/frontend, 공통 UI Wrapper 및 생성 화면의 현재 구현 및 consumer inventory를 확보한다.",Element Plus/TanStack Table exact version pin; 공통 wrapper; server paging/sort/filter/column state/virtualization; 기존 custom table/dialog/pager/menu consumer 전수 이관 및 사용되지 않는 legacy 제거을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.,"일반 Widget은 Element Plus, 고급 서버 Table은 TanStack Table을 사용하며 CPF Wrapper가 권한·감사·PII·Design Token을 소유이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.","화면별 migration parity matrix, Playwright trace/screenshot, bundle size, legacy import 0, accessibility report",Y,NOT_EXECUTED
QA32-S010,OSS-UI-001,P1,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,Element Plus + TanStack Table Primary UI 전환 실패·우회 차단,"Repository HEAD와 시작 SHA를 기록하고 cpf-admin/frontend, cpf-biz-admin/frontend, 공통 UI Wrapper 및 생성 화면의 현재 구현 및 consumer inventory를 확보한다.",다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: ADM/BZA 주요 메뉴 E2E; 10만 건 server paging; keyboard/focus/ARIA; permission/PII masking; responsive layout. 또한 금지된 부분 구현 방식(라이브러리 설치만 하고 기존 화면 미이관; 일부 화면만 전환; 두 Table 엔진 병존; wrapper 없이 기능 화면이 vendor API에 무분별하게 결합)을 의도적으로 재현한다.,"위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, 화면별 migration parity matrix, Playwright trace/screenshot, bundle size, legacy import 0, accessibility report",Y,NOT_EXECUTED
