scope,requirement_id,reused_capability,reused_source,actual_consumer,class_method_bean,test_evidence,justification,source_sha
EDU32,EDU-001,Build/Artifact,cpf-reference/src/main/java/com/cpf/reference/platform/install/artifact/EduOps01Handler.java,EDU-OPS-01 concrete handler -> EduExecutionService -> durable operation ledger,EduOps01Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/platform/install/artifact/EduOps01IntegrationTest.java|cpf-tools/scripts/tests/test_verify_cpf_supply_chain.py|cpf-tools/verification/**/*Artifact*Test*,"Existing Build/Artifact contracts are consumed by EDU-OPS-01 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-002,Generator,cpf-reference/src/main/java/com/cpf/reference/online/generator/domain/EduDev01Handler.java,EDU-DEV-01 concrete handler -> EduExecutionService -> durable operation ledger,EduDev01Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/generator/domain/EduDev01IntegrationTest.java|cpf-tools/verification/**/*generator*|cpf-tools/scripts/tests/**/*generator*,"Existing Generator contracts are consumed by EDU-DEV-01 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-003,Transaction,cpf-reference/src/main/java/com/cpf/reference/online/command/audit/EduDev03Handler.java,EDU-DEV-03 concrete handler -> EduExecutionService -> durable operation ledger,EduDev03Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/command/audit/EduDev03IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/transaction/**/*.java,"Existing Transaction contracts are consumed by EDU-DEV-03 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-004,Header/Error,cpf-reference/src/main/java/com/cpf/reference/online/contract/validation/EduDev23Handler.java,EDU-DEV-23 concrete handler -> EduExecutionService -> durable operation ledger,EduDev23Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/contract/validation/EduDev23IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/header/**/*.java|cpf-reference/src/test/java/com/cpf/reference/failure/**/*.java|cpf-reference/src/test/java/com/cpf/reference/validation/**/*.java,"Existing Header/Error contracts are consumed by EDU-DEV-23 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-005,Local/Remote,cpf-reference/src/main/java/com/cpf/reference/online/servicecall/topology/EduDev06Handler.java,EDU-DEV-06 concrete handler -> EduExecutionService -> durable operation ledger,EduDev06Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/servicecall/topology/EduDev06IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/servicecall/**/*.java,"Existing Local/Remote contracts are consumed by EDU-DEV-06 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-006,Idempotency,cpf-reference/src/main/java/com/cpf/reference/online/idempotency/payment/EduDev05Handler.java,EDU-DEV-05 concrete handler -> EduExecutionService -> durable operation ledger,EduDev05Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/idempotency/payment/EduDev05IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/idempotency/**/*.java,"Existing Idempotency contracts are consumed by EDU-DEV-05 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-007,Concurrency,cpf-reference/src/main/java/com/cpf/reference/online/concurrency/optimisticlock/EduDev04Handler.java,EDU-DEV-04 concrete handler -> EduExecutionService -> durable operation ledger,EduDev04Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/concurrency/optimisticlock/EduDev04IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/crud/**/*.java|cpf-reference/src/test/java/com/cpf/reference/idempotency/**/*.java,"Existing Concurrency contracts are consumed by EDU-DEV-04 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-008,Unknown Result,cpf-reference/src/main/java/com/cpf/reference/online/resilience/recovery/EduDev15Handler.java,EDU-DEV-15 concrete handler -> EduExecutionService -> durable operation ledger,EduDev15Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/resilience/recovery/EduDev15IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/failure/**/*.java|cpf-reference/src/test/java/com/cpf/reference/transaction/**/*Unknown*,"Existing Unknown Result contracts are consumed by EDU-DEV-15 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-009,Outbox/Inbox,cpf-reference/src/main/java/com/cpf/reference/online/messaging/transactionaloutbox/EduDev21Handler.java,EDU-DEV-21 concrete handler -> EduExecutionService -> durable operation ledger,EduDev21Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/messaging/transactionaloutbox/EduDev21IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/messaging/**/*.java,"Existing Outbox/Inbox contracts are consumed by EDU-DEV-21 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-010,Kafka,cpf-reference/src/main/java/com/cpf/reference/online/messaging/outboxinbox/EduDev07Handler.java,EDU-DEV-07 concrete handler -> EduExecutionService -> durable operation ledger,EduDev07Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/messaging/outboxinbox/EduDev07IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/messaging/**/*Kafka*,"Existing Kafka contracts are consumed by EDU-DEV-07 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
