evidence_id,file_name,category,sequence,width,height,sha256,observed_screen,observed_capabilities,interpretation_policy
ADM-LEGACY-배치-01,넥스코어 메뉴_배치_01.PNG,배치,1,2397,420,41801cdac4e3bfd5e7bf8d12b3544b8e0e3ebf20834d58a927af1538a7d437f0,Job 정의 목록,Job 검색·등록·변경·삭제·Flow/Diagram 진입,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-02,넥스코어 메뉴_배치_02.PNG,배치,2,1228,1165,f812d389ef1a2ae2014b1794b32e9541892c42b6b5c79a6de508591fa4a3b52b,Job 정의 상세,기본정보·Job Group·담당자·Type·Agent·Program·수신자·Parameter·반복·Trigger·선행 Job·일자 Schedule·복제/삭제/Instance 생성/즉시수행,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-03,넥스코어 메뉴_배치_03.PNG,배치,3,1198,857,c10ab38360cf073e10d3bc7ea948a20d636666efa0605abd931c4beee414a464,Job Flow Diagram,선행·후행 Job DAG와 상태 시각화,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-04,넥스코어 메뉴_배치_04.PNG,배치,4,2521,416,4cd4a2209fa447ae02b7aaff2475a1247ce8364232feb58dc6b9947d705f7707,Job 실행이력,Job 실행 결과·상태·로그·서버·프로그램·시작/종료·처리일 검색,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-05,넥스코어 메뉴_배치_05.PNG,배치,5,2546,409,a64d4626478c803e7fcca041bc389a3c3003d1cada2e6520703a79a397d78d0d,Job Instance 목록,상태별 검색·실행/실패/대기/종료·진행률·서버·프로그램,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-06,넥스코어 메뉴_배치_06.PNG,배치,6,2538,529,b9ff7bbed2294b83aeae6d008c4376bfb84872c40d5f431e00aeb5954397f857,Job Group 현황,그룹별 Job 수·실행 수·시간·상태·진행률,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-07,넥스코어 메뉴_배치_07.PNG,배치,7,2538,347,47f27e62962c78d10cb193d042345cbb9086b4570032074370cf2e3504256336,긴급 Job 요청현황,요청자·요청 IP·요청사유·승인상태·승인자·승인/반려,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-08,넥스코어 메뉴_배치_08.PNG,배치,8,2551,667,f4f7f874d64c88bfc1c0c0376be93d873444dee85e4f020cc0f24bd4a969986c,Server/Agent 현황,Agent heartbeat·Job 실행상태·IP/Port·계정·OS/JVM·Heap/Memory·Disk,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-09,넥스코어 메뉴_배치_09.PNG,배치,9,2522,599,592549a9b8b300728f95c042fe8a7ab6020c0e92a6e924027386d2b933117120,환경변수 관리,Batch data/root/temp 경로 등 환경 변수 CRUD,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-10,넥스코어 메뉴_배치_10.PNG,배치,10,2560,552,97559ba96fcfbd119ad2fdb1f89ee8864f8355d5a3e901c26298c0b6b0ddfcf0,Calendar,연간 영업일/휴일/업무 Calendar 시각화,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-11,넥스코어 메뉴_배치_11.PNG,배치,11,2525,522,81351cab38f175d4ae7a0f421dc92a54d0519fa0be63ce8e693435bdf9fbe2bd,통지 수신자,Email/SMS 수신자 CRUD,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-12,넥스코어 메뉴_배치_12.PNG,배치,12,2545,575,2ed9d784734a7b294e3203fc27a13ec07990546c64872afe6ede3deb1829ec51,Job Group 관리,Job Group 등록·변경·삭제·Job 매핑,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-13,넥스코어 메뉴_배치_13.PNG,배치,13,2543,472,f04ad570f1426a1a188fb85855f4fd82faab4e42cbcf0fc4f9bab08c39f0af3e,Job Instance 재조회,대량 Instance 검색·상태·진행·처리일,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-14,넥스코어 메뉴_배치_14.PNG,배치,14,1116,1337,b844bcc1783a45fcad6dd50cd49ab8e1f7bc22b3ab14fe05a4affb893167c8b7,Job Instance 상세/제어,"서버·Instance 변경, 상태 변경, 강제종료/재실행, 실행내역, Log/Report 조회·다운로드",CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-배치-15,넥스코어 메뉴_배치_15.PNG,배치,15,1000,654,1a6c26dfd8598ed79c8730ec45b8740da3b14c7bc4a5083236a2bb57356f8011,Job File Log,tail/full log·download,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-01,넥스코어 메뉴_온라인_1.PNG,온라인,1,2540,516,6874830e056f207b4d645d1ccfdd1ac0c2242cc94ab4001c46fd5463abddd658,통합 Home/Site Map,공지사항·Site Map과 시스템/공통/온라인/배치/분석 Top Menu,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-10,넥스코어 메뉴_온라인_10.PNG,온라인,10,2547,868,31defd0e97e7b635fe5c566c2b4f4377f2b7c560623968a51b89ea7706b0fddb,Event Log,Framework Node·Group·Event ID·내용 조회,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-11,넥스코어 메뉴_온라인_11.PNG,온라인,11,2551,867,297fd7869238325d83674542ae6fdc8edf4b0892d406b4e0a5dc3b0d7b0cdf3a,거래점 관리,거래/Point 등록·Class/Handler·적용여부·배포상태,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-12,넥스코어 메뉴_온라인_12.PNG,온라인,12,2511,949,45d841f63a8d0221acb2690e2f890d82962690c5528dff48273a75d3f5e13d3e,거래 전후처리 순서,전처리/후처리 Component 순서·적용·처리유형 관리,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-13,넥스코어 메뉴_온라인_13.PNG,온라인,13,2557,1062,f9993237c8d3aa9c4f5e920eafd9d258f7a7e157285e566c96b1b5e8614352ff,거래 전후처리 상세,선택 거래의 처리 단계별 속성·순서·Class 상세,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-14,넥스코어 메뉴_온라인_14.PNG,온라인,14,2556,855,798892a0646450b774a9dd05dac34f45cc9390b435fa1ef6d0ffec1839e7e47c,거래 Profile 관리,Profile/거래별 Property 값·적용·Class 매핑,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-15,넥스코어 메뉴_온라인_15.PNG,온라인,15,2537,990,2f74e66a235415c30d7bfd8b0365d29d2c97e998d9c6ad799c3001acd53e6936,거래 Profile 속성정의,Property 이름·기본값·유형·설명·정렬,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-16,넥스코어 메뉴_온라인_16.PNG,온라인,16,2550,980,e20ba1d185af011bff27ad3c2765d622cb025033b95cfed652c4f03230c52f08,Error Log 조회,채널·거래 ID·전문코드·Node·시각 등 상세 검색,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-17,넥스코어 메뉴_온라인_17.PNG,온라인,17,1131,861,975107829485536c2ae8b857933cd7447d9db030ff2fcf88c35c33d7b4c8e6fc,통합 거래 Log 상세,Global ID 기반 Segment 흐름·요청/응답 전문·오류·전후 단계,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-18,넥스코어 메뉴_온라인_18.PNG,온라인,18,1058,1289,2f5d5d1b9979ef962dcde82d19aa563f9434c6a0a1ed943639d9c23a6ad74a7b,Error Log 상세,채널/전문/Node/IP/MAC/사용자/거래 코드 등 장문 필드 상세,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-19,넥스코어 메뉴_온라인_19.PNG,온라인,19,2545,872,7306f49c55c27878cf65cd8721f85ef2dcabb3b0a84aa4f2a67ca1486f18a9c6,거래통계 조회,전체·부점·채널·업무별 성공/오류/책임자승인/정상률,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-02,넥스코어 메뉴_온라인_2.PNG,온라인,2,2553,598,4fc9aaa2c6ecafb75f2c19486addbbf08d8c621a7f34a771d2700d4a5d49e7d0,System Log 일자 목록,날짜별 시스템 로그 디렉터리 조회,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-20,넥스코어 메뉴_온라인_20.PNG,온라인,20,2521,447,387bc8b17e767f0cfdd8ae55da67a328d16c94d51766fb5c73e3ac240733d212,Batch Job Instance,온라인 묶음에 포함된 Batch Instance 검색 화면,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-21,넥스코어 메뉴_온라인_21.PNG,온라인,21,2557,1044,6f0c783c5fb00e2687f1fe6a013783c5e94efc6fde297d46f578390321d4e0d8,Center-Cut Profile 목록,센터컷 ID·명·Class/Handler·초당건수·담당자 관리,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-22,넥스코어 메뉴_온라인_22.PNG,온라인,22,2564,838,f1225fe59fcf80d05ebbf61b67c9a91199b7fb7ecbc50ea4cebbd15101d01ada,Center-Cut Profile 상세,Encoding·Header·속도·분할·업무 규칙 상세,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-23,넥스코어 메뉴_온라인_23.PNG,온라인,23,2553,554,f57e9eb7d27ee6344792b283ba9df94e0cabc2d52580ce4ed8c6f74c28ae6675,Center-Cut 실행 Log,일자/센터컷별 Job·상태·시간·실행/업무 건수,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-24,넥스코어 메뉴_온라인_24.PNG,온라인,24,2561,577,040805d8e4797d232c65ba4715a19c180d56149f2ba75a884192ee81379ab57b,Batch 실행 Log,Job·설명·상태·진행률·시각·유형·Host/Program,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-25,넥스코어 메뉴_온라인_25.PNG,온라인,25,2564,640,8503a131b14b6143d8c6aa85c6fe0aae264b51be2f5a0476d184ae0aa8a0195f,Report 분석,분석 대상 선택·리포트 생성; SQL/XIO/FIO/영향도 분석 Menu,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-26,넥스코어 메뉴_온라인_26.PNG,온라인,26,2551,571,b3775cdba6af4c6a2f899f6eaa6072a45b485036db4345594b4e62230f8fc6d7,영향도 분석,업무/프로그램 기준 영향도 검색·Export,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-27,넥스코어 메뉴_온라인_27.PNG,온라인,27,2556,998,0feb6bf815b30ec778ccacd5c7195ece6b7535e396bf7047d37ec82b2605d389,사용자 관리,사용자·역할·상태·등록자 조회/추가/삭제,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-28,넥스코어 메뉴_온라인_28.PNG,온라인,28,2551,676,f09031370156b8c05e1a18c4f545d72e2d3e602387670da00c5ed65db9cdc6bc,역할 관리,Role 이름·상태·설명 CRUD,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-29,넥스코어 메뉴_온라인_29.PNG,온라인,29,2552,1010,0527308a3960397aabaa07490ee70d0e1c0360ff52cda04bd591f4e981f9c2ca,권한 Matrix,Menu Tree별 조회/추가/수정/삭제/서버/전체 권한 Matrix,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-03,넥스코어 메뉴_온라인_3.PNG,온라인,3,2579,578,5d8045956d10f14ea95c7ec279ae84ff4bccaa8b08033f9cd8625783c1983a9c,System Log 파일 목록,request/relation 등 파일 크기·시각 조회,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-04,넥스코어 메뉴_온라인_4.PNG,온라인,4,2608,756,c7e638b506f7c0268d00f1317aba92295758a36d3fc0413d0c080aa7a432d774,DB Schema,Datasource/DB 제품/계정/JDBC URL 조회,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-05,넥스코어 메뉴_온라인_5.PNG,온라인,5,2554,756,58cf99036eb4a03d6661ae20eaed5c6a33e2a83f1eade83b5f36800f49624f66,통지설정 관리,오류 유형별 Mail/SMS/Email 알림 및 수신자 설정,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-06,넥스코어 메뉴_온라인_6.PNG,온라인,6,2556,765,b5eb1d9b67b69708d8770ce9dc8ca12100c928a67a44855706404f12cb1891d6,Logger Monitoring,Framework Node·Logger Level 검색/관제,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-07,넥스코어 메뉴_온라인_7.PNG,온라인,7,2562,795,422b4b8b6faf78f142202cea61c31010aa8e5b9669d4feedc4bd93dae4fdf46d,Cache Monitoring,Node 선택·Cache 영역/항목 조회,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-08,넥스코어 메뉴_온라인_8.PNG,온라인,8,2556,752,0187c556e8aef0d8b15b66100f345cc504c1ce85e79889d14194b15c817b970c,Datasource Monitoring,Node별 사용 중 Component/Batch Job/DataSource 조회,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
ADM-LEGACY-온라인-09,넥스코어 메뉴_온라인_9.PNG,온라인,9,2572,770,18df2e6403ae7053ea20766ca25a3ca1f38f5d448df10efc0c608c0453500b42,Log File Download,Node별 Online/Batch/Journal/Runtime Log 파일 탐색·다운로드,CPF ADM 최소 비교선; 화면 복제 목표가 아니라 기능·운영성·품질 상회 목표
