root_cause_id,cause,observed_pattern,mandatory_prevention_gate
QA35-RC-001,Artifact presence treated as completion,"A class/script/marker/matrix row existed, so development was marked complete before compilation, consumer execution, or runtime proof.",Completion gate must require owner source + real consumer + positive/negative tests + compile + row-specific evidence.
QA35-RC-002,No post-push rebaseline,Documents and generated artifacts retained pre-push SHA after the overlay was committed.,"Post-push gate must compare HEAD against every current report, marker, manifest, and evidence sourceSha/resultSha."
QA35-RC-003,Generic matrix generation,Normal/error/recovery rows were mechanically generated from requirement text and all pointed at one broad evidence ID.,"Each scenario must contain a concrete setup, command, expected result, failure signal, recovery assertion, and evidence artifact."
QA35-RC-004,Bulk evidence fan-out,"One matrix success listed every QA33 ID, allowing unrelated rows to become complete.",Evidence producer must emit step-scoped IDs only; reclassifier must reject one evidence object that claims unrelated areas without per-row results.
QA35-RC-005,Verifier dependency not self-tested,Wrappers referenced scripts that do not exist.,"A cheap verifier-of-verifiers must resolve every script, parameter, task, fixture, and output path before any build/runtime work."
QA35-RC-006,Tracked generated outputs not regenerated,"Generator/verifier source changed, but OpenAPI/client/marker outputs remained legacy.","Generation contract changes must regenerate and commit canonical outputs in the same work unit, followed by clean-tree verification."
QA35-RC-007,Runtime completion delegated too early,"Compilation, browsers, DBs, Kafka, and supply-chain were deferred to Codex while development status was already complete.",GPT work must run all available verification; environment-only steps remain unverified and cannot justify completion.
QA35-RC-008,Scope collision,Source remediation and separately owned README/guides were merged into one large push.,Session ownership and manifests must prevent unrelated parallel changes from being overwritten or reviewed together without approval.
QA35-RC-009,Security policy duplication,"Gateway, Agent, and Batch independently implemented IP/CIDR/pinning rules.",Assign one owner for network identity primitives and reuse it through public API/SPI without reverse dependencies.
QA35-RC-010,No working final evidence closure,Component evidence and matrix reclassification lacked a working canonical final index path.,Use an external immutable evidence bundle keyed by verified SHA and validate hashes/coverage without changing the verified source tree.
QA35-RC-011,Menu count treated as product completion,Fifty-nine menu and route IDs were used as breadth evidence even when several menus shared one component or generic table and lacked workflow consumers.,"A menu counts only when route, intended page state, generated operation, backend, permission, audit, positive/negative scenarios, and browser evidence are complete."
QA35-RC-012,Generic page reuse without workflow acceptance,"Batch runtime submenus were implemented as one-line wrappers over a dynamic table, making placeholder breadth look like dedicated commercial operations.","Generic framework components may be reused, but each feature must declare typed columns, filters, details, actions, error states, permissions and feature-specific acceptance tests."
QA35-RC-013,Minimum ADM capability baseline was not canonicalized,"Legacy commercial menu capabilities were reviewed informally but not converted into a maintained CPF capability matrix, so missing operational functions repeatedly resurfaced.",Maintain a canonical ADM capability matrix mapped to CPF owners and target quality; every major review compares actual menus/routes/consumers against it.
QA35-RC-014,Shared identifiers mistaken for integrated operations,"Online and Batch carried transaction/execution identifiers, but UI cross-navigation, causal timeline, permission and partial-data handling were not required for completion.",Integrated ADM completion requires executable cross-domain deep-link scenarios from transaction to Batch/Gateway/Incident/Audit and back.
QA35-RC-015,Frontend menu metadata became a parallel source of truth,"Labels, groups, routes and backend permission menu IDs are split across hardcoded frontend arrays and backend authorization data.",Use one canonical menu/capability registry or enforce generated parity across DB/API/frontend/router/permission/test artifacts.
