requirement_id,scenario,expected,result,status
CDX-OPT-001,Full validation scope remains,All QA37 stages retained,All stages listed,완료
CDX-OPT-002,Initial reading cost,Only Start Here and main request,Two documents,완료
CDX-OPT-003,Preflight collection,One command creates JSON,Script added,완료
CDX-OPT-004,Passed stage rerun,Wrapper skips PASS,Implemented,완료
CDX-OPT-005,Failed stage rerun,Requires AllowRerun after fix,Implemented,완료
CDX-OPT-006,Evidence capture,Ledger log exit and hash,Implemented,완료
CDX-OPT-007,Session resume,Resume from first incomplete stage,Policy added,완료
CDX-OPT-008,Expensive stage ordering,Browser and supply chain run late,Policy added,완료
CDX-OPT-009,Safe cleanup,Tracked paths are skipped,Script added,완료
CDX-OPT-010,Git write boundary,Codex commit and push prohibited,Documented,완료
