requirement_id,section,edu_feature_ids,public_contract,reference_source,normal_scenario,error_fault_recovery_scenario,adm_observation_path,runtime_command,coverage_development_status,runtime_verification_status,evidence
ARCH-MISSION,Architecture/Core,EDU-001 | EDU-002 | EDU-005 | EDU-032,build.gradle | cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,build.gradle | cpf-tools/generator/**/* | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-tools/runtime/**/*,EDU-001-SCN-NORMAL | EDU-002-SCN-NORMAL | EDU-005-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-001-SCN-ERROR | EDU-001-SCN-RECOVERY | EDU-001-SCN-SECURITY | EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/runtimeControl | /configs | /serviceRegistry | /topology,"./gradlew.bat clean test assemble publishToMavenLocal --no-daemon --stacktrace | pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
ARCH-MSA,Architecture/Core,EDU-001 | EDU-002 | EDU-005 | EDU-032,build.gradle | cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,build.gradle | cpf-tools/generator/**/* | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-tools/runtime/**/*,EDU-001-SCN-NORMAL | EDU-002-SCN-NORMAL | EDU-005-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-001-SCN-ERROR | EDU-001-SCN-RECOVERY | EDU-001-SCN-SECURITY | EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/runtimeControl | /configs | /serviceRegistry | /topology,"./gradlew.bat clean test assemble publishToMavenLocal --no-daemon --stacktrace | pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
ARCH-BOUNDARY,Architecture/Core,EDU-001 | EDU-002 | EDU-005 | EDU-032,build.gradle | cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,build.gradle | cpf-tools/generator/**/* | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-tools/runtime/**/*,EDU-001-SCN-NORMAL | EDU-002-SCN-NORMAL | EDU-005-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-001-SCN-ERROR | EDU-001-SCN-RECOVERY | EDU-001-SCN-SECURITY | EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/runtimeControl | /configs | /serviceRegistry | /topology,"./gradlew.bat clean test assemble publishToMavenLocal --no-daemon --stacktrace | pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
ARCH-LAYER,Architecture/Core,EDU-001 | EDU-002 | EDU-005 | EDU-032,build.gradle | cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,build.gradle | cpf-tools/generator/**/* | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-tools/runtime/**/*,EDU-001-SCN-NORMAL | EDU-002-SCN-NORMAL | EDU-005-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-001-SCN-ERROR | EDU-001-SCN-RECOVERY | EDU-001-SCN-SECURITY | EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/runtimeControl | /configs | /serviceRegistry | /topology,"./gradlew.bat clean test assemble publishToMavenLocal --no-daemon --stacktrace | pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CORE-API,Architecture/Core,EDU-002 | EDU-004 | EDU-005 | EDU-029,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/**/*.java,cpf-tools/generator/**/* | cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-admin/src/main/java/**/*.java,EDU-002-SCN-NORMAL | EDU-004-SCN-NORMAL | EDU-005-SCN-NORMAL | EDU-029-SCN-NORMAL,EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-029-SCN-ERROR | EDU-029-SCN-RECOVERY | EDU-029-SCN-SECURITY,/configs | /responseCodes | /serviceRegistry | /dashboard,"pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | npm --prefix ./cpf-admin/frontend run verify",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CORE-SPI,Architecture/Core,EDU-002 | EDU-004 | EDU-005 | EDU-029,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/**/*.java,cpf-tools/generator/**/* | cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-admin/src/main/java/**/*.java,EDU-002-SCN-NORMAL | EDU-004-SCN-NORMAL | EDU-005-SCN-NORMAL | EDU-029-SCN-NORMAL,EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-029-SCN-ERROR | EDU-029-SCN-RECOVERY | EDU-029-SCN-SECURITY,/configs | /responseCodes | /serviceRegistry | /dashboard,"pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | npm --prefix ./cpf-admin/frontend run verify",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CORE-CONFIG,Architecture/Core,EDU-002 | EDU-004 | EDU-005 | EDU-029,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/**/*.java,cpf-tools/generator/**/* | cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-admin/src/main/java/**/*.java,EDU-002-SCN-NORMAL | EDU-004-SCN-NORMAL | EDU-005-SCN-NORMAL | EDU-029-SCN-NORMAL,EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-029-SCN-ERROR | EDU-029-SCN-RECOVERY | EDU-029-SCN-SECURITY,/configs | /responseCodes | /serviceRegistry | /dashboard,"pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | npm --prefix ./cpf-admin/frontend run verify",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CORE-TESTKIT,Architecture/Core,EDU-002 | EDU-004 | EDU-005 | EDU-029,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/**/*.java,cpf-tools/generator/**/* | cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-admin/src/main/java/**/*.java,EDU-002-SCN-NORMAL | EDU-004-SCN-NORMAL | EDU-005-SCN-NORMAL | EDU-029-SCN-NORMAL,EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-029-SCN-ERROR | EDU-029-SCN-RECOVERY | EDU-029-SCN-SECURITY,/configs | /responseCodes | /serviceRegistry | /dashboard,"pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | npm --prefix ./cpf-admin/frontend run verify",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-CALL,Architecture/Core,EDU-005 | EDU-018 | EDU-028,cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java,cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-gateway/src/main/java/**/*.java,EDU-005-SCN-NORMAL | EDU-018-SCN-NORMAL | EDU-028-SCN-NORMAL,EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY,/serviceRegistry | /logs | /gateway-dashboard,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | ./gradlew.bat :cpf-gateway:test --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-REGISTRY,Architecture/Core,EDU-005 | EDU-018 | EDU-028,cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java,cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-gateway/src/main/java/**/*.java,EDU-005-SCN-NORMAL | EDU-018-SCN-NORMAL | EDU-028-SCN-NORMAL,EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY,/serviceRegistry | /logs | /gateway-dashboard,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | ./gradlew.bat :cpf-gateway:test --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
