scenario_id,requirement_id,scenario_type,scenario,acceptance_evidence,development_status,verification_status,evidence_id
QA34-SCN-001-NORMAL,QA34-REQ-001,정상,Canonical Plugin ID/Group/Artifact/Marker와 pluginManagement Included Build를 단일화한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"fresh clone empty Gradle cache에서 help/projects 성공, cpf-member와 generated domain 실제 Plugin 적용",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-001-NEGATIVE,QA34-REQ-001,오류,Canonical Plugin ID/Group/Artifact/Marker와 pluginManagement Included Build를 단일화한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"fresh clone empty Gradle cache에서 help/projects 성공, cpf-member와 generated domain 실제 Plugin 적용",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-001-RECOVERY,QA34-REQ-001,복구,Canonical Plugin ID/Group/Artifact/Marker와 pluginManagement Included Build를 단일화한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"fresh clone empty Gradle cache에서 help/projects 성공, cpf-member와 generated domain 실제 Plugin 적용",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-002-NORMAL,QA34-REQ-002,정상,BOM Canonical Coordinate와 Local/Staging/Internal Publication 계약을 단일화한다. 정상 구성과 정상 처리에서 계약이 성립한다.,POM/Module/Marker 좌표와 verifier/generator/consumer 일치,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-002-NEGATIVE,QA34-REQ-002,오류,BOM Canonical Coordinate와 Local/Staging/Internal Publication 계약을 단일화한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,POM/Module/Marker 좌표와 verifier/generator/consumer 일치,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-002-RECOVERY,QA34-REQ-002,복구,BOM Canonical Coordinate와 Local/Staging/Internal Publication 계약을 단일화한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,POM/Module/Marker 좌표와 verifier/generator/consumer 일치,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-003-NORMAL,QA34-REQ-003,정상,Java25 aggregateQualityBuild와 Included Build check를 실행한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"Java25 exact SHA command/evidence, compile/test/assemble 통과",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-003-NEGATIVE,QA34-REQ-003,오류,Java25 aggregateQualityBuild와 Included Build check를 실행한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"Java25 exact SHA command/evidence, compile/test/assemble 통과",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-003-RECOVERY,QA34-REQ-003,복구,Java25 aggregateQualityBuild와 Included Build check를 실행한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"Java25 exact SHA command/evidence, compile/test/assemble 통과",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-004-NORMAL,QA34-REQ-004,정상,최종 Push exact SHA에서 clean Evidence를 재생성한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"sourceSha=resultSha=최종 Commit, dirty false, hash/command/time 포함",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-004-NEGATIVE,QA34-REQ-004,오류,최종 Push exact SHA에서 clean Evidence를 재생성한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"sourceSha=resultSha=최종 Commit, dirty false, hash/command/time 포함",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-004-RECOVERY,QA34-REQ-004,복구,최종 Push exact SHA에서 clean Evidence를 재생성한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"sourceSha=resultSha=최종 Commit, dirty false, hash/command/time 포함",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-005-NORMAL,QA34-REQ-005,정상,실제 Backend 전체 OpenAPI를 exact SHA에서 Export한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"모든 Public operation/DTO/error/validation 포함, 수작업 최소 snapshot 제거",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-005-NEGATIVE,QA34-REQ-005,오류,실제 Backend 전체 OpenAPI를 exact SHA에서 Export한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"모든 Public operation/DTO/error/validation 포함, 수작업 최소 snapshot 제거",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-005-RECOVERY,QA34-REQ-005,복구,실제 Backend 전체 OpenAPI를 exact SHA에서 Export한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"모든 Public operation/DTO/error/validation 포함, 수작업 최소 snapshot 제거",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-006-NORMAL,QA34-REQ-006,정상,Generated Client exact-SHA 검증을 항상 fail-closed한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"CPF_SOURCE_SHA 생략/stale marker fixture 실패, producer/verifier schema 일치",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-006-NEGATIVE,QA34-REQ-006,오류,Generated Client exact-SHA 검증을 항상 fail-closed한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"CPF_SOURCE_SHA 생략/stale marker fixture 실패, producer/verifier schema 일치",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-006-RECOVERY,QA34-REQ-006,복구,Generated Client exact-SHA 검증을 항상 fail-closed한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"CPF_SOURCE_SHA 생략/stale marker fixture 실패, producer/verifier schema 일치",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-007-NORMAL,QA34-REQ-007,정상,ADM/BZA clean npm ci/lint/typecheck/test/build를 승인 Registry에서 실행한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"fresh node_modules, exact lock, production bundle hash",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-007-NEGATIVE,QA34-REQ-007,오류,ADM/BZA clean npm ci/lint/typecheck/test/build를 승인 Registry에서 실행한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"fresh node_modules, exact lock, production bundle hash",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-007-RECOVERY,QA34-REQ-007,복구,ADM/BZA clean npm ci/lint/typecheck/test/build를 승인 Registry에서 실행한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"fresh node_modules, exact lock, production bundle hash",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-008-NORMAL,QA34-REQ-008,정상,Chromium/Firefox/WebKit E2E를 전체 Route/권한/오류 계약으로 강화한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"assertion 없는 PASS 0, Router registry 전체, 3 browser evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-008-NEGATIVE,QA34-REQ-008,오류,Chromium/Firefox/WebKit E2E를 전체 Route/권한/오류 계약으로 강화한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"assertion 없는 PASS 0, Router registry 전체, 3 browser evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-008-RECOVERY,QA34-REQ-008,복구,Chromium/Firefox/WebKit E2E를 전체 Route/권한/오류 계약으로 강화한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"assertion 없는 PASS 0, Router registry 전체, 3 browser evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-009-NORMAL,QA34-REQ-009,정상,BFF FilterChain authorization ownership과 401/403를 검증·수정한다. 정상 구성과 정상 처리에서 계약이 성립한다.,모든 privileged endpoint 인증/권한 negative test와 browser session test,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-009-NEGATIVE,QA34-REQ-009,오류,BFF FilterChain authorization ownership과 401/403를 검증·수정한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,모든 privileged endpoint 인증/권한 negative test와 browser session test,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-009-RECOVERY,QA34-REQ-009,복구,BFF FilterChain authorization ownership과 401/403를 검증·수정한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,모든 privileged endpoint 인증/권한 negative test와 browser session test,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-010-NORMAL,QA34-REQ-010,정상,Oracle/PostgreSQL/MariaDB install/upgrade/rollback/drift를 실제 실행한다. 정상 구성과 정상 처리에서 계약이 성립한다.,각 Vendor exact schema/index/constraint/backfill/runtime query evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-010-NEGATIVE,QA34-REQ-010,오류,Oracle/PostgreSQL/MariaDB install/upgrade/rollback/drift를 실제 실행한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,각 Vendor exact schema/index/constraint/backfill/runtime query evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-010-RECOVERY,QA34-REQ-010,복구,Oracle/PostgreSQL/MariaDB install/upgrade/rollback/drift를 실제 실행한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,각 Vendor exact schema/index/constraint/backfill/runtime query evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-011-NORMAL,QA34-REQ-011,정상,Remote Worker execution/ledger/reply/ACK process-kill 경계를 검증한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"DirectChannel 계약 보호, duplicate/lease/DLT/late reply evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-011-NEGATIVE,QA34-REQ-011,오류,Remote Worker execution/ledger/reply/ACK process-kill 경계를 검증한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"DirectChannel 계약 보호, duplicate/lease/DLT/late reply evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-011-RECOVERY,QA34-REQ-011,복구,Remote Worker execution/ledger/reply/ACK process-kill 경계를 검증한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"DirectChannel 계약 보호, duplicate/lease/DLT/late reply evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-012-NORMAL,QA34-REQ-012,정상,Protocol Adapter Outbound Network Policy를 구현한다. 정상 구성과 정상 처리에서 계약이 성립한다.,scheme/TLS/allowlist/DNS/CIDR/size/timeout negative test,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-012-NEGATIVE,QA34-REQ-012,오류,Protocol Adapter Outbound Network Policy를 구현한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,scheme/TLS/allowlist/DNS/CIDR/size/timeout negative test,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-012-RECOVERY,QA34-REQ-012,복구,Protocol Adapter Outbound Network Policy를 구현한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,scheme/TLS/allowlist/DNS/CIDR/size/timeout negative test,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-013-NORMAL,QA34-REQ-013,정상,multi-instance durable outbox/fencing/unknown reconciliation을 검증한다. 정상 구성과 정상 처리에서 계약이 성립한다.,duplicate/response-loss/process-kill/lease expiry evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-013-NEGATIVE,QA34-REQ-013,오류,multi-instance durable outbox/fencing/unknown reconciliation을 검증한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,duplicate/response-loss/process-kill/lease expiry evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-013-RECOVERY,QA34-REQ-013,복구,multi-instance durable outbox/fencing/unknown reconciliation을 검증한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,duplicate/response-loss/process-kill/lease expiry evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-014-NORMAL,QA34-REQ-014,정상,Gateway DNS rebinding 방지와 connection identity를 구현한다. 정상 구성과 정상 처리에서 계약이 성립한다.,DNS change/mixed A-AAAA/metadata/redirect fixture 실패,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-014-NEGATIVE,QA34-REQ-014,오류,Gateway DNS rebinding 방지와 connection identity를 구현한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,DNS change/mixed A-AAAA/metadata/redirect fixture 실패,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-014-RECOVERY,QA34-REQ-014,복구,Gateway DNS rebinding 방지와 connection identity를 구현한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,DNS change/mixed A-AAAA/metadata/redirect fixture 실패,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-015-NORMAL,QA34-REQ-015,정상,retry/stream/client disconnect/async completion/audit recovery를 실제 검증한다. 정상 구성과 정상 처리에서 계약이 성립한다.,multi-instance exact-once ledger completion evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-015-NEGATIVE,QA34-REQ-015,오류,retry/stream/client disconnect/async completion/audit recovery를 실제 검증한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,multi-instance exact-once ledger completion evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
