defect_id,priority,area,title,root_cause,source_scope,impact,required_remediation,closure_criteria,review_status
QA31-D001,P0,Evidence,Active 문서 exact SHA 불일치,Current/Handover/Summary가 최신 master SHA를 가리키지 않음,cpf-docs/work/current; cpf-docs/work/handover; cpf-docs/quality,최신 Push 후 완료 Evidence 무효·세션 오판,모든 Active 상태 문서와 current Evidence를 최신 exact SHA로 생성,stale SHA 0; base/head 명시,OPEN
QA31-D002,P0,Evidence,QA30 Evidence 원본 경로 부재,완료 원장이 참조하는 qa30-static-report.json이 최신 Tree에 없음,cpf-docs/evidence; QA30 closure CSV,완료 판정 재현 불가,근거 파일 복구 또는 완료 상태 재개방,모든 완료 행의 실제 존재 Evidence,OPEN
QA31-D003,P0,Architecture,구형 Gateway Route 모델 잔존,core.common.gateway Route/Catalog/Test가 최신 master에 남음,cpf-core/src/main/java/com/cpf/core/common/gateway,신·구 Runtime 병존과 잘못된 Consumer 회귀,Consumer 검색 후 안전 삭제·Arch Gate,구형 파일/Import/Bean/Test 0,OPEN
QA31-D004,P0,Gate,Static Gate PASS 재현 불가,구형 모델 잔존과 PASS 보고가 충돌,cpf-tools/scripts/verify-cpf-qa30-full-completion.ps1,False Green,최신 exact SHA에서 Gate 재실행,명령/Exit 0/Report Hash,OPEN
QA31-D005,P0,Gate,926 통합 Matrix가 Final Gate 직접 입력 아님,기존 Requirement/Evidence만 확인해 신규 Matrix 미검증을 놓칠 수 있음,cpf-tools/scripts/verify-cpf-final-completion.ps1,844 미검증 상태에서도 완료 가능,통합 Matrix 행별 상태·Evidence 강제,필수 미검증 행 존재 시 Exit 1,OPEN
QA31-D006,P0,Status,실행형 결함 검증 완료 오표기,3DB/Browser/Full Product Gate 미실행인데 완료/완료 행 존재,cpf-docs/quality/CPF_20260730_QA30_DEFECT_CLOSURE.csv,상용 완료 과장,실행형 행 재개방·Evidence 후 승격,미실행 PASS 0,OPEN
QA31-D007,P0,CI,최신 Commit CI Evidence 없음,최신 SHA Workflow/Combined Status 없음,GitHub Actions; cpf-docs/evidence/current,Build 회귀 미탐지,Java25 공식 Build/Test Evidence 생성,exact SHA·JUnit·Exit 0,OPEN
QA31-D008,P0,Gateway,실제 요청 Path가 Target에 전달되지 않음,매칭 Path Pattern이 Target Endpoint로 사용될 가능성,CpfGatewayPublicController; JdbcCpfGatewayRouteProvider; CpfGatewayProxyService,Wildcard API 오호출,Ingress/Target Path/Rewrite 계약 분리,/orders/123가 정확히 Target에 전달,OPEN
QA31-D009,P0,Gateway,ACK 전 Candidate Route 활성화,기동 시 ACK 없는 Candidate를 Snapshot 활성화,CpfGatewayRouteSnapshot; CpfGatewayRouteSynchronizer,미검증 Route 외부 노출,Validate→Activate→ACK/LKG 순서 재설계,ACK 없는 신규 Route default deny,OPEN
QA31-D010,P0,Gateway,Connection Test Type 미실행,NETWORK/TCP/TLS/APPLICATION이 동일 Socket Test,CpfGatewayConnectionTestWorker,운영자가 잘못된 연결 정상 판정,Type별 Adapter와 단계 결과,각 Type Failure Stage 구분,OPEN
QA31-D011,P0,Gateway,TCP 성공만으로 Application UP,실제 요청 없이 application=UP,CpfGatewayHealthWorker,500/Hang Instance Routing,Application Probe 정책 실행,TCP_UP/APP_DOWN 분리·Routing 제외,OPEN
QA31-D012,P0,Ledger,Retry/Failover Attempt 한 행 축약,Service result 최종값만 있어 Attempt별 실패 유실,CpfServiceCallOutcome; CpfGatewayProxyService; gateway ledger,장애 분석·정산 불가,Attempt Event/Callback와 행별 원장,시도 N회=Attempt N행,OPEN
QA31-D013,P0,Approval,Gateway BLOCK/RETIRE 승인 우회,ADM 직접 State API가 BLOCKED/RETIRED 허용,AdmGatewayRegistryController; GatewayApprovalOwnerCommandAdapter,위험 조치 Dual Control 우회,위험 상태 모두 Approval Owner 전용,직접 호출 409/403·승인 실행 성공,OPEN
QA31-D014,P0,Security,Gateway HMAC Body 미보호·Cross-instance Replay,Canonical에 Body Hash/Audience 없음; JVM Local Nonce,CpfGatewayControlSigner; CpfGatewayControlAuthenticationFilter,Command 변조·Replay,Body SHA/Audience/공유 Nonce Store,1byte 변조·다른 Instance replay 거부,OPEN
QA31-D015,P0,Gateway,ADM Remote Gateway Timeout 미적용,설정 timeout이 WebClient.block에 연결되지 않음,application.yml; RemoteCpfGatewayRegistryAdapter,ADM Thread Hang·Unknown 오판,response/connect timeout·Typed Error,Timeout 후 UNKNOWN_RESULT와 Reconcile,OPEN
QA31-D016,P0,Batch,외부 Executor Map이 JSON 아님,Objects.toString으로 Payload 생성,BatchRuntimeExecutorRegistry,상대 시스템 Parsing 실패,ObjectMapper Canonical JSON,Map/DTO 유효 JSON Contract Test,OPEN
QA31-D017,P0,File,File 고급 흐름 Dispatcher 미연결,Ready/Claim/Restart/Reconcile Utility는 있으나 Product Flow 미사용,JobPackDispatcher; ApprovedFileExecutor,중복 처리·Crash 복구 실패,수직 실행·원장 연결,Worker Crash 후 재개 중복 0,OPEN
QA31-D018,P1,File,Remote Watch/Scan/Claim 미구현,Remote Alias는 Upload/Download만 가능,ApprovedFileExecutor; File Provider,Remote File Job 기능 과장,Provider Capability 또는 구현,미지원은 UI/Publish 차단,OPEN
QA31-D019,P0,Shell,Shell 상세 결과 원장 손실,Executor 결과를 status/message로 축약,ApprovedShellExecutor; JobPackDispatcher; JdbcWorkerExecutionRepository,감사·복구 정보 손실,상세 Result Table/Attempt 저장,exit/stdout/stderr/hash/truncation/unknown 보존,OPEN
QA31-D020,P1,Shell,Secret·OS 격리 부분 구현,민감값도 properties 임시파일; ProcessHandle 수준,ApprovedShellExecutor; ScriptArtifactVerifier,Secret 노출·Child Process 잔존,Secret Provider FD/stdin·OS 격리·Trust Store,실제 OS Test Evidence,OPEN
QA31-D021,P0,ADM,Secret/Path/File Picker 실제 미설치,Reference Catalog가 UNAVAILABLE 고정 반환,AdmParameterReferenceCatalogAdapter,UI는 기능처럼 보여도 사용 불가,실제 Provider Catalog 또는 Capability 차단,Secret 값 비노출 Reference 선택 성공,OPEN
QA31-D022,P1,ADM,Service Registry Code 하드코딩,Controller List.of Catalog,AdmServiceRegistryController,Code 불일치·확장 난립,공통 Code/Capability Catalog,Backend/UI 동일 Catalog,OPEN
QA31-D023,P1,ADM,Log Export 단일 ADM 메모리 종속,Local Temp+ConcurrentHashMap,AdmLogExportService,재기동/LB 전환 시 다운로드 실패,공유 Durable Store+DB Metadata+Approval,다른 ADM Instance/재기동 후 다운로드,OPEN
