change_id,decision,development_status,verification_status,primary_path,legacy_status,evidence
OSS-MIG-001,ADOPT_NOW,완료,미검증,shared CPF UI wrappers + ADM/BZA feature screens,삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql"
OSS-MIG-002,ADOPT_NOW,완료,미검증,ADM/BZA router registry and guards,삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql"
OSS-MIG-003,ADOPT_NOW,완료,미검증,"auth subject, environment, UI preferences only",삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql"
OSS-MIG-004,ADOPT_NOW,완료,미검증,generated API query/mutation hooks,삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql"
OSS-MIG-005,ADOPT_NOW,완료,미검증,typed feature form schemas,삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql"
OSS-MIG-006,ADOPT_NOW,완료,미검증,ADM/BZA generated clients + shared mutator,삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql"
OSS-MIG-007,ADOPT_NOW,완료,미검증,ADM/BZA BFF,삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-tools/scripts/verify-cpf-qa32-repository-security.py"
OSS-MIG-008,ADOPT_NOW,완료,미검증,single cpf-gateway executable bootJar,삭제 Manifest/Gate 반영,cpf-gateway/src/main/java/com/cpf/gateway/scg/**;cpf-gateway/build.gradle;cpf-docs/work/manifest/CPF_20260731_QA32_DELETE_MANIFEST.txt;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv
OSS-MIG-009,ADOPT_NOW,완료,미검증,cpf-message-api + kafka adapter/starter,삭제 Manifest/Gate 반영,cpf-starters/messaging-kafka/**;cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafka*.java
OSS-MIG-010,ADOPT_NOW,완료,미검증,cpf-message-testkit,삭제 Manifest/Gate 반영,cpf-starters/messaging-kafka/**;cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafka*.java
OSS-MIG-011,ADOPT_NOW,완료,미검증,standard outbound adapters,삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/resilience/**;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv"
OSS-MIG-012,ADOPT_NOW,완료,미검증,cpf-batch:execution-runtime + Spring Batch JobRepository and standard remote execution extensions,삭제 Manifest/Gate 반영,"cpf-batch/execution-runtime/**;cpf-batch/worker/src/main/java/com/cpf/batch/worker/SpringBatchWorkerStepHandler.java;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V82__*.sql;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V84__*.sql"
OSS-MIG-013,ADOPT_SCOPED,완료,미검증,CpfScheduleTriggerPort adapters,삭제 Manifest/Gate 반영,"cpf-batch/execution-runtime/**;cpf-batch/worker/src/main/java/com/cpf/batch/worker/SpringBatchWorkerStepHandler.java;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V82__*.sql;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V84__*.sql"
OSS-MIG-014,ADOPT_NOW,완료,미검증,3DB schema history/order/checksum engine,삭제 Manifest/Gate 반영,cpf-tools/scripts/verify-cpf-qa32-primary-engines.py
OSS-MIG-015,ADOPT_NOW,완료,미검증,observation conventions + exporter adapter,삭제 Manifest/Gate 반영,cpf-starters/observability/**
OSS-MIG-016,ADOPT_NOW,완료,미검증,opt-in local cache starter,삭제 Manifest/Gate 반영,cpf-starters/cache/**
OSS-MIG-017,OPTIONAL_ADAPTER,완료,미검증,opt-in valkey adapter; server not bundled,정책 유지,cpf-starters/cache/**
OSS-MIG-018,CONDITIONAL,완료,미검증,provider-neutral client/control plane,정책 유지,cpf-starters/featureflag/**
OSS-MIG-019,ADOPT_ARCHITECTURE,완료,미검증,reference/lifecycle/audit/provider adapters,삭제 Manifest/Gate 반영,cpf-starters/secret/**;cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/service/BzaBootstrapRunner.java
OSS-MIG-020,ADOPT_NOW,완료,미검증,build graph/compliance/final artifact/vulnerability gates,삭제 Manifest/Gate 반영,cpf-tools/supply-chain/**;cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1;cpf-docs/legal/THIRD_PARTY_NOTICES_QA32.md
OSS-MIG-021,ADOPT_NOW,완료,미검증,3-browser workflows and evidence,삭제 Manifest/Gate 반영,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql"
OSS-MIG-022,DO_NOT_ADOPT_UNLESS_ADR,완료,미검증,none now unless dynamic human workflow requirements proven,정책 유지,cpf-tools/scripts/verify-cpf-qa32-primary-engines.py
OSS-MIG-023,EXCLUDED_CURRENT_SCOPE,완료,미검증,no cpf-gateway-webflux.jar,정책 유지,cpf-gateway/src/main/java/com/cpf/gateway/scg/**;cpf-gateway/build.gradle;cpf-docs/work/manifest/CPF_20260731_QA32_DELETE_MANIFEST.txt;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv
