route_id,path,menu_id,group,label,owner_module,risk_level,query_operation_ids,mutation_operation_ids,button_permissions,requires_server_paging,requires_detail,requires_empty_state,required_error_statuses,requires_reason,requires_approval,requires_cas,requires_audit,preserved_context,development_status,verification_status,evidence_requirement
dashboard,/,DASHBOARD,home,통합 운영 Dashboard,cpf-admin,MEDIUM,admRuntimeControlFindHealth;admRuntimeControlFindStatus;findAdmUnknownResults;findAdmBrokerDlq;findAdmBrokerOutbox;admBatchFindExecutionPage;getAdmReadiness;getAdmLiveness;getAdmSystemVersion,,DASHBOARD_READ,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
topology,/topology,TOPOLOGY,home,서비스 토폴로지,cpf-admin,MEDIUM,admServiceRegistryFindServices;admServiceRegistryFindInstances;admServiceRegistryFindEndpoints;admServiceRegistryFindHealth,,TOPOLOGY_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
capacity,/capacity,CAPACITY,home,Online Runtime Diagnostics,cpf-admin,MEDIUM,admRuntimeControlFindHealth;admRuntimeControlFindStatus;findAdmBrokerOutbox;findAdmBrokerInbox;findAdmIdempotencyRecords;findAdmFileTransferHistory,,CAPACITY_READ,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
logs,/logs,LOG_LIST,monitoring,거래 로그,cpf-admin,MEDIUM,admLogFindLogs;admLogGetLogDetail;admLogExportDownload,admLogExportCreate,LOG_LIST_READ,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
transactionGroups,/transactionGroups,LOG_LIST,online,Online·Batch 통합 Trace,cpf-admin,MEDIUM,traceAdmByTransactionId;traceAdmByTraceId;traceAdmByBusinessTransactionId;admTransactionGroupFindTimeline,,LOG_LIST_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
transactions,/transactions,TRANSACTION_META,online,온라인 거래 정의,cpf-admin,HIGH,admTransactionMetaFindPage;admTransactionMetaFindTransaction,admTransactionMetaScan;admTransactionMetaInactivate,TRANSACTION_META_READ;TRANSACTION_META_SCAN;TRANSACTION_META_WRITE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
remoteLogs,/remoteLogs,REMOTE_LOG,monitoring,원격 로그,cpf-admin,MEDIUM,admRemoteLogSearch;admRemoteLogPreview;admRemoteLogBundleJobFind;admRemoteLogBundleJobDownload,admRemoteLogBundleJobCreate,REMOTE_LOG_READ;REMOTE_LOG_BUNDLE_CREATE;REMOTE_LOG_BUNDLE_DOWNLOAD,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
auditLogs,/auditLogs,AUDIT_LOG,monitoring,감사 로그,cpf-admin,MEDIUM,admAuditLogFindAuditLogs;admAuditDeliveryList;admLogPolicyAuditFindPolicyAudits,admAuditDeliveryRetry,AUDIT_LOG_READ;AUDIT_LOG_RETRY,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
logLevel,/logLevel,DYNAMIC_LOG,monitoring,동적 로그,cpf-admin,HIGH,admDynamicLogLevelFindRules,admDynamicLogLevelRegister;admDynamicLogLevelRemove,DYNAMIC_LOG_READ;DYNAMIC_LOG_WRITE;DYNAMIC_LOG_DELETE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
logPolicies,/logPolicies,LOG_POLICY,monitoring,로그 정책,cpf-admin,MEDIUM,admLogPolicyFindPolicies;admLogPolicyFindPolicy;admLogPolicyDistributionStatus,admLogPolicyCreatePolicy;admLogPolicyUpdatePolicy;admLogPolicyDisablePolicy,LOG_POLICY_READ;LOG_POLICY_WRITE;LOG_POLICY_CACHE_REFRESH;LOG_POLICY_CACHE_CLEAR,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
standardExecutions,/standardExecutions,STANDARD_EXECUTION,online,표준 실행,cpf-admin,MEDIUM,admStandardExecutionFindAll;admStandardExecutionFindOne,,STANDARD_EXECUTION_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
channelPolicy,/channelPolicy,CHANNEL_POLICY,online,채널 정책,cpf-admin,HIGH,admChannelFindSnapshot;admChannelExportPackage,admChannelRefreshSnapshot;admChannelSave;admChannelSaveExecutionPolicy;admChannelImportPackage,CHANNEL_POLICY_READ;CHANNEL_POLICY_REFRESH;CHANNEL_POLICY_IMPORT;CHANNEL_POLICY_WRITE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
serviceRegistry,/serviceRegistry,SERVICE_REGISTRY,online,서비스 레지스트리,cpf-admin,MEDIUM,admServiceRegistryFindServices;admServiceRegistryFindInstances;admServiceRegistryFindEndpoints;admServiceRegistryFindHealth,admServiceRegistrySaveService;admServiceRegistrySaveInstance;admServiceRegistrySaveEndpoint;admServiceRegistryChangeInstanceState;admServiceRegistryDeleteEndpoint;admServiceRegistryDeleteInstance;admServiceRegistryDeleteService,SERVICE_REGISTRY_READ;SERVICE_REGISTRY_WRITE;SERVICE_REGISTRY_DELETE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
