record_id,canonical_requirement_ids,owner_module,source_scope,consumer_scope,acceptance,development_status,verification_status,evidence
POST37-REQ-001,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Architecture,Starter Container 정식화,actual product/domain consumers required,Root inventory가 Generated Domain으로 오인하지 않고 Fresh Clone Gate PASS,미구현,미검증,pending exact-SHA execution
POST37-REQ-002,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Core,Core 경량화,actual product/domain consumers required,Core Runtime/POM에 승인되지 않은 선택 OSS 강제 전이 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-003,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Architecture,Framework 전체 Starter 후보 분류,actual product/domain consumers required,미분류 Runtime Capability 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-004,ARCH-STARTER,Build,의존·Consumer 양방향 그래프,actual product/domain consumers required,Consumer 없는 GA Starter 0; 역방향/순환 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-005,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Architecture,비-Starter 영역 보호,actual product/domain consumers required,Owner 전용 기능의 Starter 유출 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-006,SEC-AUTHN+SEC-AUTHZ+ARCH-STARTER,Security,Security 범용/제품 정책 분리,actual product/domain consumers required,Starter에 Product 경로/업무 권한 하드코딩 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-007,SEC-AUTHN+SEC-AUTHZ+ARCH-STARTER,Security/Build,Security 세분화 결정,actual product/domain consumers required,Security 소비가 JDBC Session을 무조건 강제하지 않음,미구현,미검증,pending exact-SHA execution
POST37-REQ-008,EVENT-BROKER+EVENT-MQ,Messaging,Kafka Closure,actual product/domain consumers required,Kafka 주요 실패 시나리오 PASS,미구현,미검증,pending exact-SHA execution
POST37-REQ-009,EVENT-BROKER+EVENT-MQ,Architecture/Messaging,RabbitMQ 지원 ADR,actual product/domain consumers required,책임·지원 Matrix·비지원 문구가 정본화,미구현,미검증,pending exact-SHA execution
POST37-REQ-010,EVENT-BROKER+EVENT-MQ,Messaging,RabbitMQ 선택 구현,actual product/domain consumers required,Kafka와 의미 동등성 및 Optional 선택 PASS,미구현,미검증,pending exact-SHA execution
POST37-REQ-011,ARCH-STARTER+OPS-CONFIG,Cache,Cache Runtime Owner 정리,actual product/domain consumers required,Common이 선택 Cache Runtime을 전이하지 않음,미구현,미검증,pending exact-SHA execution
POST37-REQ-012,ARCH-STARTER+OPS-CONFIG,Cache,Cache Provider 세분화,actual product/domain consumers required,Provider별 제거 Compile/Runtime PASS,미구현,미검증,pending exact-SHA execution
POST37-REQ-013,CPF-TRACE+OPS-METRIC,Observability,Observability Closure,actual product/domain consumers required,Exporter 장애가 제품 안정성·보안 기준에 맞게 처리,미구현,미검증,pending exact-SHA execution
POST37-REQ-014,CPF-RESILIENCE,Resilience,Resilience 정책 정본,actual product/domain consumers required,Local Transaction 오용 0; bounded retry,미구현,미검증,pending exact-SHA execution
POST37-REQ-015,ARCH-STARTER,Feature Flag,Feature Flag GA 판정,actual product/domain consumers required,Dead abstraction 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-016,SEC-SECRET,Secret,Secret Runtime Closure,actual product/domain consumers required,평문/로그 유출 0; no-provider fail-closed,미구현,미검증,pending exact-SHA execution
POST37-REQ-017,ARCH-STARTER,Web,Web MVC/OpenAPI 분리,actual product/domain consumers required,비-Web Runtime에 Servlet/UI Dependency 강제 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-018,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Remote Call,HTTP Client Starter 후보 결정,actual product/domain consumers required,Local/Remote 계약 동등성,미구현,미검증,pending exact-SHA execution
POST37-REQ-019,DB-SQL+DB-MULTI-VENDOR+ARCH-STARTER,Persistence,MyBatis Runtime 분리,actual product/domain consumers required,Core에 MyBatis Runtime 강제 0; 선택 Domain만 포함,미구현,미검증,pending exact-SHA execution
POST37-REQ-020,EVENT-BROKER+EVENT-MQ+DB-SQL+DB-MULTI-VENDOR+ARCH-STARTER,Data/Messaging,JDBC Adapter 후보 검토,actual product/domain consumers required,"다수 Consumer면 공통 Adapter, 단일 Consumer면 Owner 유지",미구현,미검증,pending exact-SHA execution
POST37-REQ-021,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DEVEX-CODEGEN+ONBOARD-DOMAIN,Generator,Generator Starter 선택,actual product/domain consumers required,미선택 Starter 0; invalid combination fail-closed; 사용자 영역 보존,미구현,미검증,pending exact-SHA execution
POST37-REQ-022,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DEVEX-CODEGEN+ONBOARD-DOMAIN,Generated Domain,최소 Domain Profile,actual product/domain consumers required,Default 생성물에 불필요 Starter/Config/Bean 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-023,DEVEX-CODEGEN+ONBOARD-DOMAIN,Reference,Reference/Golden Domain 소비,actual product/domain consumers required,기동/실패/복구 Evidence 확보,미구현,미검증,pending exact-SHA execution
POST37-REQ-024,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Build/Release,BOM·Version·Publication,actual product/domain consumers required,LOCAL_DEV/REMOTE/OFFLINE publish/consume PASS,미구현,미검증,pending exact-SHA execution
POST37-REQ-025,ARCH-STARTER,Build,Artifact Packaging,actual product/domain consumers required,불필요 Transitive Dependency 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-026,ARCH-STARTER,Migration,Dual Primary 제거,actual product/domain consumers required,같은 Capability Primary 구현 1개,미구현,미검증,pending exact-SHA execution
POST37-REQ-027,ARCH-STARTER,Runtime,Topology/Failure Matrix,actual product/domain consumers required,선택 조합별 필수 Runtime PASS,미구현,미검증,pending exact-SHA execution
POST37-REQ-028,SEC-AUTHN+SEC-AUTHZ+ARCH-STARTER,Security,AutoConfiguration 안전성,actual product/domain consumers required,의도치 않은 Bean 활성화·완화 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-029,DOC-GOV+DOC-PRODUCT,Documentation,Guide·Deliverable 동기화,actual product/domain consumers required,Source/BOM/Generator와 Guide drift 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-030,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+TEST-EVIDENCE+RULE-ARCH,Evidence,Starter Evidence 표준,actual product/domain consumers required,과거/다른 SHA 성공 승계 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-031,ARCH-STARTER,Performance,Footprint 최적화,actual product/domain consumers required,불필요 Runtime 증가 원인 0; 예산 정본화,미구현,미검증,pending exact-SHA execution
POST37-REQ-032,ARCH-STARTER,Compatibility,Mixed Version·Upgrade/Rollback,actual product/domain consumers required,비호환 조합 fail-closed,미구현,미검증,pending exact-SHA execution
POST37-REQ-033,TEST-EVIDENCE+RULE-ARCH,QA,Final Gate 통합,actual product/domain consumers required,날짜별 중복 Gate 없이 Final entry에서 실행,미구현,미검증,pending exact-SHA execution
POST37-REQ-034,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Architecture/Build,Starter 선택 계층 확정,actual product/domain consumers required,각 계층의 활성화·버전·Owner·금지 책임이 정본화,미구현,미검증,pending exact-SHA execution
POST37-REQ-035,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DEVEX-CODEGEN+ONBOARD-DOMAIN,Generator,Generator Capability Profile,actual product/domain consumers required,Profile 이름만 숨겨 두지 않고 resolvedStarters가 Build와 일치,미구현,미검증,pending exact-SHA execution
POST37-REQ-036,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Build/Architecture,Aggregate Starter ADR,actual product/domain consumers required,불필요 Aggregate 0; 고유 Bean/AutoConfiguration 0; 개별 Leaf 선택 유지,미구현,미검증,pending exact-SHA execution
POST37-REQ-037,DEVEX-CODEGEN+ONBOARD-DOMAIN,Generator/Build,상호 배타 Provider 충돌 차단,actual product/domain consumers required,승인 없는 동시 Provider 선택 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-038,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Compatibility,Profile Version·Resolved Lock,actual product/domain consumers required,Profile 변경이 기존 Domain을 묵시 변경하지 않고 upgrade diff/rollback 가능,미구현,미검증,pending exact-SHA execution
POST37-REQ-039,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DOC-GOV+DOC-PRODUCT+TEST-EVIDENCE+RULE-ARCH,QA/Documentation,Profile·Bundle Drift Gate,actual product/domain consumers required,불일치 0; 날짜별 중복 Gate 없이 Final entry 통합,미구현,미검증,pending exact-SHA execution
POST37-REQ-040,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Performance/Architecture,Mega Starter 금지와 최소성,actual product/domain consumers required,미사용 Runtime 포함 0; Profile별 예산 초과 원인 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-041,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Architecture/Core,Core 독립 계약 Artifact 유지,actual product/domain consumers required,비 Spring Fresh Consumer가 Core만으로 compile/test; 선택 Runtime 전이 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-042,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,Architecture/Starter,cpf-starter-base ADR와 구현,actual product/domain consumers required,Core와 최소 Boot 조립만 포함; Web/DB/Broker/Cache/Security UI/Batch 전이 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-043,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+TEST-EVIDENCE+RULE-ARCH,Build/QA,Base Starter 최소성 Gate,actual product/domain consumers required,금지 Runtime 0; 제거 Compile PASS; 최소 JAR/Classpath 예산 충족,미구현,미검증,pending exact-SHA execution
POST37-REQ-044,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD+DEVEX-CODEGEN+ONBOARD-DOMAIN,Generator/Architecture,Contract Consumer와 Boot Domain Profile 분리,actual product/domain consumers required,각 Profile Build·Manifest·Config가 다르고 불필요 Boot Runtime 전이 0,미구현,미검증,pending exact-SHA execution
POST37-REQ-045,ARCH-STARTER,Common/Architecture,cpf-common 선택 업무공통 재분류,actual product/domain consumers required,Redis/Cache/Scheduling 등 기술 Runtime 강제 전이 0; 실제 업무 Consumer closure 확보,미구현,미검증,pending exact-SHA execution
POST37-REQ-046,ARCH-STARTER+DB-FRESH+EVENT-MQ+EVENT-JMS+EVENT-IBM-MQ+EVENT-AMQP+EXS-TCP,Governance,Canonical requirement recovery,actual product/domain consumers required,count/id/trace gate,미구현,미검증,pending exact-SHA execution
POST37-REQ-047,EVENT-MQ+CORE-MESSAGE,Messaging,Provider-neutral MQ contract,actual product/domain consumers required,contract tests + provider parity,미구현,미검증,pending exact-SHA execution
POST37-REQ-048,EVENT-JMS+ARCH-STARTER,Messaging,Jakarta JMS Starter,actual product/domain consumers required,actual JMS provider + outage,미구현,미검증,pending exact-SHA execution
POST37-REQ-049,EVENT-IBM-MQ+EVENT-JMS,Messaging,IBM MQ Starter,actual product/domain consumers required,IBM MQ compatible runtime + security/fault,미구현,미검증,pending exact-SHA execution
POST37-REQ-050,EVENT-AMQP+EVENT-MQ,Messaging,RabbitMQ AMQP Starter,actual product/domain consumers required,actual RabbitMQ + fault,미구현,미검증,pending exact-SHA execution
POST37-REQ-051,EXS-TCP+CORE-FIXED+EXS-UNKNOWN+EXS-RECON,Integration,Persistent TCP Starter,actual product/domain consumers required,Toxiproxy/process fault/multi-instance,미구현,미검증,pending exact-SHA execution
POST37-REQ-052,DB-FRESH+DB-INSTALL+DB-MIGRATION+DB-ROLLBACK,DB/Generator,Official fresh lifecycle orchestration,actual product/domain consumers required,3 vendor lifecycle,미구현,미검증,pending exact-SHA execution
POST37-REQ-053,DB-FRESH+DB-MULTI-VENDOR,DB,MariaDB exact lifecycle,actual product/domain consumers required,actual MariaDB container,미구현,미검증,pending exact-SHA execution
POST37-REQ-054,DB-FRESH+DB-MULTI-VENDOR,DB,PostgreSQL exact lifecycle,actual product/domain consumers required,actual PostgreSQL container,미구현,미검증,pending exact-SHA execution
POST37-REQ-055,DB-FRESH+DB-MULTI-VENDOR,DB,Oracle exact lifecycle,actual product/domain consumers required,actual Oracle container,미구현,미검증,pending exact-SHA execution
POST37-REQ-056,REQ-CODEX+TEST-EVIDENCE,QA,Verification history normalization,actual product/domain consumers required,ledger schema/hash gate,미구현,미검증,pending exact-SHA execution
POST37-REQ-057,REL-BUILD+TEST-UNIT+TEST-CONTRACT,Build,Java 25 full lifecycle,actual product/domain consumers required,Gradle full plan,미구현,미검증,pending exact-SHA execution
POST37-REQ-058,ADM-UX+TEST-BROWSER,ADM/BZA,Frontend clean and browser,actual product/domain consumers required,ADM/BZA exact SHA,미구현,미검증,pending exact-SHA execution
POST37-REQ-059,TEST-RUNTIME+TEST-FAULT+TEST-BROKER,Runtime,Docker runtime/fault/multi-instance,actual product/domain consumers required,actual services and logs,미구현,미검증,pending exact-SHA execution
POST37-REQ-060,REL-BUILD+RULE-SEC+RULE-QUALITY,Release,Final artifact security/license,actual product/domain consumers required,final artifact scan,미구현,미검증,pending exact-SHA execution
POST37-REQ-061,DOC-GOV+REQ-GOV,Documentation,Single current canonical set,actual product/domain consumers required,canonical index and reference scan,미구현,미검증,pending exact-SHA execution
POST37-REQ-062,RULE-QUALITY+REQ-REVIEW,Repository,Garbage and generated artifact cleanup,actual product/domain consumers required,safe cleanup + git status,미구현,미검증,pending exact-SHA execution
