record_type,record_id,work_package,priority,category,title,requested_status,result_status,source_status,validation_status,root_cause_group,related_defect_ids,changed_files,validation_command,evidence_path,base_sha,head_sha,completion_blocker_actual,notes
Requirement,QA31-GOV-001,WP00,P0,Baseline,최신 exact SHA 기준선,OPEN,부분 구현,보완 개발,제한 검증,RC-01 Evidence·Matrix·False-green Gate,QA31-D001;QA31-D002;QA31-D003;QA31-D004;QA31-D005;QA31-D006;QA31-D007,cpf-tools/scripts/verify-cpf-qa31-development.py;cpf-tools/scripts/verify-cpf-qa31-development-result.ps1;cpf-tools/scripts/verify-cpf-reference-qa31-coverage.py;cpf-tools/scripts/verify-cpf-bza-qa31-coverage.py;cpf-tools/scripts/package-cpf-qa31-development-result.ps1;cpf-tools/scripts/apply-cpf-qa31-development-result.ps1;cpf-docs/work/manifest/CPF_20260730_QA31_REQUEST_INTEGRITY.json;cpf-docs/work/manifest/CPF_20260730_QA31_DELETE_MANIFEST.txt,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,원본 Hash와 상태 enum·Evidence 존재성·Legacy 제거·README/Guide 제외를 자동 검사한다. Push 후 exact HEAD 재실행 필요.
Requirement,QA31-GOV-002,WP00,P0,Integrity,요청 원본 불변성,OPEN,부분 구현,보완 개발,제한 검증,RC-01 Evidence·Matrix·False-green Gate,QA31-D001;QA31-D002;QA31-D003;QA31-D004;QA31-D005;QA31-D006;QA31-D007,cpf-tools/scripts/verify-cpf-qa31-development.py;cpf-tools/scripts/verify-cpf-qa31-development-result.ps1;cpf-tools/scripts/verify-cpf-reference-qa31-coverage.py;cpf-tools/scripts/verify-cpf-bza-qa31-coverage.py;cpf-tools/scripts/package-cpf-qa31-development-result.ps1;cpf-tools/scripts/apply-cpf-qa31-development-result.ps1;cpf-docs/work/manifest/CPF_20260730_QA31_REQUEST_INTEGRITY.json;cpf-docs/work/manifest/CPF_20260730_QA31_DELETE_MANIFEST.txt,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,원본 Hash와 상태 enum·Evidence 존재성·Legacy 제거·README/Guide 제외를 자동 검사한다. Push 후 exact HEAD 재실행 필요.
Requirement,QA31-GOV-003,WP00,P0,Matrix,926 Matrix Final Gate 연결,OPEN,부분 구현,보완 개발,제한 검증,RC-01 Evidence·Matrix·False-green Gate,QA31-D001;QA31-D002;QA31-D003;QA31-D004;QA31-D005;QA31-D006;QA31-D007,cpf-tools/scripts/verify-cpf-qa31-development.py;cpf-tools/scripts/verify-cpf-qa31-development-result.ps1;cpf-tools/scripts/verify-cpf-reference-qa31-coverage.py;cpf-tools/scripts/verify-cpf-bza-qa31-coverage.py;cpf-tools/scripts/package-cpf-qa31-development-result.ps1;cpf-tools/scripts/apply-cpf-qa31-development-result.ps1;cpf-docs/work/manifest/CPF_20260730_QA31_REQUEST_INTEGRITY.json;cpf-docs/work/manifest/CPF_20260730_QA31_DELETE_MANIFEST.txt,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,원본 Hash와 상태 enum·Evidence 존재성·Legacy 제거·README/Guide 제외를 자동 검사한다. Push 후 exact HEAD 재실행 필요.
Requirement,QA31-GOV-004,WP00,P0,Evidence,완료 Evidence 실재성,OPEN,부분 구현,보완 개발,제한 검증,RC-01 Evidence·Matrix·False-green Gate,QA31-D001;QA31-D002;QA31-D003;QA31-D004;QA31-D005;QA31-D006;QA31-D007,cpf-tools/scripts/verify-cpf-qa31-development.py;cpf-tools/scripts/verify-cpf-qa31-development-result.ps1;cpf-tools/scripts/verify-cpf-reference-qa31-coverage.py;cpf-tools/scripts/verify-cpf-bza-qa31-coverage.py;cpf-tools/scripts/package-cpf-qa31-development-result.ps1;cpf-tools/scripts/apply-cpf-qa31-development-result.ps1;cpf-docs/work/manifest/CPF_20260730_QA31_REQUEST_INTEGRITY.json;cpf-docs/work/manifest/CPF_20260730_QA31_DELETE_MANIFEST.txt,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,원본 Hash와 상태 enum·Evidence 존재성·Legacy 제거·README/Guide 제외를 자동 검사한다. Push 후 exact HEAD 재실행 필요.
Requirement,QA31-GOV-005,WP00,P0,Status,실행형 상태 엄격화,OPEN,부분 구현,보완 개발,제한 검증,RC-01 Evidence·Matrix·False-green Gate,QA31-D001;QA31-D002;QA31-D003;QA31-D004;QA31-D005;QA31-D006;QA31-D007,cpf-tools/scripts/verify-cpf-qa31-development.py;cpf-tools/scripts/verify-cpf-qa31-development-result.ps1;cpf-tools/scripts/verify-cpf-reference-qa31-coverage.py;cpf-tools/scripts/verify-cpf-bza-qa31-coverage.py;cpf-tools/scripts/package-cpf-qa31-development-result.ps1;cpf-tools/scripts/apply-cpf-qa31-development-result.ps1;cpf-docs/work/manifest/CPF_20260730_QA31_REQUEST_INTEGRITY.json;cpf-docs/work/manifest/CPF_20260730_QA31_DELETE_MANIFEST.txt,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,원본 Hash와 상태 enum·Evidence 존재성·Legacy 제거·README/Guide 제외를 자동 검사한다. Push 후 exact HEAD 재실행 필요.
Requirement,QA31-GOV-006,WP00,P0,Architecture,구형 Gateway 모델 제거 Gate,OPEN,부분 구현,보완 개발,제한 검증,RC-01 Evidence·Matrix·False-green Gate,QA31-D001;QA31-D002;QA31-D003;QA31-D004;QA31-D005;QA31-D006;QA31-D007,cpf-tools/scripts/verify-cpf-qa31-development.py;cpf-tools/scripts/verify-cpf-qa31-development-result.ps1;cpf-tools/scripts/verify-cpf-reference-qa31-coverage.py;cpf-tools/scripts/verify-cpf-bza-qa31-coverage.py;cpf-tools/scripts/package-cpf-qa31-development-result.ps1;cpf-tools/scripts/apply-cpf-qa31-development-result.ps1;cpf-docs/work/manifest/CPF_20260730_QA31_REQUEST_INTEGRITY.json;cpf-docs/work/manifest/CPF_20260730_QA31_DELETE_MANIFEST.txt,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,원본 Hash와 상태 enum·Evidence 존재성·Legacy 제거·README/Guide 제외를 자동 검사한다. Push 후 exact HEAD 재실행 필요.
Requirement,QA31-GOV-007,WP00,P1,DocsBoundary,README·Guide 제외,OPEN,부분 구현,보완 개발,제한 검증,RC-01 Evidence·Matrix·False-green Gate,QA31-D001;QA31-D002;QA31-D003;QA31-D004;QA31-D005;QA31-D006;QA31-D007,cpf-tools/scripts/verify-cpf-qa31-development.py;cpf-tools/scripts/verify-cpf-qa31-development-result.ps1;cpf-tools/scripts/verify-cpf-reference-qa31-coverage.py;cpf-tools/scripts/verify-cpf-bza-qa31-coverage.py;cpf-tools/scripts/package-cpf-qa31-development-result.ps1;cpf-tools/scripts/apply-cpf-qa31-development-result.ps1;cpf-docs/work/manifest/CPF_20260730_QA31_REQUEST_INTEGRITY.json;cpf-docs/work/manifest/CPF_20260730_QA31_DELETE_MANIFEST.txt,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,원본 Hash와 상태 enum·Evidence 존재성·Legacy 제거·README/Guide 제외를 자동 검사한다. Push 후 exact HEAD 재실행 필요.
Requirement,QA31-GOV-008,WP00,P1,Packaging,Root-relative 결과 ZIP,OPEN,부분 구현,보완 개발,제한 검증,RC-01 Evidence·Matrix·False-green Gate,QA31-D001;QA31-D002;QA31-D003;QA31-D004;QA31-D005;QA31-D006;QA31-D007,cpf-tools/scripts/verify-cpf-qa31-development.py;cpf-tools/scripts/verify-cpf-qa31-development-result.ps1;cpf-tools/scripts/verify-cpf-reference-qa31-coverage.py;cpf-tools/scripts/verify-cpf-bza-qa31-coverage.py;cpf-tools/scripts/package-cpf-qa31-development-result.ps1;cpf-tools/scripts/apply-cpf-qa31-development-result.ps1;cpf-docs/work/manifest/CPF_20260730_QA31_REQUEST_INTEGRITY.json;cpf-docs/work/manifest/CPF_20260730_QA31_DELETE_MANIFEST.txt,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,원본 Hash와 상태 enum·Evidence 존재성·Legacy 제거·README/Guide 제외를 자동 검사한다. Push 후 exact HEAD 재실행 필요.
Requirement,QA31-GWY-001,WP01,P0,Route,Ingress/Target Path 분리,OPEN,부분 구현,보완 개발,제한 검증,RC-02 Gateway Route Apply·Path·Remote Result,QA31-D003;QA31-D008;QA31-D009;QA31-D015,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRoute.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayPathRewriter.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayRouteSnapshot.java;cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java;cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,"Route targetPath 분리, ACK 전 default deny, timeout/unknown result 보완. 실제 다중 인스턴스 Runtime은 미검증."
Requirement,QA31-GWY-002,WP01,P0,Apply,ACK 전 신규 Route default deny,OPEN,부분 구현,보완 개발,제한 검증,RC-02 Gateway Route Apply·Path·Remote Result,QA31-D003;QA31-D008;QA31-D009;QA31-D015,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRoute.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayPathRewriter.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayRouteSnapshot.java;cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java;cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,"Route targetPath 분리, ACK 전 default deny, timeout/unknown result 보완. 실제 다중 인스턴스 Runtime은 미검증."
Requirement,QA31-GWY-003,WP01,P0,Reconcile,Drift·Rollback 원자성,OPEN,부분 구현,보완 개발,제한 검증,RC-02 Gateway Route Apply·Path·Remote Result,QA31-D003;QA31-D008;QA31-D009;QA31-D015,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRoute.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayPathRewriter.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayRouteSnapshot.java;cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java;cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,"Route targetPath 분리, ACK 전 default deny, timeout/unknown result 보완. 실제 다중 인스턴스 Runtime은 미검증."
Requirement,QA31-GWY-004,WP01,P0,Timeout,ADM Remote Timeout/Unknown,OPEN,부분 구현,보완 개발,제한 검증,RC-02 Gateway Route Apply·Path·Remote Result,QA31-D003;QA31-D008;QA31-D009;QA31-D015,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRoute.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayPathRewriter.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayRouteSnapshot.java;cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java;cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,"Route targetPath 분리, ACK 전 default deny, timeout/unknown result 보완. 실제 다중 인스턴스 Runtime은 미검증."
Requirement,QA31-GWY-005,WP01,P1,Capability,Local/Remote/NotInstalled parity,OPEN,부분 구현,보완 개발,제한 검증,RC-02 Gateway Route Apply·Path·Remote Result,QA31-D003;QA31-D008;QA31-D009;QA31-D015,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRoute.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayPathRewriter.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayRouteSnapshot.java;cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java;cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,"Route targetPath 분리, ACK 전 default deny, timeout/unknown result 보완. 실제 다중 인스턴스 Runtime은 미검증."
Requirement,QA31-GWY-006,WP01,P0,Legacy,구형 Route 소비자 0,OPEN,부분 구현,보완 개발,제한 검증,RC-02 Gateway Route Apply·Path·Remote Result,QA31-D003;QA31-D008;QA31-D009;QA31-D015,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRoute.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayPathRewriter.java;cpf-gateway/src/main/java/com/cpf/gateway/route/CpfGatewayRouteSnapshot.java;cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java;cpf-admin/src/main/java/com/cpf/admin/opr/gateway/RemoteCpfGatewayRegistryAdapter.java,python cpf-tools/scripts/verify-cpf-qa31-development.py --root . --mode report,cpf-docs/evidence/current/qa31-static-development-gate.json,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED,사용자 적용·Push 후 exact SHA와 요구 환경의 실제 검증 필요,"Route targetPath 분리, ACK 전 default deny, timeout/unknown result 보완. 실제 다중 인스턴스 Runtime은 미검증."
