record_key,record_type,record_id,requirement_id,development_status,verification_status,evidence_id,note
REQUIREMENT:QA34-REQ-001,REQUIREMENT,QA34-REQ-001,QA34-REQ-001,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-001-NORMAL,SCENARIO,QA34-SCN-001-NORMAL,QA34-REQ-001,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-001-NEGATIVE,SCENARIO,QA34-SCN-001-NEGATIVE,QA34-REQ-001,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-001-RECOVERY,SCENARIO,QA34-SCN-001-RECOVERY,QA34-REQ-001,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-002,REQUIREMENT,QA34-REQ-002,QA34-REQ-002,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-002-NORMAL,SCENARIO,QA34-SCN-002-NORMAL,QA34-REQ-002,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-002-NEGATIVE,SCENARIO,QA34-SCN-002-NEGATIVE,QA34-REQ-002,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-002-RECOVERY,SCENARIO,QA34-SCN-002-RECOVERY,QA34-REQ-002,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-003,REQUIREMENT,QA34-REQ-003,QA34-REQ-003,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-003-NORMAL,SCENARIO,QA34-SCN-003-NORMAL,QA34-REQ-003,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
