capability_id,domain,menu_group,minimum_menu_or_function,minimum_detail,screenshot_evidence,current_cpf_route_candidates,current_assessment,confirmed_gap_or_review_point,qa35_required_target,priority,development_status,verification_status
ADM-MIN-001,시스템,시스템 관리,사용자·운영자 관리,"사용자 검색, 역할 배정, 상태, 등록자, 잠금/해제",온라인-27,operators,부분 구현,CPF 운영자 기능은 있으나 업무 사용자·Directory·상태/잠금/역할 이력 범위를 전수 확인하지 않음,"운영자/서비스계정/업무관리자 유형, 상태전이, MFA·잠금·세션폐기·감사까지 제공",P0,부분 구현,미검증
ADM-MIN-002,시스템,시스템 관리,역할 관리,"Role CRUD, 설명, 상태, 사용현황",온라인-28,permissions,부분 구현,Permission 화면은 있으나 독립 Role Lifecycle과 영향도 확인 필요,Role 생성·복제·폐기·사용자/메뉴/버튼 매핑과 영향도 Preview,P0,부분 구현,미검증
ADM-MIN-003,시스템,시스템 관리,메뉴 관리,"Menu Tree CRUD, 순서, URL, Group, 활성화","온라인-01, 온라인-29",없음,미구현,현재 Route Registry는 Source 고정이며 상용 Menu Registry 운영 화면이 확인되지 않음,"정본 Menu Registry, Version, Draft/Publish, rollback, orphan 검증",P0,미구현,미검증
ADM-MIN-004,시스템,시스템 관리,메뉴·행위 권한 Matrix,조회/추가/수정/삭제/서버/전체 및 Button 권한,온라인-29,permissions,부분 구현,Menu visibility와 buttonIds는 있으나 59 Route/모든 Command Matrix 완전성 미확인,Route·Button·API·Data Scope·상태 Guard 4방향 권한 Matrix,P0,부분 구현,미검증
ADM-MIN-005,시스템,시스템 관리,공지사항 관리,공지 작성·기간·대상·중요도·게시/회수,온라인-01,없음,미구현,ADM 공지/운영 Broadcast 기능 미확인,"운영 공지·점검·Incident Banner, 대상/기간/승인/감사",P0,미구현,미검증
ADM-MIN-006,시스템,시스템 관리,로그인 이력,"성공/실패, IP, Device, Session, 원인",온라인-01,"auditLogs, security",부분 구현,감사로그로 일부 대체 가능하나 인증 전용 검색/위험탐지 미확인,로그인/실패/잠금/MFA/세션 폐기 전용 조회와 Alert,P0,부분 구현,미검증
ADM-MIN-007,시스템,시스템 관리,사용 이력,사용자별 Menu/API/Command 수행 이력,온라인-01,auditLogs,부분 구현,Audit는 있으나 Menu Navigation/조회/다운로드/위험조치 연결 미확인,Actor→Menu→API→Target→Reason→Result 통합 감사,P0,부분 구현,미검증
ADM-MIN-008,시스템,시스템 관리,시스템 로그 탐색,날짜/파일/Node별 목록·tail·full·download,"온라인-02, 온라인-03, 온라인-09","remoteLogs, downloads",부분 구현,Remote log 기능은 있으나 시스템 로그 디렉터리·파일 계층·보존/무결성 기능 미확인,"안전한 파일 인덱스, tail, checksum, masking, retention, 승인 download",P0,부분 구현,미검증
ADM-MIN-009,시스템,시스템 관리,DB Schema·Datasource Inventory,"Vendor, Schema, URL, Account, Pool, Health","온라인-04, 온라인-08","topology, configs",미구현,명시적 DB/Datasource 운영 Menu가 없음,3 Vendor Schema/Pool/Connection/Drift/Version/Secret reference 관제,P0,미구현,미검증
ADM-MIN-010,공통,공통 플랫폼,Framework Node 관리,"Node/Instance 등록, 상태, 버전, Profile, Heartbeat",온라인-06~08,"topology, serviceRegistry",부분 구현,Topology/Registry는 있으나 등록·승인·격리·Version Drift 전수 확인 필요,"Node lifecycle, heartbeat, quarantine, source SHA/config version",P0,부분 구현,미검증
ADM-MIN-011,공통,공통 플랫폼,환경/Profile 관리,환경 변수·Profile·Path·민감값 Reference,배치-09,"configs, secrets",부분 구현,일반 Config/Secret은 있으나 Batch/Online Scope·Draft/Publish/Rollback 미확인,"Scope별 Config Set, validation, compare, approval, staged rollout",P0,부분 구현,미검증
