requirement_id,priority,category,title,owner,development_status,verification_status,current_evidence,required_change,acceptance_criteria,verification_method,codex_stage,regression_protection
QA37-REQ-001,P0,BUILD,Root build.gradle 플랫폼 책임 복구,Root Build,실패,실패,Root build.gradle과 cpf-biz-admin/build.gradle Blob 동일,직전 정상 Root Build와 latest 요구를 병합하여 플랫폼 Root Build 재구성,"Root/BZA Build 분리, cpfJavaVersion·allprojects·subprojects·publication·qualityGate 복원",Fresh clone Java25 gradlew tasks/clean test assemble qualityGate,1,BZA build와 Root build 동일 Hash 금지
QA37-REQ-002,P0,BUILD,Included Build Source Closure,cpf-tools/build,실패,미검증,settings.gradle은 gradle-plugin/platform-bom을 includeBuild하나 latest 경로 404,정식 Source 복원 또는 완전 이관,"Dangling includeBuild 0, Fresh clone plugin/BOM resolve",Empty Gradle home configuration + included build tests,1,cpf-tools/build/** ignore 보호
QA37-REQ-003,P0,GOVERNANCE,Current Work Request QA37 Primary 전환,Governance,재확인 필요,미검증,Current Request는 19dd72b 기준 115건만 기술,QA37·EDU32·Manual135·Canonical/QA36/SELF 관계 명시,"존재 경로 100%, Primary/Child 관계 단일",Path existence + hierarchy lint,1,존재하지 않는 경로 Negative fixture
QA37-REQ-004,P0,EVIDENCE,latest exact-SHA Evidence 계약,Evidence,실패,실패,"Static Evidence sourceSha=19dd72b, resultSha=null, latest=23a16f3",Two-phase source/result evidence와 final exact-SHA read-only evidence,"HEAD=origin/master=resultSha, clean tree, command/exit/output",Read-only exact SHA Gate,7,과거 SHA 승계 실패
QA37-REQ-005,P0,DOC_BOUNDARY,README·연결 Manual 보호 경계 사실 정합,Governance,실패,미검증,"보고서는 미수정 선언, 실제 Git Blob은 변경",해당 문서 비관여·별도 Stream 표시·개발 Overlay 제외,QA37 변경 목록에 README/연결 Guide 0건,Git diff allowlist gate,1,Protected doc 변경 시 fail
QA37-REQ-006,P0,STATUS,113건 완료 판정 재개방,QA,재확인 필요,미검증,Root Build 실패와 EDU False Closure 상태에서 부분/미구현 0 선언,115건 전수 최신 Git 재판정,Requirement별 Source/API/SQL/Consumer/Test 상태 분리,Bidirectional trace review,1,완료행 Source Closure 강제
QA37-REQ-007,P0,CI,latest Commit CI Required Gate 실행,CI,미구현,미검증,latest Commit status/workflow run 결과 확인 안 됨,Java25·Frontend·Static DB Required CI 실행 가능화,Required jobs 모두 latest SHA에서 success,GitHub Actions exact SHA,7,workflow self-dirty 차단
QA37-REQ-008,P0,OVERLAY,Root Overlay Path Collision 방지,Packaging,실패,미검증,BZA build script가 Root build.gradle로 패키징된 정황,Source path→target path 1:1 검증과 duplicate-content anomaly gate,"Root-relative path 일치, 모듈 build의 Root 오배치 0",Overlay apply to clean fixture + hash compare,1,동일 basename 오배치 Negative fixture
QA37-REQ-009,P0,SOURCE_OWNERSHIP,Product Source와 Tool 산출물 분리 집계,Architecture,부분 구현,미검증,"cpf-tools 변경 집중, Product 모듈 변경 상대적으로 적음",Product/Test/Generated/Tool/Matrix/Evidence 별도 집계,Requirement 완료가 Product Source 또는 검증된 기존 Source와 연결,Change manifest classification review,1,Tool-only closure fail
QA37-REQ-010,P0,CODEX,Codex 검수 시점 통제,QA,재확인 필요,미검증,현재 P0 Source 결함 존재,QA37 개발·검증·사용자 Push 후 Codex 수행,Codex가 final exact SHA에서만 시작,Handover and review index check,1,P0 실패 시 Runtime 중단
QA37-REQ-011,P0,EDU32,EDU 32 완료 상태 초기화,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",EDU-001~032를 재확인 필요/미검증으로 시작,32행 상태 재개방,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-012,P0,EDU32,개발 모드 Source Glob 실해석,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",Source/Test/Public Contract를 release 전에도 resolve,존재하지 않는 경로 즉시 실패,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-013,P0,EDU32,Class·Method·Bean Mapping,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",각 EDU의 실제 실행 Symbol 기록,32개 모두 Symbol 존재,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-014,P0,EDU32,실제 cpf-reference Consumer,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",Public API/SPI 소비 코드 확인·보완,Consumer 없는 EDU 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-015,P0,EDU32,표준 Job Pack Consumer,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",Batch EDU를 허용 Job Pack에 구현,Tasklet/Chunk/HA 등 실제 Job 존재,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-016,P0,EDU32,기존 Source 재사용 근거,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",재사용별 Source·Class·Method·Test·SHA 기록,근거 없는 재사용 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-017,P0,EDU32,EDU 신규·수정 Source Manifest,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",EDU별 실제 변경 파일 집계,Matrix만 변경된 완료 ID 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-018,P0,EDU32,Bulk Mapping 금지,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",하나 Source를 다수 ID에 매핑 시 동작별 근거,무근거 N:1 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-019,P1,EDU32,Public API/SPI 경계,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",Internal 직접 참조 제거,Internal import 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-020,P1,EDU32,Mock·고정 응답 금지,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",실제 상태·DB·Adapter·오류 흐름 구현,Mock-only 완료 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-021,P1,EDU32,정상·오류·복구 Scenario,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",각 ID에 적용 축과 Test,필수 Scenario 누락 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-022,P1,EDU32,보안·권한·Data Scope,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",인증·인가·Masking·Scope Test,권한 밖 데이터 노출 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-023,P1,EDU32,동시성·멱등성·결과불명,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",CAS/Fencing/Dedupe/Reconcile 구현,관련 EDU 장애 Test 존재,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-024,P1,EDU32,관측·운영 연결,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",Log/Metric/Trace/Audit와 ADM Deep Link,실제 Operation/Trace 검색 가능,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-025,P1,EDU32,Runtime Command 실효성,cpf-reference/Product Owners,재확인 필요,미검증,"기존 Catalog는 완료/미검증, dev Gate release=False",Command가 실제 Test/Class를 지정,존재하지 않는 대상 0,Merged root path/symbol/test inspection + targeted test,2,EDU negative fixture
QA37-REQ-026,P0,MANUAL_EDU135,Manual EDU 135 원본 ID 편입,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,135개 ID를 1:1 개발 원장에 Import,Unique ID 135,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-027,P0,MANUAL_EDU135,영역별 수량 Gate,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,45/30/17/14/14/15 분포 검증,합계 135·중복 0,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-028,P0,MANUAL_EDU135,Canonical·QA36·SELF Mapping,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,중복·상세화·신규 Gap 관계 보존,Unmapped 0,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-029,P1,MANUAL_EDU135,온라인 조회·Command 예제,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Paging/Scope/State/Audit/Outbox 구현,온라인 45 전수 Source/Test,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-030,P1,MANUAL_EDU135,Messaging·Kafka 예제,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Outbox/Inbox/DLQ/Lag/Retry 구현,Broker Test와 Recovery,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-031,P1,MANUAL_EDU135,파일·Archive·외부기관 연계,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Checksum/Resume/Timeout/Unknown Result 구현,전송 전후 장애 Test,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-032,P1,MANUAL_EDU135,Batch 30건 실행형 Job,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Tasklet/Chunk/Partition/Restart/Fencing 구현,Job Pack과 Execution Evidence,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-033,P1,MANUAL_EDU135,ADM 17건 운영 확인,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,고객 업무 상태·추적·위험조치 연계,ADM actual backend operation,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-034,P1,MANUAL_EDU135,BZA 14건 적용·운영,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,조직·권한·결재·업무 운영 연결,BZA actual consumer,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-035,P1,MANUAL_EDU135,Gateway 14건 연계,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Route/Auth/Rate/Deployment/Recovery 연결,Gateway runtime consumer,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-036,P1,MANUAL_EDU135,플랫폼 설치·운영·복구 15건,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Fresh install/upgrade/backup/restore/rollback,15건 실행 절차와 Evidence,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-037,P1,MANUAL_EDU135,Generator 교육 Lifecycle,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Dry-run/conflict/generate/remove/regenerate,사용자 영역 덮어쓰기 0,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-038,P1,MANUAL_EDU135,3DB 중앙 Vendor Pack,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Oracle/PostgreSQL/MariaDB 중앙 SQL,Module-local SQL 0,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-039,P1,MANUAL_EDU135,추가 필수 Gap 동시 구현,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,135 외 누락 신규 ID 추가·개발,Gap only report 금지,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
