requirement_id,layer,section,owner,minimum_product_goal,priority,development_status,verification_status,current_rationale,source_mapping_status,consumer_mapping_status,runtime_evidence_status,acceptance_policy
ARCH-MISSION,CANONICAL_162,Architecture/Core,repository/cpf-core,상용 Business Platform Framework의 구축·운영·감사·확장·배포 책임,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ARCH-MSA,CANONICAL_162,Architecture/Core,repository/cpf-core,Modular Monolith·동일 JVM·분리 WAS·MSA에서 동일 Public Contract,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ARCH-BOUNDARY,CANONICAL_162,Architecture/Core,repository architecture,Module Owner 단일화와 역방향·순환·타 Owner DB 직접 접근 금지,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ARCH-LAYER,CANONICAL_162,Architecture/Core,repository architecture,Public API·SPI·Internal 경계와 Publication·ArchUnit 강제,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CORE-API,CANONICAL_162,Architecture/Core,cpf-core,"안전하고 발견 가능한 Public API, 거대 Utils·선택 Runtime type 노출 금지",P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CORE-SPI,CANONICAL_162,Architecture/Core,cpf-core,고객·Generated Domain·기관 Adapter용 안정된 SPI와 lifecycle/failure contract,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CORE-CONFIG,CANONICAL_162,Architecture/Core,cpf-core,안전한 설정 우선순위·override 범위·버전·승인·감사·rollback,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CORE-TESTKIT,CANONICAL_162,Architecture/Core,cpf-core,Public Contract·Header·Error·Idempotency·Local/Remote·Fault Test Kit,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-CALL,CANONICAL_162,Architecture/Core,cpf-core,Local/Remote 동일 Header·권한·deadline·오류·추적·멱등성과 내부 Gateway 우회,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-REGISTRY,CANONICAL_162,Architecture/Core,cpf-core,Service·Endpoint·Instance·Capability·Version·Zone·Health·Lease Registry,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
