record_key,record_type,record_id,development_status,verification_status,owner_module,source_paths,test_paths,evidence_path,related_defects,notes
REQUIREMENT:QA33-REQ-001,REQUIREMENT,QA33-REQ-001,완료,미검증,cpf-docs,cpf-docs/work/current/CPF_20260731_QA33_DEVELOPMENT_COMPLETION_REPORT.md;cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,cpf-tools/scripts/verify-cpf-qa33-source-integrity.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-001,"Source/SQL/Test/Consumer 개발은 완료. 현재 Base SHA+Overlay 정적/Harness Evidence는 통과했으며, Push 후 exact-SHA 전체 Runtime Gate는 미검증."
REQUIREMENT:QA33-REQ-002,REQUIREMENT,QA33-REQ-002,완료,미검증,cpf-docs,cpf-tools/scripts/verify-cpf-qa33-result-coverage.py;cpf-tools/scripts/verify-cpf-qa33-all.ps1;cpf-docs/evidence/schema/CPF_QA32_EVIDENCE_INDEX_SCHEMA.json;cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,cpf-docs/evidence/fixtures/CPF_QA32_REQUIREMENT_EVIDENCE_INVALID_SHA.json;cpf-tools/scripts/verify-cpf-qa33-result-coverage.py,,QA33-DF-002,QA33 fail-closed 검증 Runner와 Negative Gate 구현 완료. 실제 clean exact-SHA 실행 결과는 verification_status=미검증으로 분리.
REQUIREMENT:QA33-REQ-003,REQUIREMENT,QA33-REQ-003,완료,미검증,cpf-docs,cpf-tools/scripts/verify-cpf-qa33-result-coverage.py;cpf-docs/evidence/schema/CPF_QA32_EVIDENCE_INDEX_SCHEMA.json;cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,cpf-docs/evidence/fixtures/CPF_QA32_REQUIREMENT_EVIDENCE_INVALID_SHA.json,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-003,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-004,REQUIREMENT,QA33-REQ-004,완료,미검증,cpf-docs,cpf-tools/scripts/verify-cpf-qa33-result-coverage.py;cpf-docs/evidence/schema/CPF_QA32_EVIDENCE_INDEX_SCHEMA.json;cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,cpf-docs/evidence/fixtures/CPF_QA32_REQUIREMENT_EVIDENCE_INVALID_SHA.json,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-004,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-005,REQUIREMENT,QA33-REQ-005,완료,미검증,repository-wide,cpf-tools/scripts/verify-cpf-qa33-result-coverage.py;cpf-docs/evidence/schema/CPF_QA32_EVIDENCE_INDEX_SCHEMA.json;cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,cpf-docs/evidence/fixtures/CPF_QA32_REQUIREMENT_EVIDENCE_INVALID_SHA.json,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-005,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-006,REQUIREMENT,QA33-REQ-006,완료,미검증,cpf-tools,cpf-tools/scripts/verify-cpf-qa33-source-integrity.py;cpf-tools/scripts/verify-cpf-qa33-batch-control-plane.py;cpf-tools/scripts/verify-cpf-qa33-result-coverage.py,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-006,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-007,REQUIREMENT,QA33-REQ-007,완료,미검증,cpf-tools,cpf-tools/scripts/verify-cpf-qa33-source-integrity.py;cpf-tools/scripts/verify-cpf-qa33-batch-control-plane.py;cpf-tools/scripts/verify-cpf-qa33-result-coverage.py,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-007,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-008,REQUIREMENT,QA33-REQ-008,완료,미검증,cpf-docs,cpf-docs/quality/CPF_20260731_QA33_RESULT_MATRIX.csv,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-008,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-009,REQUIREMENT,QA33-REQ-009,완료,미검증,README*,cpf-docs/work/review/CPF_20260731_QA33_POST_DEVELOPMENT_SELF_REVIEW.md,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-009,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-010,REQUIREMENT,QA33-REQ-010,완료,미검증,settings.gradle,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-010,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-011,REQUIREMENT,QA33-REQ-011,완료,미검증,settings.gradle,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-011,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-012,REQUIREMENT,QA33-REQ-012,완료,미검증,cpf-gateway,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-012,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
