requirement_id,catalog_group,owner_scope,development_status,development_basis,static_gate,verification_class,verification_status,verification_owner,completion_note
ARCH-MISSION,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ARCH-MSA,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ARCH-BOUNDARY,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,STATIC_AND_EXACT_SHA_REVIEW,정적 검증 완료,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ARCH-LAYER,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,STATIC_AND_EXACT_SHA_REVIEW,정적 검증 완료,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CORE-API,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,STATIC_AND_EXACT_SHA_REVIEW,정적 검증 완료,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CORE-SPI,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,STATIC_AND_EXACT_SHA_REVIEW,정적 검증 완료,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CORE-CONFIG,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CORE-TESTKIT,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-CALL,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-REGISTRY,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
