requirement_id,priority,category,title,applicable_surfaces,current_gap_or_risk,required_outcome,required_implementation,prohibited_partial_completion,required_static_architecture_gates,required_runtime_failure_scenarios,required_evidence,suggested_owner,dependency_or_precondition,initial_status,completion_blocker
OSS-GOV-001,P0,OSS Governance,OSS-first Build-vs-Buy·라이선스 정책 정본화,"전체 Gradle/npm/Python/PowerShell 의존성, 배포 ZIP/JAR/Container, 생성 Template",권고안과 실제 Source가 분리돼 있고 직접·전이 의존성의 허용/금지 정책이 Release Gate 정본으로 연결되지 않음,범용 엔진·UI는 승인된 permissive OSS를 Primary Path로 사용하고 CPF는 정책·계약·승인·감사·Control Plane만 소유,"Build-vs-Buy Matrix와 ADR을 작성하고 MIT/Apache-2.0/BSD-2/3/ISC 자동 허용, MPL/EPL/LGPL 조건부 승인, GPL/AGPL/SSPL/RSAL/BSL/Unknown 기본 거부. 정확한 artifact/version/license/NOTICE/source URL/전이 의존성을 기록","문서에 OSS 이름만 추가, dependency만 추가, 기존 자체 구현을 Primary로 유지, 라이선스 Unknown을 경고로만 처리",직접·전이 license allow/deny Gate; prohibited coordinate fixture; NOTICE/SBOM parity; dependency substitution drift 검사,허용 OSS 정상 빌드; 금지/Unknown 전이 의존성 주입 시 CI 실패; 라이선스 파일 누락 시 Release 실패,"ADR, Build-vs-Buy Matrix, ORT 결과, CycloneDX/Syft SBOM, THIRD-PARTY-NOTICES, 예외 승인 원장",Architecture + Release Governance,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-ARCH-001,P0,Architecture,Core/Common API·SPI·Autoconfigure·기능별 Starter 분리,"cpf-core, cpf-common, 모든 consumer, published POM/module metadata/BOM",cpf-core/common이 WebFlux·Kafka·AMQP·Redis·POI·MyBatis·OpenAPI 등을 api로 전파하여 기능 미사용 consumer도 결합,배포 독립 API/SPI는 가볍게 유지하고 기능별 adapter/autoconfigure/starter를 opt-in으로 분리,cpf-core-api/spi/autoconfigure 및 starter-web/security/kafka/cache/excel/mybatis/observability 등 실제 사용 단위로 분리. public signature와 published dependency graph를 정리하고 BOM에서 호환 버전을 통제,새 모듈명만 만들고 기존 api 의존성 유지; consumer가 여전히 transitive 기술 의존성을 받음; duplicate bean/autoconfigure 병존,jdeps/Gradle dependencyInsight/published POM 검증; forbidden api dependency Architecture Test; 모든 consumer 최소 classpath test,각 starter 포함/미포함 기동; same-JVM/분리 WAS; 중복 autoconfigure; missing optional provider fail-closed,"모듈 graph, POM/BOM/SBOM, consumer compile/runtime matrix, legacy dependency 제거 목록",Platform Architecture + Build,OSS-GOV-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-UI-001,P1,Frontend,Element Plus + TanStack Table Primary UI 전환,"cpf-admin/frontend, cpf-biz-admin/frontend, 공통 UI Wrapper 및 생성 화면",현재 package.json은 Vue만 runtime dependency이고 Table/Form/Dialog/Menu/Paging 등을 자체 구현,"일반 Widget은 Element Plus, 고급 서버 Table은 TanStack Table을 사용하며 CPF Wrapper가 권한·감사·PII·Design Token을 소유",Element Plus/TanStack Table exact version pin; 공통 wrapper; server paging/sort/filter/column state/virtualization; 기존 custom table/dialog/pager/menu consumer 전수 이관 및 사용되지 않는 legacy 제거,라이브러리 설치만 하고 기존 화면 미이관; 일부 화면만 전환; 두 Table 엔진 병존; wrapper 없이 기능 화면이 vendor API에 무분별하게 결합,forbidden legacy component import scanner; dependency lock; wrapper-only architecture rule; bundle duplicate check,ADM/BZA 주요 메뉴 E2E; 10만 건 server paging; keyboard/focus/ARIA; permission/PII masking; responsive layout,"화면별 migration parity matrix, Playwright trace/screenshot, bundle size, legacy import 0, accessibility report",ADM/BZA Frontend,OSS-GOV-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-FE-001,P1,Frontend,Vue Router + Pinia + TanStack Vue Query + Zod 표준화,"ADM/BZA routing, client state, server state, forms, generated domain frontend template",hashchange/location/hash·대형 mixin·전역 reactive·화면별 fetch/loading/cache/form 검증이 분산,Routing·client state·server state·form validation의 단일 표준과 명확한 소유 경계,Vue Router route guard/deep link; Pinia는 사용자·환경·UI state만; TanStack Query는 server cache/cancel/invalidation; Zod schema는 frontend validation과 backend error mapping 보조. 기존 수동 경로 전수 이관,Pinia에 서버 응답을 영구 캐시; mutation 자동 retry; hash router fallback 유지; Zod만 통과하면 backend 검증 생략,manual fetch/hashchange/global mutable scanner; query key convention test; route registry parity; form schema drift test,Back/Forward/Refresh/Deep Link; stale request cancellation; mutation conflict/unknown; form cross-field/nullable/error focus,"route map, store/query inventory, E2E 결과, legacy router/fetch/mixin 제거 증적",ADM/BZA Frontend,OSS-UI-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-API-001,P1,Frontend API,ADM/BZA Orval Type-safe Client 전환,"springdoc OpenAPI, ADM/BZA frontend API 호출, BFF endpoint, generated client",수동 URL/fetch/DTO cast/error mapping이 분산되어 계약 drift와 any 사용 위험,OpenAPI 정본에서 Orval Vue Query client를 재현 생성하고 기능 코드가 생성 Client/승인된 Adapter만 사용,"Orval exact pin, config/template hash, 공통 mutator, credentials/CSRF/header/error adapter, nullable/enum/date/multipart/download 지원. 생성 코드 직접 수정 금지; 수동 endpoint 문자열 전수 제거",일부 API만 생성; 생성 코드 복사 후 수동 수정; Spec drift를 무시; raw fetch escape hatch가 무제한,OpenAPI hash→generated diff Gate; forbidden raw fetch scanner with narrow allowlist; generated code clean regeneration test,"401/403/409/422/500, timeout/cancel, file upload/download, paging arrays, mutation invalidation","OpenAPI SHA, Orval version/config hash, generated manifest, contract/E2E 결과, raw endpoint 0",ADM/BZA Frontend + API Owners,OSS-FE-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-BFF-001,P0,Security,ADM/BZA BFF + Server-side Session,"ADM/BZA browser, backend security, Spring Session JDBC, cookies, CSRF, role changes",Browser token/session 경계와 다중 인스턴스 강제 종료·권한 변경 재검증이 완전하게 증명되지 않음,Browser는 Secure HttpOnly SameSite Cookie 기반 서버 Session만 사용하고 Refresh/Access Token 원문에 접근하지 않음,ADM/BZA backend가 각각 BFF 역할; Spring Security + Spring Session JDBC; CSRF; session fixation 방지; 로그인/권한변경/강제로그아웃/idle/absolute timeout; cookie namespace 분리; 내부 호출 token exchange/service credential,localStorage/sessionStorage에 token 저장; JS readable cookie; Gateway가 browser session 정본; 권한 변경 후 기존 session 계속 허용,token storage scanner; cookie/header security test; method security/API permission parity; session repository schema migration Gate,다중 인스턴스 login/failover; CSRF 공격; session fixation; role revoke; forced logout; concurrent session 정책; cookie theft replay,"Browser trace, Set-Cookie flags, CSRF evidence, DB session rows, permission revalidation, security negative report",Security + ADM/BZA,OSS-ARCH-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-GWY-001,P0,Gateway,Spring Cloud Gateway Server Web MVC + Embedded Tomcat 단일 Data Plane,"cpf-gateway, route/control-plane adapters, build.gradle, deployment scripts",현재 일반 spring-boot-starter-webmvc 기반 자체 proxy/route/streaming 구현이며 bootJar와 bootWar를 모두 생성,SCG Server Web MVC를 유일한 Primary Data Plane으로 사용하고 단일 실행형 cpf-gateway.jar를 제공; WebFlux artifact는 구현하지 않음,spring-cloud-starter-gateway-server-webmvc와 호환 Release Train/BOM pin; CPF neutral route/policy→SCG predicate/filter mapping; embedded Tomcat bootJar; bootWar 비활성; current custom HTTP forwarding consumer 전수 이관·legacy 제거; stateless scale-out,SCG dependency만 추가하고 custom proxy가 실제 요청 처리; WebMVC/WebFlux 동시 classpath; bootWar/두 jar 병존; unsupported route가 silently ignored,SCG route mapping contract; custom proxy import/bean 0 Gate; artifact contains Tomcat and no WebFlux/Netty; route/filter capability matrix,routing/rewrite/header/CORS/rate limit/retry/timeout/streaming/download; multi-instance scale-out; route update/rollback; downstream failure,"실행형 JAR hash, dependency tree, route parity matrix, load test, legacy deletion manifest, no webflux artifact evidence",Gateway,OSS-ARCH-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-MSG-001,P0,Messaging,Kafka Primary + In-memory Test Adapter + Testcontainers Kafka,"message API/SPI, producers/consumers, batch/event flows, testkit, deployment",Kafka/AMQP client가 core api로 노출되고 broker 경계·전달보장·실제 Kafka 통합 검증이 불명확,"Kafka를 유일한 Product Messaging Primary로 사용하고 unit에는 단순 In-memory adapter, integration에는 실제 Kafka Testcontainers 사용",CpfMessagePort/API와 kafka adapter/starter 분리; schema/version/header/idempotency/DLT/retry/attempt ledger; at-least-once + consumer idempotency 정본; AMQP primary 제거. In-memory는 publish/consume/header/duplicate injection만 구현,In-memory test만으로 Kafka 완료; exactly-once를 DB side effect 포함 증명 없이 선언; spring-kafka가 core api에 잔존; Kafka와 AMQP 동시 기본,core public graph에서 kafka/amqp 0; topic/config schema lint; serializer compatibility; Testcontainers required integration Gate,partition/order/rebalance/consumer crash/duplicate/redelivery/DLT/broker outage/offset recovery/schema incompatibility,"Kafka container logs, topic config, producer/consumer metrics, ledger, duplicate side-effect 0, in-memory contract parity",Messaging + Platform,OSS-ARCH-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-RES-001,P1,Resilience,Spring Cloud CircuitBreaker + Resilience4j 표준화,HTTP/service call/gateway/agent/broker adapters와 runtime policy,retry/circuit/bulkhead/timeout/rate-limit가 자체 구현·분산되어 중복 실행과 UNKNOWN_RESULT 오판 위험,표준 호출 경계에서 Resilience4j 구현을 사용하고 CPF가 retry 허용·idempotency·request hash·attempt ledger를 소유,"Spring Cloud CircuitBreaker abstraction, centralized policy adapter, timeout/bulkhead/circuit/retry/rate limiter; mutation retry는 idempotency/operationId 보장 시만; gateway와 중복 적용 금지",annotation을 업무 코드에 무분별하게 분산; 모든 exception 자동 retry; timeout 이후 side effect를 FAILED로 단정,forbidden direct retry loop/sleep scanner; policy location architecture test; duplicate resilience layer detector,"timeout, half-open, bulkhead exhaustion, response loss, unknown/reconcile, retry budget exhaustion","Attempt별 상태/시간/target/policy version, metrics, fault injection results",Core Runtime + Gateway,OSS-ARCH-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-BATCH-001,P0,Batch,Spring Batch 전체 Primary Execution Engine 전환,"cpf-batch control/scheduler/center-cut/worker/runtime, all File/DB/API/Shell/Message consumers, ADM, 3 DB JobRepository, Kafka remote execution",기존 자체 Job/Step 상태·Repository·Restart·Partition·Polling·완료 집계와 Spring Batch가 이중 정본이 될 위험,모든 실제 배치 Consumer와 Center-Cut/Worker가 Spring Batch Job·Step을 사용하고 JobRepository/ExecutionContext가 실행 생명주기의 단일 정본,JobOperator launch/stop/restart/abandon/recover; Tasklet/Chunk; 조건 Flow; 병렬 Step; Local Partition; Remote Partition; Remote Chunk; Remote Step; Scheduler Trigger→JobOperator; CPF 승인/Fencing/UNKNOWN_RESULT 원장과 Spring Batch ID 연결; File/Shell/API Step Adapter; Legacy 엔진 제거,dependency/interface/sample만 추가; 자체 엔진과 병행 Primary; Scheduler 성공을 Job 성공으로 기록; 일부 Consumer만 전환; Spring Batch 기능을 CPF Wrapper로 재구현,all batch consumers Job/Step usage; JobRepository single owner; legacy dispatcher/repository/polling 0; CPF ledger ID linkage; remote role/topic contract; 3 vendor migration parity,single/multi/conditional/parallel/local partition/remote partition/remote chunk/remote step; worker/manager crash restart; checkpoint resume; duplicate block; partial partition restart; response loss reconciliation; scheduler handoff; file crash no duplicate; shell result; approval/fencing; 3DB; Kafka delay/duplicate/restart,"exact-SHA full build, Job/Step timeline, JobRepository SQL, Kafka trace, 3DB lifecycle, failure/recovery evidence, legacy absence report",Batch,OSS-DB-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
