scenario_id,scenario,acceptance,requirement_ids,verification_status
QA39-S001,Starter catalog one-screen,공개 Capability/Profile 수가 기준 이하이고 Leaf가 숨겨지는지,"QA39-005,QA39-007,QA39-033",미검증
QA39-S002,RabbitMQ clean compile,빈 cache JDK25에서 messaging-rabbitmq compile/test,QA39-002,실패
QA39-S003,Kafka named binding,"Kafka+RabbitMQ named binding, default 1개/0개/2개 matrix","QA39-008,QA39-009",실패
QA39-S004,Provider swap,동일 업무 Source로 Kafka→RabbitMQ→JMS→IBM MQ 전환,QA39-008,미검증
QA39-S005,Outbox process kill,CLAIMED 직후 worker kill 및 lease 회수,QA39-010,미검증
QA39-S006,Unknown result reconcile,Broker ACK loss 후 reconcile 전 재발행 금지,QA39-010,미검증
QA39-S007,Notification lease reclaim,CLAIMED worker kill 후 재처리,QA39-011,미검증
QA39-S008,Notification unknown,SMTP timeout이 SENT/COMPLETED로 오인되지 않는지,QA39-011,실패
QA39-S009,Quartz cluster,"2 scheduler, JDBC JobStore, failover/misfire",QA39-012,미검증
QA39-S010,Batch dependency isolation,contract/testkit에 Kafka/Quartz runtime 미포함,QA39-013,실패
QA39-S011,Consumer duplicate dependency,ADM/BZA/Gateway/Reference/Member profile-leaf 중복 없음,QA39-014,실패
QA39-S012,Generated Domain capability UX,Capability 3개 선택 후 resolved lock 생성·fresh build,"QA39-015,QA39-033",미검증
QA39-S013,Catalog parity,settings/BOM/artifact/profile 1:1,QA39-016,실패
QA39-S014,Evidence integrity,모든 hash target 존재 및 current SHA 일치,QA39-017,실패
QA39-S015,Three vendor lifecycle,MariaDB/PostgreSQL/Oracle empty→install→upgrade→rollback,QA39-019,미검증
QA39-S016,SFTP secret/host key,"raw password prod fail, pinned key mismatch fail",QA39-021,미검증
QA39-S017,Health real dependency,SFTP/MQ/OTLP down 시 health degraded/down,QA39-022,실패
QA39-S018,Thin wrapper removal,AOP/Validation/Resilience/FeatureFlag Consumer 제거·build,QA39-023,미검증
QA39-S019,File capability,Attachment/Archive/Tabular/SFTP 단일 Capability 생성·사용,QA39-024,미검증
QA39-S020,Transaction integration fault,"TCP write 후 response loss, ISO8583/fixedlength reconcile",QA39-025,미검증
QA39-S021,Public API OSS leak,업무 fixture가 OSS SDK import 없이 compile,QA39-026,미검증
QA39-S022,Master CI required checks,정확한 SHA에 Java/Frontend/DB/Runtime/Supply-chain check 존재,QA39-018,실패
QA39-S023,Protected path zero change,Overlay 및 Delete Manifest 보호 경로 0건,QA39-031,완료
QA39-S024,Completion status gate,Evidence 누락 행의 완료 상향 차단,QA39-032,미검증
QA39-SC-025,자체 개발요건이 완전 제거 대상 모듈의 제품화를 지시한다.,QA39 최종 개발요건이 우선되어 자체요건은 CONFLICT 처리되고 제품화하지 않는다.,QA39-035;QA39-036,미검증
QA39-SC-026,개발자가 event-service와 messaging=kafka만 선택한다.,Generator가 Kafka/reliability 내부 Leaf와 lock을 조립하고 Provider Artifact 직접 선택을 요구하지 않는다.,QA39-005;QA39-015;QA39-037,미검증
QA39-SC-027,Messaging Provider를 Kafka에서 RabbitMQ로 변경한다.,업무 Source는 변경하지 않고 binding/config만 변경하며 동일 CPF API/Result/운영 추적을 사용한다.,QA39-008;QA39-038;QA39-039,미검증
QA39-SC-028,업무 개발자가 유지 Capability를 사용한다.,OSS 타입과 Provider 예외 없이 간단한 CPF Public API로 의도를 표현하고 표준 SUCCESS/FAILED/UNKNOWN 및 tracking을 받는다.,QA39-026;QA39-038,미검증
QA39-SC-029,고객사가 신규 Broker 또는 Notification Provider를 추가한다.,CPF internal package를 참조하지 않고 SPI를 구현하여 conformance testkit을 통과한다.,QA39-039,미검증
QA39-SC-030,완전 제거 대상 삭제 작업을 종료한다.,Source/Core API/Test/Config/BOM/Catalog/Generator/문서/Evidence 잔여 참조가 0건이고 exact-path 한 줄 명령 실행 결과가 기록된다.,QA39-003;QA39-023;QA39-030;QA39-040,미검증
QA39-SC-031,개발 GPT가 구현을 완료해 QA에 전달한다.,"Developer Implementation Report와 Self Review가 exact SHA, 파일/라인, 요건, 명령/결과, 미실행, 삭제, Evidence, 회귀 위험을 포함한다.",QA39-041;QA39-042,미검증
