inspection_id,area,source_pattern,aspect,inspection_point,expected,prohibited,evidence,status
QA33-INSP-001,Baseline,git rev-parse HEAD;git status;origin/master,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,"exact SHA, clean worktree, remote equality",blank SHA/dirty/different commit,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-002,Baseline,git rev-parse HEAD;git status;origin/master,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,"exact SHA, clean worktree, remote equality",blank SHA/dirty/different commit,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-003,Baseline,git rev-parse HEAD;git status;origin/master,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,"exact SHA, clean worktree, remote equality",blank SHA/dirty/different commit,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-004,Baseline,git rev-parse HEAD;git status;origin/master,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,"exact SHA, clean worktree, remote equality",blank SHA/dirty/different commit,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-005,Baseline,git rev-parse HEAD;git status;origin/master,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,"exact SHA, clean worktree, remote equality",blank SHA/dirty/different commit,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-006,Evidence,.gitignore;cpf-docs/evidence/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,required sanitized evidence tracked,ignored required evidence,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-007,Evidence,.gitignore;cpf-docs/evidence/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,required sanitized evidence tracked,ignored required evidence,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-008,Evidence,.gitignore;cpf-docs/evidence/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,required sanitized evidence tracked,ignored required evidence,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-009,Evidence,.gitignore;cpf-docs/evidence/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,required sanitized evidence tracked,ignored required evidence,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-010,Evidence,.gitignore;cpf-docs/evidence/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,required sanitized evidence tracked,ignored required evidence,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-011,Build,settings.gradle,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,all include/includeBuild targets exist,deleted included build/wrong project path,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-012,Build,settings.gradle,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,all include/includeBuild targets exist,deleted included build/wrong project path,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-013,Build,settings.gradle,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,all include/includeBuild targets exist,deleted included build/wrong project path,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-014,Build,settings.gradle,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,all include/includeBuild targets exist,deleted included build/wrong project path,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-015,Build,settings.gradle,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,all include/includeBuild targets exist,deleted included build/wrong project path,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-016,Build,build.gradle;gradle/**;wrapper/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,JDK/Gradle/Boot/Cloud exact pin/fail-closed,cache fallback/empty provenance,"inspected path list, finding classification, exact SHA, command/report hash",미검증
