id,priority,area,status,title,finding,evidence_paths,acceptance_criteria
PREQA-GW-CTRL-001,P0,Gateway Control Security,부분 구현,다중 인스턴스 Replay 방지,Control API nonce가 JVM 로컬 ConcurrentHashMap에만 저장되어 다른 Gateway 인스턴스에서 동일 nonce 재사용을 차단하지 못한다.,cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlAuthenticationFilter.java,"Redis 또는 DB 기반 원자적 nonce claim, TTL, instance 장애 후 일관성, 2개 이상 Gateway replay test가 PASS해야 한다."
PREQA-GW-CTRL-002,P0,Gateway Control Security,부분 구현,제어 명령 Body 무결성,서명 대상이 method·URI·caller·operator·timestamp·nonce뿐이며 POST/PATCH Body hash가 포함되지 않는다.,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayControlSigner.java; cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlAuthenticationFilter.java,Canonical body digest와 content type을 서명에 포함하고 body tamper/replay/encoding 변형 test가 PASS해야 한다.
PREQA-GW-CTRL-003,P1,Gateway Control Security,부분 구현,Key rotation과 nonce 저장소 안전성,"단일 shared secret만 지원하고 key id·dual-key rotation이 없으며 nonce 100,000건 초과 예외가 인증 오류로 정리되지 않는다.",cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlSecurityProperties.java; cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlAuthenticationFilter.java,"key id 기반 현행/차기 key rotation, bounded store, 과부하 시 명확한 4xx/5xx와 감사·metric을 제공해야 한다."
PREQA-GW-RUN-001,P0,Gateway Runtime,부분 구현,Route timeout/retry Consumer 연결,Route의 connectTimeoutMs·responseTimeoutMs·overallTimeoutMs·maxRetryCount를 검증하지만 실제 HTTP 호출은 전역 transferPolicy requestTimeoutMillis를 사용한다.,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRoute.java; cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java,Route timeout budget과 retry count가 실제 호출·ServiceCall command에 적용되고 timeout 단계별 test가 PASS해야 한다.
PREQA-GW-RUN-002,P0,Gateway Runtime,부분 구현,Streaming 완료 판정 시점,응답 stream을 사용자에게 전송하기 전에 Gateway ledger를 SUCCESS로 완료한다. 이후 stream 오류·size cap 초과·client disconnect가 발생해도 성공 원장이 남을 수 있다.,cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java,실제 transfer 종료 후 byte count와 상태를 원장에 반영하고 partial delivery·client abort·downstream read failure를 FAILED/UNKNOWN_RESULT로 기록해야 한다.
PREQA-GW-RUN-003,P0,Gateway Runtime,부분 구현,Retry/Failover 시도별 원장,"ServiceCall 결과의 최종 target과 attemptCount만 한 건으로 기록하여 각 retry·failover target, 시간, 실패 원인을 Gateway attempt ledger에서 복원할 수 없다.",cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java; cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayLedgerPort.java,각 시도마다 고유 attempt row를 기록하고 target-down→failover→success 전체 흐름을 조회할 수 있어야 한다.
PREQA-GW-RUN-004,P1,Gateway Runtime,부분 구현,응답 byte/overflow 추적,Content-Length가 없으면 성공 완료 byte가 0으로 기록되며 실제 stream byte·overflow가 transaction completion과 연결되지 않는다.,cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java,stream counting과 response cap 초과 원인을 완료 원장·감사·운영 조회에 일치시켜야 한다.
PREQA-GW-LOG-001,P0,Gateway Logging,미구현,Payload 보호 기본 구현 또는 사전 차단,CpfPayloadProtectionPort는 추가됐지만 제품 기본 구현이 없고 Gateway는 선택 주입한다. ENCRYPTED_BODY는 실제 거래 Capture 시점에 실패할 수 있다.,cpf-core/src/main/java/com/cpf/core/api/logging/policy/CpfPayloadProtectionPort.java; cpf-gateway/src/main/java/com/cpf/gateway/logging/CpfGatewayCaptureService.java; cpf-core/src/main/java/com/cpf/core/api/logging/policy/CpfLogCaptureGuard.java,제품 Key Provider 구현·key reference·rotation을 제공하거나 Provider 미설치 시 ADM 저장 단계에서 ENCRYPTED_BODY를 차단해야 한다.
PREQA-GW-LOG-002,P1,Gateway Logging,부분 구현,UTF-8 request preview 절단,요청 body preview byte를 max 위치에서 먼저 String으로 변환하여 다중 byte 문자가 중간 절단되면 replacement character가 생길 수 있다.,cpf-gateway/src/main/java/com/cpf/gateway/logging/CpfGatewayCaptureService.java; cpf-gateway/src/main/java/com/cpf/gateway/transport/CpfGatewayReplayableBody.java,byte 단위 UTF-8 경계 보정 후 decode하고 한글·이모지 경계 test가 PASS해야 한다.
PREQA-GW-UI-001,P1,ADM Gateway UI,부분 구현,Registry Reference Picker 실제 적용,Gateway 화면은 Service·Endpoint·Instance·Policy ID를 수기 입력하며 새 Reference Catalog를 사용하지 않는다.,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue; cpf-admin/frontend/src/components/parameters/ReferenceCatalogSelect.vue,"Service→Endpoint→Instance 연계 picker, policy picker, 비활성/retired 표시, 선택값 검증을 제공해야 한다."
