review_area,status,evidence,result
official_and_deliverable_paths,완료,"official=9,deliverables=5",missing=[]
markdown_structure,완료,markdown=14,"{""h1"": [], ""fence"": [], ""h2"": []}"
baseline_marking,완료,ee977cf66c251081df78ea5e9675b81c3dfafa59,missing=[]
control_character_scan,완료,files scanned,[]
prohibited_phrase_scan,완료,terms=29,[]
whitespace_and_package_hygiene,완료,files=38,"{""trailing"": [], ""garbage"": []}"
long_exact_duplicate_scan,완료,paragraphs=171,{}
svg_xml,완료,svg=15,[]
relative_link_scan,완료,markdown=14,[]
manual_reader_task_coverage,완료,manuals=7,[]
adm_route_reader_matrix,완료,rows=63,duplicates=[]
