path,classification,bytes,lines,sha256
README.md,수정,12968,207,da8a5657201665d2d070a9180db69919afa7aa98e57424270985fba2f6e3eb58
cpf-docs/assets/manuals/cpf-adm-version-conflict-r10.svg,신규,3263,35,ac37835ff5b4c6cf697354a78e93b1f68cc68fa7887e4dc72033c4ebdf910484
cpf-docs/assets/manuals/cpf-batch-restart-timeline-r10.svg,신규,2824,30,6ebe6f7460e5fb09507cadb862fc45d069dcd4220610c0abc4d0b578b9e24891
cpf-docs/assets/manuals/cpf-document-quality-r10.svg,신규,3119,30,29fb8c8abd8a42d5c002a0cba9e678855a2fed8b7f4fca670828068da0367b87
cpf-docs/assets/manuals/cpf-dr-failover-r10.svg,신규,3263,35,8a81aac96074f3ae9df211fb99adbd4b642610c79fa4d0bf56f5569a090eb1a3
cpf-docs/assets/manuals/cpf-gateway-lkg-r10.svg,신규,3271,35,2911081154e8da50de6937038ef938b4db03d3b691018fa1ce5c847e4597078c
cpf-docs/assets/manuals/cpf-pay-golden-journey-r10.svg,신규,3351,35,92ea7afb0fbf932fd943500c71c78ece368f61b28da4d2a2eacdd6dc393ef20f
cpf-docs/deliverables/evidence/CPF_ADM_ROUTE_OPERATION_MATRIX.csv,신규,29396,64,ba5fdc86c340d459ce2a991ecc6617fa28280cfd6fd50b211baf3234868d2693
cpf-docs/deliverables/evidence/CPF_ADM_ROUTE_READER_MATRIX.csv,수정,21192,64,68336c3da5f14e1af42492e3f19c6ff126186af6ac3fe72c7e145d271cacd60c
cpf-docs/deliverables/evidence/CPF_BASELINE_DELTA_MATRIX.csv,수정,794,5,aa828aee69a6de0ee785c703211b07baf43bc5a77e51efe9f4165e81dd2dc23e
cpf-docs/deliverables/evidence/CPF_CONFIGURATION_MATRIX.csv,신규,21098,78,1f662701702478179833736cae05b5154b756e74e6e20755c1ad911d27cbb250
cpf-docs/deliverables/evidence/CPF_DOCUMENTATION_CLEANUP_MANIFEST.txt,신규,1432,23,5e3a9b81a94af0f45991b670ba0dc66537bec6fa6a53dd78af58199994670588
cpf-docs/deliverables/evidence/CPF_DOCUMENTATION_DELETE_MANIFEST.txt,수정,350,6,a52eb8440e0ce717882abac0181fdcda5345f932046bf2492018a8c045bb96cc
cpf-docs/deliverables/evidence/CPF_DOCUMENT_REVIEW_MATRIX.csv,수정,5537,18,c1a7df4e9a1befae9be77d791f71ae2c5af716dc46c65b4ed7163675b841b8ac
cpf-docs/deliverables/evidence/CPF_EDU_EXECUTION_CATALOG.csv,신규,41636,136,70b77590d4661b6edca67dc9ae4cfc9113a85df5031a0db1f139ffdbbe367557
cpf-docs/deliverables/evidence/CPF_FEATURE_MANUAL_COVERAGE.csv,신규,14251,51,9629cb8e1887a04b29527f978b9aea6fd07d5d64cda17c9dd433ff86110b8b70
cpf-docs/deliverables/evidence/CPF_INDEPENDENT_DOCUMENT_REVIEW.json,수정,9924,349,5d2c2fc57d5e098655dd9fe7f3fdf76eae5504d47551bbf6188be1c55cff8342
cpf-docs/deliverables/evidence/CPF_MANUAL_READER_TASK_MATRIX.csv,수정,4571,41,512dd251a7fe6b3da9db390481d1ee8ec70e98e8621500ada907533878cd4483
cpf-docs/deliverables/evidence/CPF_OPERATION_PLAYBOOK_INDEX.csv,신규,158874,640,de516648fecf13c99902b84f83ef509163f0191ee0116e6972a09d07cfde93f9
cpf-docs/deliverables/evidence/CPF_SOURCE_EVIDENCE_MATRIX.csv,수정,12281,56,8076a766c3c89fa2f4d351571ee8b888e4678b4617b6ab6065c0ba90f217d8f6
cpf-docs/deliverables/evidence/CPF_STATE_ERROR_RECOVERY_CATALOG.csv,신규,33560,136,3a6674c7f63c4966b557947440078f44fbcfa8dc8cc625633148c0510d2d1e5f
cpf-docs/deliverables/기술사양서.md,수정,13633,306,ac6867ade0810f2b24be0fad8cfc1c738d3aaa81ef06abbd52a0e9e5ac0cdab4
cpf-docs/deliverables/기술표준서.md,수정,18562,374,d84039c219273b5aefe377570b50680b5851969ee20050d13278a73facc60411
