role,sequence,task,completion_criterion,evidence,status
아키텍트,1,기능·Profile·Capability 선택,기능·Profile·Capability 선택의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
아키텍트,2,State Owner·Consumer·Topology 결정,State Owner·Consumer·Topology 결정의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
아키텍트,3,Security·DB·Failure 모델 작성,Security·DB·Failure 모델 작성의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
아키텍트,4,Architecture Review 수행,Architecture Review 수행의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
아키텍트,5,변경 영향 Matrix 작성,변경 영향 Matrix 작성의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
아키텍트,6,운영/DR 인수 기준 승인,운영/DR 인수 기준 승인의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
온라인·연계 개발자,1,Generator Domain 생성,Generator Domain 생성의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
온라인·연계 개발자,2,조회·상태 변경 구현,조회·상태 변경 구현의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
온라인·연계 개발자,3,Idempotency·Audit·Outbox 적용,Idempotency·Audit·Outbox 적용의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
온라인·연계 개발자,4,메시지·파일·외부 연계 구현,메시지·파일·외부 연계 구현의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
온라인·연계 개발자,5,오류·응답 유실·복구 Test,오류·응답 유실·복구 Test의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
온라인·연계 개발자,6,ADM 확인·운영 인계,ADM 확인·운영 인계의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
Batch 개발자,1,Job/Parameter/Step 설계,Job/Parameter/Step 설계의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
Batch 개발자,2,Checkpoint·Restart 구현,Checkpoint·Restart 구현의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
Batch 개발자,3,Partition·Lease·Fencing 구현,Partition·Lease·Fencing 구현의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
Batch 개발자,4,Scheduler·Center-Cut 구성,Scheduler·Center-Cut 구성의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
Batch 개발자,5,Process Kill·부분 실패 Test,Process Kill·부분 실패 Test의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
Batch 개발자,6,ADM·운영 인계,ADM·운영 인계의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
ADM 연동 개발자,1,Owner Query/Command 설계,Owner Query/Command 설계의 입력·결과·오류·복구·Evidence를 문서 절차대로 제시,해당 공식 매뉴얼·Operation/Source Matrix,완료
