route_id,path,menu_id,label,risk,search_fields,columns,detail_areas,buttons,owner_record,normal_result,failure_boundary,recovery
dashboard,/,DASHBOARD,통합 운영 Dashboard,MEDIUM,"환경, 서비스, Instance, 기간, 심각도, 상태","Readiness, Liveness, Version, UNKNOWN 건수, DLQ 건수, Outbox 적체, 실행 실패","서비스 상태, 최근 오류, 미종결 Operation, Batch 실행, Broker 적체",새로고침; 이상 카드 상세 이동,Runtime·Log·Batch·Broker 원장,조회 기준시각이 표시되고 각 카드 합계가 상세 조회 건수와 일치한다.,한 카드만 Timeout이면 해당 Owner 장애이고 전체 카드가 비면 인증·Gateway·ADM Backend를 우선 확인한다.,오류 카드를 눌러 Owner 화면에서 원장 상태를 확인하고 조회 실패는 같은 조건으로 재조회한다.
topology,/topology,TOPOLOGY,서비스 토폴로지,MEDIUM,"환경, 서비스명, Instance ID, Endpoint 상태","Service, Instance, Endpoint, Zone, Version, Health, Last Seen","서비스→Instance→Endpoint 계층, Capability, Circuit 상태, Routing 정책",서비스 상세; Instance 상세; Endpoint 상세,Service Registry·Runtime Health,등록된 Instance 수와 Health 응답 수가 일치하고 오래된 Last Seen이 표시된다.,"Endpoint는 정상인데 Instance Health가 비정상이면 Process 상태를, 반대이면 네트워크·인증을 확인한다.",관측값을 임의 수정하지 않고 서비스 레지스트리 원장과 Runtime 상태를 대사한다.
capacity,/capacity,CAPACITY,Online Runtime Diagnostics,MEDIUM,"환경, 서비스, Instance, 기간, 임계값","CPU/Memory, Outbox, Inbox, Idempotency, File Transfer, Error Rate","Instance 상태, 적체 추이, Top Transaction, 최근 실패",기간 변경; Instance Drill-down,Runtime Metric·Reliability Ledger,Metric 기준시각과 원장 건수가 연결되고 임계 초과 항목이 분리된다.,Metric 누락과 실제 0을 구분하고 Outbox/Inbox 차이가 지속되면 Broker Consumer를 확인한다.,관측 구간을 줄여 재조회하고 원장·Metric·Trace 중 어느 경로가 누락됐는지 분리한다.
logs,/logs,LOG_LIST,거래 로그,MEDIUM,"Transaction ID, Trace ID, 기간, URI, Channel, Response Code, HTTP Status","시각, Transaction ID, Trace ID, URI, Duration, Response, Error, Masking","Request/Response 요약, Header, Segment, Error, Related Audit",검색; 상세; Export 생성; Download,Transaction Log·Export Audit,검색 조건과 건수가 일치하고 민감 Field는 Masking되며 Export Audit가 남는다.,과도한 기간·Data Scope 부족·Export 만료·Masking 권한 부족을 구분한다.,검색 기간을 축소하고 Export Job 상태를 조회한 뒤 만료면 새 Export를 생성한다.
transactionGroups,/transactionGroups,LOG_LIST,Online·Batch 통합 Trace,MEDIUM,"Transaction ID, Trace ID, Business Transaction ID, 기간","Group ID, 시작/종료, Segment 수, 실패 Segment, Duration","Timeline, External Log, Header, Segment Tree, Error Chain",ID별 조회; Segment 상세,Trace·Transaction Group 원장,모든 Segment의 Parent/Child가 연결되고 시작·종료 시각이 모순되지 않는다.,일부 Segment 누락은 비동기 전파·Sampling·Log Delivery 지연을 확인한다.,다른 식별자로 교차 조회하고 누락 Segment의 Source Module Log를 확인한다.
transactions,/transactions,TRANSACTION_META,온라인 거래 정의,HIGH,"거래 코드, URI, Method, Channel, 상태, Owner","거래 코드, Method, URI, Owner, Version, 상태, Last Scan","Handler, Permission, Timeout, Idempotency, Consumer, Scan Evidence",Scan; 상세; 비활성화,Transaction Metadata 원장,등록 정의와 실제 Handler Scan이 일치하고 비활성화 후 신규 요청이 정책대로 차단된다.,중복 정의·Owner 불일치·Version 충돌·사용 중 거래 비활성화를 구분한다.,최신 Version과 Consumer를 재조회하고 영향 거래가 없을 때 새 승인 Operation으로 처리한다.
remoteLogs,/remoteLogs,REMOTE_LOG,원격 로그,MEDIUM,"환경, Service, Instance, 기간, Log Level, Keyword","Instance, 파일, Size, Modified At, Preview 상태, Bundle 상태","Preview, Diagnostics, Bundle Manifest, Download Token, Masking 결과",검색; Preview; Bundle 생성; Token 발급; Download,Remote Log Agent·Bundle 원장,선택 범위만 Bundle에 포함되고 Manifest·Hash·Masking 결과가 표시된다.,Instance 미접속·파일 회전·Token 만료·Bundle 생성 실패를 구분한다.,Diagnostics로 Agent 상태를 확인하고 기존 Bundle 결과가 없을 때만 새 Job을 생성한다.
auditLogs,/auditLogs,AUDIT_LOG,감사 로그,MEDIUM,"Actor, Action, Resource, 기간, Delivery 상태, Transaction ID","Audit ID, Actor, Action, Resource, Before/After, Reason, Delivery","Before/After, Approval, Operation, Delivery Attempt, Policy Audit",상세; Delivery Retry,Audit Ledger·Delivery Ledger,업무 변경과 Audit가 1:1로 연결되고 Retry 결과가 새 Attempt로 남는다.,업무는 성공했지만 Audit가 없으면 정상 종료로 판정하지 않는다.,원본 Audit 존재를 확인한 뒤 Delivery 실패만 Retry하고 중복 전송은 수신 원장으로 대사한다.
logLevel,/logLevel,DYNAMIC_LOG,동적 로그,HIGH,"환경, 서비스, Logger, 현재 Level, 만료시각","Rule ID, Service, Logger, Level, Start, Expiry, 상태","적용 Target, Reason, Approval, Distribution, Audit",등록; 제거,Dynamic Log Rule 원장,대상 Instance에 Level이 적용되고 만료 또는 제거 후 기본 Level로 복귀한다.,Logger 오타·지원하지 않는 Level·일부 Instance 미적용·만료 미복귀를 구분한다.,Distribution 상태를 대사하고 미적용 Target만 재처리하거나 Rule을 제거한다.
logPolicies,/logPolicies,LOG_POLICY,로그 정책,MEDIUM,"정책 코드, 서비스, 상태, Version, 적용 Target","Policy, Version, 상태, Retention, Masking, Distribution, Override","Rule, Trace Boost, Override, Target ACK/NACK, Audit",생성; 수정; 비활성; Cache Refresh; Override 생성/해제; Trace Boost,Log Policy 원장·Distribution Ledger,승인된 Version과 모든 Target의 Applied Version이 일치한다.,NACK·부분 적용·Override 만료·Cache stale을 구분한다.,Distribution 상태에서 실패 Target을 확인하고 LKG 또는 이전 Version으로 되돌린다.
