route_id,path,label,menu_id,group,risk,feature_flag,operation_id,operation_kind,manual_section
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,admRuntimeControlFindHealth,조회,04_ADM운영자매뉴얼.md#dashboard
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,admRuntimeControlFindStatus,조회,04_ADM운영자매뉴얼.md#dashboard
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,findAdmUnknownResults,조회,04_ADM운영자매뉴얼.md#dashboard
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,findAdmBrokerDlq,조회,04_ADM운영자매뉴얼.md#dashboard
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,findAdmBrokerOutbox,조회,04_ADM운영자매뉴얼.md#dashboard
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,admBatchFindExecutionPage,조회,04_ADM운영자매뉴얼.md#dashboard
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,getAdmReadiness,조회,04_ADM운영자매뉴얼.md#dashboard
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,getAdmLiveness,조회,04_ADM운영자매뉴얼.md#dashboard
dashboard,/,통합 운영 Dashboard,DASHBOARD,home,MEDIUM,adm.route.dashboard.enabled,getAdmSystemVersion,조회,04_ADM운영자매뉴얼.md#dashboard
topology,/topology,서비스 토폴로지,TOPOLOGY,home,MEDIUM,adm.route.topology.enabled,admServiceRegistryFindServices,조회,04_ADM운영자매뉴얼.md#topology
topology,/topology,서비스 토폴로지,TOPOLOGY,home,MEDIUM,adm.route.topology.enabled,admServiceRegistryFindInstances,조회,04_ADM운영자매뉴얼.md#topology
topology,/topology,서비스 토폴로지,TOPOLOGY,home,MEDIUM,adm.route.topology.enabled,admServiceRegistryFindEndpoints,조회,04_ADM운영자매뉴얼.md#topology
topology,/topology,서비스 토폴로지,TOPOLOGY,home,MEDIUM,adm.route.topology.enabled,admServiceRegistryFindHealth,조회,04_ADM운영자매뉴얼.md#topology
capacity,/capacity,Online Runtime Diagnostics,CAPACITY,home,MEDIUM,adm.route.capacity.enabled,admRuntimeControlFindHealth,조회,04_ADM운영자매뉴얼.md#capacity
