domain,total,pass,fail,unverified,connected_groups
Database Lifecycle,176,0,0,176,22
Event Contract,160,0,104,56,20
File Contract,160,0,24,136,20
Fixed-Length,120,0,120,0,15
Gateway,296,0,0,296,37
IBM MQ,128,0,88,40,16
Jakarta JMS,128,0,88,40,16
Kafka,128,0,88,40,16
Logging,120,17,64,39,15
Masking,96,13,68,15,12
Outbox,144,0,24,120,18
Query Contract,136,0,136,0,17
REST,200,0,24,176,25
RabbitMQ AMQP,128,0,88,40,16
Resilience,15,0,7,8,2
Scheduler,83,0,0,83,11
Spring Batch,224,0,0,224,28
Tracing,104,10,36,58,13
