request_session,target_session,related_requirement_ids,exact_files,defect_reproduction,required_contract_change,compatibility_db_generator_frontend_impact,execution_command,expected_result,failure_criteria,evidence_path,dependency
QA-12F,QA-12A~12L / shared owner,CPF-FR-012734~012740,cpf-core/src/main/java/com/cpf/core/api/resilience/*;cpf-core/src/main/java/com/cpf/core/spi/resilience/*;cpf-starters/integration/resilience/**,Recovery Probe 전용 durable state/worker/domain·batch·ADM consumer가 확인되지 않음,Probe query/command/state/claim-lease/reconcile public contract와 provider 연결,Public API/SPI·3 Vendor schema·ADM/OpenAPI·generator/sample 영향,./gradlew :cpf-starters:integration:resilience:test :cpf-admin:test,Probe 상태가 multi-instance에서 중복 없이 저장·조회·reconcile되고 ADM/Batch/Domain에서 소비,"Consumer 부재, duplicate claim, UNKNOWN 축약, restart 유실",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,공유 resilience contract owner 선행 → 각 partition consumer 회귀
QA-12F,QA-12A~12L / observability owner,CPF-FR-012741~013228,cpf-core/src/main/java/com/cpf/core/api/logging/**;cpf-core/src/main/java/com/cpf/core/api/observability/**;cpf-core/src/main/java/com/cpf/core/common/logging/**;cpf-starters/platform-operations/observability/**,"Log/trace policy revision CAS, schema version, async failover, baggage allowlist/cardinality budget가 완결되지 않음",version/CAS·distribution convergence·durable async signal·trace attribute/baggage budget,ADM/OpenAPI/DB policy table/agent runtime/frontend error states 영향,./gradlew :cpf-core:test :cpf-starters:platform-operations:observability:test :cpf-admin:test,policy 변경이 multi-instance에 원자적 전파되고 loss/PII/cardinality 회귀 0,"stale overwrite, partial divergence, raw token/PII, silent log loss",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,공유 observability owner 선행 → logging/ADM consumers 후행
QA-12F,QA-12A~12L / data owner,CPF-FR-013509~013644,cpf-core/src/main/java/com/cpf/core/api/database/**;cpf-starters/data/persistence-jdbc/**,Canonical Query Registry/version/parameter/result contract와 provider chain을 찾지 못함,"query ID/version, bind schema, row/result contract, timeout/cancel/read-routing audit API/SPI",3 Vendor SQL catalog·generator·sample·ADM query console 영향,./gradlew :cpf-starters:data:persistence-jdbc:test,동일 query contract가 3 Vendor에서 bind/result/timeout/cancel semantics 일치,"raw SQL 직접 호출, provider bypass, vendor 결과 불일치",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,data contract owner 선행 → domain consumers 후행
QA-12F,QA-12A~12L / gateway owner,CPF-FR-013645~013940,cpf-core/src/main/java/com/cpf/core/api/gateway/**;cpf-gateway/**,Source 경로는 풍부하나 실제 multi-instance route/control ledger/TLS/fault runtime evidence 없음,필요 시 없음; shared runtime harness와 route revision fencing 확정,Gateway registry DB·ADM/OpenAPI·runtime client 영향,./gradlew :cpf-gateway:test,route revision·nonce·audit·load balance·failover가 multi-instance에서 일치,"stale route, replayed control, split-brain, unaudited change",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,gateway owner runtime 검증 → 각 consumer 회귀
QA-12F,QA-12A~12L / messaging contract owner,CPF-FR-013941~014100,cpf-core/src/main/java/com/cpf/core/api/broker/**;cpf-core/src/main/java/com/cpf/core/common/broker/**,Event envelope version/TTL/header allowlist/schema compatibility 계약이 불완전,"versioned envelope, TTL, header allowlist, compatibility/error contract",Kafka/Rabbit/JMS/IBM MQ serializers·DLQ/ADM·generated clients 영향,./gradlew :cpf-core:test,Provider 4종이 동일 envelope/version/TTL/error semantics 준수,"header leak, incompatible deserialize, expired message 처리 불일치",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,broker contract owner 선행 → provider adapters 후행
QA-12F,QA-12A~12L / messaging provider owners,CPF-FR-014101~014612,cpf-starters/messaging/kafka/**;cpf-starters/messaging/rabbitmq/**;cpf-starters/messaging/jms/**;cpf-starters/messaging/ibm-mq/**,Producer/UNKNOWN는 존재하나 Consumer ACK/NACK/redelivery/ordering/backpressure/reconnect/health가 동일 수준으로 완결되지 않음,공통 consumer lifecycle/ack/retry/backpressure/health adapter contract,Provider config·metrics·ADM control·sample 영향,./gradlew :cpf-starters:messaging:kafka:test :cpf-starters:messaging:rabbitmq:test :cpf-starters:messaging:jms:test :cpf-starters:messaging:ibm-mq:test,4 Provider에서 duplicate/order/redelivery/backpressure/UNKNOWN semantics parity,"ACK 유실, 무한 redelivery, ordering 위반, silent reconnect failure",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,공통 broker contract 후 provider별 구현
QA-12F,QA-12A~12L / messaging reliability owner,CPF-FR-014613~014756,cpf-starters/messaging/reliability-jdbc/**;cpf-admin/**,DLQ replay repository 호출이 승인 token 없이 가능하고 실제 DB multi-instance runtime 미검증,two-person approval/fencing token을 replay port/repository 경계에서 강제,3 Vendor schema·ADM/OpenAPI·audit 영향,./gradlew :cpf-starters:messaging:reliability-jdbc:test :cpf-admin:test,"승인 없는 replay 차단, claim/lease/reconcile가 multi-instance에서 중복 0","direct replay bypass, duplicate publish, stale lease commit",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,reliability owner API/DB 선행 → ADM 후행
QA-12F,QA-12A~12L / integration owners,CPF-FR-014757~014956,cpf-starters/integration/http-client/**;cpf-starters/integration/tcp/**;cpf-starters/file/sftp/**,실제 외부 서버 half-open/process-kill/resume checksum/callback reconcile runtime 미검증,필요 시 UNKNOWN/reconcile/manual confirmation common contract,endpoint registry·credential reference·ADM history 영향,./gradlew :cpf-starters:integration:http-client:test :cpf-starters:integration:tcp:test :cpf-starters:file:sftp:test,timeout/half-open/restart/resume에서 중복·유실 없이 최종 상태 확정,"UNKNOWN 축약, resume corruption, host-key 우회",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,integration owner fault harness → domain consumers
QA-12F,QA-12A~12L / batch owner,CPF-FR-014957~015180,cpf-batch/execution-runtime/**;cpf-batch/control-server/**;cpf-batch/worker/**,Source/Test는 존재하나 실제 DB/Kafka/process-kill remote chunk/partition runtime 미검증,필요 시 execution fencing/remote ledger compatibility 확정,Spring Batch metadata·3 Vendor SQL·ADM/BZA·generator sample 영향,./gradlew :cpf-batch:execution-runtime:test :cpf-batch:worker:test :cpf-batch:control-server:test,"restart/abandon/remote chunk·partition에서 duplicate side effect 0, 상태 일치","checkpoint 유실, stale worker commit, duplicate chunk",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,batch runtime owner 검증 → scheduler/ADM 후행
QA-12F,QA-12A~12L / scheduler-agent owner,CPF-FR-015181~015279,cpf-batch/scheduler/**;cpf-batch/host-agent/**;cpf-batch/runtime-common/**,실제 multi-instance leader lease/misfire/calendar/pause-resume/heartbeat expiry runtime 미검증,필요 시 lease fencing/misfire decision/heartbeat state contract 확정,Scheduler DB·Agent mTLS·ADM operations 영향,./gradlew :cpf-batch:scheduler:test :cpf-batch:host-agent:test,leader failover·heartbeat expiry·misfire에서 duplicate fire 0 및 감사 일치,"split-brain dispatch, stale heartbeat, unaudited agent command",cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,scheduler/agent owner runtime → batch consumer 회귀
