finding_id,requirement_id,scenario_ids,domain,feature,dimension,acceptance_impact,individual_result,evidence_path
QA12F-RES-001,CPF-FR-012734,CPF-SC-023798,Resilience,Recovery Probe,기본 구현,"Recovery Probe의 기본 구현 Acceptance에 대해 Recovery Probe-specific query/command, durable probe state, worker claim/lease and Domain/Batch/ADM consumer path were not found.",미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-001,CPF-FR-012735,CPF-SC-023799,Resilience,Recovery Probe,상태·데이터,"Recovery Probe의 상태·데이터 Acceptance에 대해 Recovery Probe-specific query/command, durable probe state, worker claim/lease and Domain/Batch/ADM consumer path were not found.",미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-001,CPF-FR-012736,CPF-SC-023800,Resilience,Recovery Probe,보안·권한,"Recovery Probe의 보안·권한 Acceptance에 대해 Recovery Probe-specific query/command, durable probe state, worker claim/lease and Domain/Batch/ADM consumer path were not found.",미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-001,CPF-FR-012737,CPF-SC-023801,Resilience,Recovery Probe,운영,"Recovery Probe의 운영 Acceptance에 대해 Recovery Probe-specific query/command, durable probe state, worker claim/lease and Domain/Batch/ADM consumer path were not found.",미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-001,CPF-FR-012738,CPF-SC-023802,Resilience,Recovery Probe,실패·복구,"Recovery Probe의 실패·복구 Acceptance에 대해 Recovery Probe-specific query/command, durable probe state, worker claim/lease and Domain/Batch/ADM consumer path were not found.",미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-001,CPF-FR-012739,CPF-SC-023803,Resilience,Recovery Probe,호환·배포,"Recovery Probe의 호환·배포 Acceptance에 대해 Recovery Probe-specific query/command, durable probe state, worker claim/lease and Domain/Batch/ADM consumer path were not found.",미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-001,CPF-FR-012740,CPF-SC-023804,Resilience,Recovery Probe,검증·Evidence,"Recovery Probe의 검증·Evidence Acceptance에 대해 Recovery Probe-specific query/command, durable probe state, worker claim/lease and Domain/Batch/ADM consumer path were not found.",미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-002,CPF-FR-012741,CPF-SC-003137;CPF-SC-003138;CPF-SC-003139;CPF-SC-003140;CPF-SC-003141;CPF-SC-003142;CPF-SC-003143;CPF-SC-003144,Resilience,Policy Version,계약,"Policy Version의 계약 Acceptance에 대해 Revisioned policy store exists, but actual Domain/Batch consumer convergence, approval race, restart and mixed-version runtime were not proven.",미검증,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-002,CPF-FR-012742,CPF-SC-023805,Resilience,Policy Version,기본 구현,"Policy Version의 기본 구현 Acceptance에 대해 Revisioned policy store exists, but actual Domain/Batch consumer convergence, approval race, restart and mixed-version runtime were not proven.",미검증,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
QA12F-RES-002,CPF-FR-012743,CPF-SC-023806,Resilience,Policy Version,상태·데이터,"Policy Version의 상태·데이터 Acceptance에 대해 Revisioned policy store exists, but actual Domain/Batch consumer convergence, approval race, restart and mixed-version runtime were not proven.",미검증,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md
