exact_path,related_requirement_ids,change_reason,consumer,expected_impact,current_blob_or_hash
cpf-docs/work/current/CPF_REQUIREMENT_MASTER.csv,,Part 010/011 size/SHA metadata를 exact-SHA split blob과 일치시켜 전체 원장 Builder 차단 제거,전체 QA 원장 Builder/Validator,전체 12분할 원장 조립 및 검증,sha256:beb25bd8fff3e7a3e0f433e5989038015a382acd9f105ba792bd9521926cf638
cpf-tools/scripts/validate-cpf-full-qa-ledgers.py,,canonical CPF-GATE ID 허용 및 Scenario ID set 1회 생성으로 대용량 검증 false fail/timeout 제거,전체 QA 원장 Validator,전체 Requirement/Scenario 검증 정확도와 실행시간,sha256:6a91e3f54252909fda070b9dc836b249db1dd9146ec887ba57393e41c4752e39
cpf-tools/scripts/tests/test_validate_cpf_full_qa_ledgers_gate_ids.py,,Gate ID·대용량 성능 회귀 Test 추가,전체 QA 원장 Validator CI,공통 품질 Gate,NEW
cpf-core/src/main/java/com/cpf/core/common/logging/file/CpfFileLogWriter.java,CPF-FR-012757~CPF-FR-012844,same-day size cap bypass 제거 및 POSIX 750/640·world access fail-closed,LoggingAspect/TransactionLog/File logging consumers,로그 보존·권한·손실 방지,sha256:47570244cd7469bffead9a23c4f656798d011c84885093a21df5074a43ab7a9d
cpf-core/src/test/java/com/cpf/core/common/logging/file/CpfFileLogWriterTest.java,CPF-FR-012757~CPF-FR-012844,retention cap·POSIX 권한·world access 회귀 Test 보완,cpf-core logging test suite,로그 회귀 보호,sha256:48193aec8eb9379c988a5dbea3d07734dfbff05847ba57dad0435fd5eae1694f
cpf-core/src/main/resources/application-cpf.yml,CPF-FR-012757~CPF-FR-012844,retention check interval과 secure permission 기본값 명시,cpf-core logging configuration consumers,운영 설정 호환성,sha256:69c7afe9d6b0c7a6eb7b0ad1e06052f735e5fb8d147ce17f7eb177f4a147d2c9
cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java,CPF-FR-012981~CPF-FR-013052,truncate 음수/과소 경계와 Bearer redaction 순서 보안 결함 수정,Logging/ADM/export/trace masking consumers,Secret/PII 노출 방지,sha256:e6f4b0219165bc0570eb221c3cc6a6a45506eef976133fc8357633488fbc4ea1
cpf-core/src/test/java/com/cpf/core/common/logging/SensitiveDataMaskerBoundaryTest.java,CPF-FR-012981~CPF-FR-013052,truncate·Bearer negative 회귀 Test 추가,cpf-core masking test suite,마스킹 회귀 보호,NEW
cpf-starters/integration/fixedlength/src/main/java/com/cpf/starter/fixedlength/CpfFixedLengthAutoConfiguration.java,CPF-FR-013229~CPF-FR-013348,실제 dependency package로 잘못된 import 교정,Fixed-Length starter consumers,fresh compile/Bean wiring 복구,sha256:ac17b02366788cdfd6048609bc25fcca91507093f8c37324c22df9b8bae822a4
cpf-starters/integration/fixedlength/src/test/java/com/cpf/starter/fixedlength/CpfFixedLengthAutoConfigurationTest.java,CPF-FR-013229~CPF-FR-013348,Starter Bean 계약 회귀 Test 추가,Fixed-Length starter test suite,AutoConfiguration 회귀 보호,NEW
