path,change_type,category,size_bytes,sha256,reason,baseline_sha
cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java,MODIFIED,PRODUCT_PATCH,4840,7650db951e8e13ec38790a069b38a560411876b84ae1ecea739e6ba841ff6ae8,Truncate boundary and Bearer redaction direct fix,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-core/src/main/java/com/cpf/core/common/logging/file/CpfFileLogWriter.java,MODIFIED,PRODUCT_PATCH,32435,3d33b0c8327e4508e9fb47d9fced737b99261597332316ff0a9fab528a7dcb5b,Retention cap and secure POSIX permission direct fix,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-core/src/main/resources/application-cpf.yml,MODIFIED,PRODUCT_PATCH,7683,b4b167b912c514d4ee207911fe546ab0e3087bb503fdfc210be91cc2dbff4e2c,Logging retention/permission secure defaults,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-core/src/test/java/com/cpf/core/common/logging/SensitiveDataMaskerBoundaryTest.java,NEW,PRODUCT_PATCH,1029,6a9c1fe2c45c84d478e1381cae9d932fac72a27c0111df2d0228e387ec092671,Masking negative regression coverage,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-core/src/test/java/com/cpf/core/common/logging/file/CpfFileLogWriterTest.java,MODIFIED,PRODUCT_PATCH,14610,db26165ccf1ea34b30f3113a097c338ddb44f92d39471ad92f757d92e0169abd,Retention/permission regression coverage,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE.md,NEW,EVIDENCE,11774,043940d0e3acc8020c6cc30240478de9bd018f4ce41734a4f16693b3d24be0e0,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,NEW,EVIDENCE,216437,391a6c94d54fda94cf0679fba1d6b09cf96ffa8ad31d9bea81c382a1acfe701e,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/asynchronous-log-writer-source-reproduction.exit,NEW,EVIDENCE,1,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/asynchronous-log-writer-source-reproduction.log,NEW,EVIDENCE,168,659fc1637964a066f4b5c5f7ff7bea332f8485fc4b68577ba6cca06d4dfe91b3,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/build-full-qa-ledgers-after-index-fix.log,NEW,EVIDENCE,782,0e99058af09b87d123dc395c0714bb79cfc29d5296860097d789613a2c3bf370,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/build-full-qa-ledgers.log,NEW,EVIDENCE,175,384be5be1c140a88dc45417f6d6ff78b120df03b2483ecc81b935cf4aac47143,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/db-pack-static-parity.log,NEW,EVIDENCE,688,de13b307ca5d65757e1268b75c6eaf73cce33714e0c8484b02f7548e1b696d74,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log,NEW,EVIDENCE,33,7f8e2348edfd3090d2903b8eab45523c9f1365e68b86168a01d6f0fb15a3d403,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.exit,NEW,EVIDENCE,1,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log,NEW,EVIDENCE,141,3e356596c972e22167e93da4633ffd3b4d255fa375eebac93e47563ec7f6f68f,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-javac.log,NEW,EVIDENCE,13,b1837e5a7bf1169b4ae029a38cc5a7ac0fedc7bfa0f7597684047a38476362af,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-world-access-reject.exit,NEW,EVIDENCE,1,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,QA-12F exact-SHA evidence,f97655c1299936a1101bc3ec10239265ec3b502e
