check_id,source_requirement_id,area,direct_source_review,source_evidence,consumer_review,test_harness_review,development_status,verification_status,runtime_only_reason
CORE-001,QA39-001,QA Governance,COMPLETE,PASS: canonical human-readable entry is cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; obsolete QA39 document directories are absent from Overlay and exact delete paths are listed.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-002,QA39-002,Build Foundation,COMPLETE,RabbitMQ explicit Queue/Exchange imports and named binding wiring compile in the low-cost harness; Java 25 fresh Gradle compile remains to run.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-003,QA39-003,Build Foundation,COMPLETE,Settings/BOM/Catalog/Generator references are removed and 135 exact delete paths are prepared; physical deletion remains NOT_EXECUTED pending user application.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-004,QA39-004,Starter Architecture,COMPLETE,"Value Catalog, admission gate and Public SPI conformance are implemented; all external Runtime Evidence still requires environment execution.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-005,QA39-005,Starter Architecture,COMPLETE,"PASS: verify-qa39-canonical-starter-closure.py profiles=6, groups=7.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-006,QA39-006,Starter Architecture,COMPLETE,Security/Cache Aggregates are absent from the public Catalog and replacement profiles are exclusive; physical obsolete paths remain pending deletion.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-007,QA39-007,Starter Architecture,COMPLETE,Six public Profiles replace 13 old Profiles in Settings/BOM/Catalog/Generator; physical old profile paths remain pending deletion.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-008,QA39-008,Messaging,COMPLETE,Common CPF Broker API/SPI and named provider router are implemented; Kafka/RabbitMQ/JMS/IBM MQ live swap remains environment verification.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-009,QA39-009,Messaging,COMPLETE,Kafka binding name/default selection and 0/1/2 default fail-closed tests are implemented; full Gradle test remains environment verification.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-010,QA39-010,Messaging Reliability,COMPLETE,"Source, SQL and tests implement scheduler, lease reclaim, retry/DLQ and UNKNOWN reconcile; live broker process-kill/ACK-loss not executed.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
CORE-011,QA39-011,Notification,COMPLETE,"Source, SQL and tests implement dispatch scheduler, lease reclaim, UNKNOWN/receipt/reprocess; live SMTP timeout/process-kill not executed.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
CORE-012,QA39-012,Scheduling,COMPLETE,Public Quartz Starter/Profile are removed and Scheduler ownership is in cpf-batch; two-node JDBC JobStore failover not executed.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
CORE-013,QA39-013,Consumer Migration,COMPLETE,PASS: canonical dependency graph gate reports no runtime profile injection into cpf-batch contract/testkit.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-014,QA39-014,Consumer Migration,COMPLETE,PASS: canonical consumer gate reports one public Profile per Consumer and no profile/Leaf duplicate declaration.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-015,QA39-015,Generator,COMPLETE,Generator produces selected Profile/Capability/Provider and lock with minimal default; PowerShell fresh generation and Gradle build remain environment verification.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-016,QA39-016,Artifact/BOM,COMPLETE,PASS: settings/BOM/artifact/profile Catalog parity is generated from the canonical Starter Catalog and canonical closure gate passes.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,완료,
CORE-017,QA39-017,Evidence,COMPLETE,CPF_FILES.sha256 and package manifest are generated for the Overlay; exact post-push Git SHA evidence must be regenerated by the final validator.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-018,QA39-018,CI,COMPLETE,"Final required workflow includes Java 25, Frontend, DB, architecture and supply-chain gates; GitHub branch required-check enforcement requires repository administration verification.",COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-019,QA39-019,Database,COMPLETE,Three-vendor migrations/rollback and semantic parity gate are present; empty-schema Fresh/Upgrade/Rollback/Reapply was not executed.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
CORE-020,QA39-020,Runtime,COMPLETE,Runtime/fault test sources and CI entry points exist; live Kafka/RabbitMQ/JMS/IBM MQ/TCP/SFTP/Notification/OTLP environments were not executed.,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,
