id,path,category,decision,reason,canonical_evidence,approved
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admBatchJobDefinitionSaveRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admBatchJobDefinitionTransitionRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admBatchJobDefinitionValidateRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admBreakGlassCloseSessionRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admBreakGlassOpenSessionRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admBreakGlassReviewSessionRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admIncidentCreateIncidentRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admIncidentTransitionIncidentRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admIntegrationDataQualityValidateRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
GARBAGE-0637,cpf-admin/frontend/src/generated/orval/model/admMaintenanceExecuteActionRequest.ts,DELETE_MANIFEST,DELETE,[ADM-TYPED-REQUEST] Obsolete raw-map generated request model superseded by canonical typed OpenAPI request model.,cpf-docs/deliverables/DELETE_MANIFEST.csv,true
