requirement_id,title,owner_area,development_status,verification_status,actual_result,evidence_path,base_sha
QA39-045,기준 SHA·사전 리뷰·통합 Backlog,governance,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-046,Starter 9축 물리 구조와 38종 parity,starter-layout,완료,완료,PASS,cpf-docs/evidence/qa39/apply/CPF_QA39_SYNTHETIC_APPLY.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-047,30개 exact 이동과 원자·멱등 적용,starter-move,완료,완료,PASS,cpf-docs/evidence/qa39/apply/CPF_QA39_SYNTHETIC_APPLY.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-048,Catalog·명칭·Settings·BOM 단일 정본,catalog-bom,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-049,상용 Resilience Runtime과 실제 Consumer,resilience,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-050,상용 Feature Flag·승인·감사·일관성,feature-flag,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-051,OpenAPI standalone 내부화,openapi,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-052,Public API/SPI/Internal 경계,boundary,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-053,6개 실제 Profile Artifact 의미 통일,profiles,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-054,Internal Provider 실질 내부화,provider-binding,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-055,Batch Provider 중립화·복합 Worker Identity,batch,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-056,완료 상태·False Green Gate,evidence-gate,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-057,Move/Delete Manifest 상태 모델,manifest,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-058,Generator·Generated Domain 전체 조합,generator,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-059,외부 Runtime 장애·다중 인스턴스 Matrix,runtime,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-060,Oracle/PostgreSQL/MariaDB Lifecycle,database,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-061,ADM/BZA Frontend·3 Browser,frontend,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-062,Fresh Clone·CI Required Checks,ci,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-063,SBOM·License·Vulnerability·Publication,supply-chain,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-064,사후 리뷰·Handover·Overlay Delivery,delivery,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
