move_id,source,target,oldArtifactId,newArtifactId,ownerGroup,packageBase,status
MOVE-001,cpf-starters/base,cpf-starters/foundation/base,cpf-starter-base,cpf-starter-foundation-base,foundation,com.cpf.starter.foundation.base,APPROVED_BY_QA_REQUIREMENT
MOVE-002,cpf-starters/persistence-jdbc,cpf-starters/data/persistence-jdbc,cpf-starter-persistence-jdbc,cpf-starter-data-persistence-jdbc,data,com.cpf.starter.data.persistence.jdbc,APPROVED_BY_QA_REQUIREMENT
MOVE-003,cpf-starters/persistence-mybatis,cpf-starters/data/persistence-mybatis,cpf-starter-persistence-mybatis,cpf-starter-data-persistence-mybatis,data,com.cpf.starter.data.persistence.mybatis,APPROVED_BY_QA_REQUIREMENT
MOVE-004,cpf-starters/cache,cpf-starters/data/cache-caffeine,cpf-starter-cache-caffeine,cpf-starter-data-cache-caffeine,data,com.cpf.starter.data.cache.caffeine,APPROVED_BY_QA_REQUIREMENT
MOVE-005,cpf-starters/cache-valkey,cpf-starters/data/cache-valkey,cpf-starter-cache-valkey,cpf-starter-data-cache-valkey,data,com.cpf.starter.data.cache.valkey,APPROVED_BY_QA_REQUIREMENT
MOVE-006,cpf-starters/messaging-reliability-jdbc,cpf-starters/messaging/reliability-jdbc,cpf-starter-messaging-reliability-jdbc,cpf-starter-messaging-reliability-jdbc,messaging,com.cpf.starter.messaging.reliability.jdbc,APPROVED_BY_QA_REQUIREMENT
MOVE-007,cpf-starters/messaging-kafka,cpf-starters/messaging/kafka,cpf-starter-messaging-kafka,cpf-starter-messaging-kafka,messaging,com.cpf.starter.messaging.kafka,APPROVED_BY_QA_REQUIREMENT
MOVE-008,cpf-starters/messaging-rabbitmq,cpf-starters/messaging/rabbitmq,cpf-starter-messaging-rabbitmq,cpf-starter-messaging-rabbitmq,messaging,com.cpf.starter.messaging.rabbitmq,APPROVED_BY_QA_REQUIREMENT
MOVE-009,cpf-starters/messaging-jms,cpf-starters/messaging/jms,cpf-starter-messaging-jms,cpf-starter-messaging-jms,messaging,com.cpf.starter.messaging.jms,APPROVED_BY_QA_REQUIREMENT
MOVE-010,cpf-starters/messaging-ibm-mq,cpf-starters/messaging/ibm-mq,cpf-starter-messaging-ibm-mq,cpf-starter-messaging-ibm-mq,messaging,com.cpf.starter.messaging.ibmmq,APPROVED_BY_QA_REQUIREMENT
MOVE-011,cpf-starters/http-client,cpf-starters/integration/http-client,cpf-starter-http-client,cpf-starter-integration-http-client,integration,com.cpf.starter.integration.http.client,APPROVED_BY_QA_REQUIREMENT
MOVE-012,cpf-starters/integration-tcp,cpf-starters/integration/tcp,cpf-starter-integration-tcp,cpf-starter-integration-tcp,integration,com.cpf.starter.integration.tcp,APPROVED_BY_QA_REQUIREMENT
MOVE-013,cpf-starters/integration-fixedlength-core,cpf-starters/integration/fixedlength-core,cpf-integration-fixedlength-core,cpf-starter-integration-fixedlength-core,integration,com.cpf.starter.integration.fixedlength.core,APPROVED_BY_QA_REQUIREMENT
MOVE-014,cpf-starters/integration-fixedlength,cpf-starters/integration/fixedlength,cpf-starter-integration-fixedlength,cpf-starter-integration-fixedlength,integration,com.cpf.starter.integration.fixedlength,APPROVED_BY_QA_REQUIREMENT
MOVE-015,cpf-starters/integration-iso8583,cpf-starters/integration/iso8583,cpf-starter-integration-iso8583,cpf-starter-integration-iso8583,integration,com.cpf.starter.integration.iso8583,APPROVED_BY_QA_REQUIREMENT
MOVE-016,cpf-starters/attachment,cpf-starters/file/attachment,cpf-starter-attachment,cpf-starter-file-attachment,file,com.cpf.starter.file.attachment,APPROVED_BY_QA_REQUIREMENT
MOVE-017,cpf-starters/file-archive,cpf-starters/file/archive,cpf-starter-file-archive,cpf-starter-file-archive,file,com.cpf.starter.file.archive,APPROVED_BY_QA_REQUIREMENT
MOVE-018,cpf-starters/tabular-poi,cpf-starters/file/tabular-poi,cpf-starter-tabular-poi,cpf-starter-file-tabular-poi,file,com.cpf.starter.file.tabular.poi,APPROVED_BY_QA_REQUIREMENT
MOVE-019,cpf-starters/integration-sftp,cpf-starters/file/sftp,cpf-starter-integration-sftp,cpf-starter-file-sftp,file,com.cpf.starter.file.sftp,APPROVED_BY_QA_REQUIREMENT
MOVE-020,cpf-starters/notification,cpf-starters/notification/dispatch,cpf-starter-notification,cpf-starter-notification-dispatch,notification,com.cpf.starter.notification.dispatch,APPROVED_BY_QA_REQUIREMENT
MOVE-021,cpf-starters/notification-email,cpf-starters/notification/email,cpf-starter-notification-email,cpf-starter-notification-email,notification,com.cpf.starter.notification.email,APPROVED_BY_QA_REQUIREMENT
MOVE-022,cpf-starters/notification-sms-spi,cpf-starters/notification/sms-spi,cpf-notification-sms-spi,cpf-starter-notification-sms-spi,notification,com.cpf.starter.notification.sms.spi,APPROVED_BY_QA_REQUIREMENT
