delete_id,scope,exact_path,target_type,reason,replacement,cleanup_action,ownership,protected_path_check
DEL-0001,REPOSITORY,cpf-core/src/main/java/com/cpf/core/api/feature/CpfFeatureFlagContext.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0002,REPOSITORY,cpf-core/src/main/java/com/cpf/core/api/feature/CpfFeatureFlagResult.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0003,REPOSITORY,cpf-core/src/main/java/com/cpf/core/api/feature/CpfFeatureFlags.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0004,REPOSITORY,cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerClientAdapter.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0005,REPOSITORY,cpf-core/src/main/java/com/cpf/core/spi/feature/CpfFeatureFlagProvider.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0006,REPOSITORY,cpf-starters/attachment/build.gradle,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0007,REPOSITORY,cpf-starters/attachment/src/main/java/com/cpf/core/common/attachment/LocalCpfAttachmentStorageAdapter.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0008,REPOSITORY,cpf-starters/attachment/src/main/java/com/cpf/core/config/CpfAttachmentAutoConfiguration.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0009,REPOSITORY,cpf-starters/attachment/src/main/java/com/cpf/starter/attachment/runtimecontrol/CpfAttachmentPolicyRuntimeApplier.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0010,REPOSITORY,cpf-starters/attachment/src/main/java/com/cpf/starter/attachment/runtimecontrol/CpfAttachmentRuntimeControlAutoConfiguration.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0011,REPOSITORY,cpf-starters/attachment/src/main/java/com/cpf/starter/attachment/runtimecontrol/CpfDownloadPolicyRuntimeApplier.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0012,REPOSITORY,cpf-starters/attachment/src/main/resources/META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0013,REPOSITORY,cpf-starters/attachment/src/test/java/com/cpf/core/common/attachment/LocalCpfAttachmentStorageAdapterTest.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0014,REPOSITORY,cpf-starters/base/build.gradle,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0015,REPOSITORY,cpf-starters/base/src/main/java/com/cpf/core/common/product/CpfCapabilityRegistry.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0016,REPOSITORY,cpf-starters/base/src/main/java/com/cpf/starter/base/CpfBaseAutoConfiguration.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0017,REPOSITORY,cpf-starters/base/src/main/java/com/cpf/starter/base/CpfBaseProperties.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0018,REPOSITORY,cpf-starters/base/src/main/java/com/cpf/starter/base/CpfCapabilityBinding.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0019,REPOSITORY,cpf-starters/base/src/main/java/com/cpf/starter/base/CpfCapabilityBindingRegistry.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
DEL-0020,REPOSITORY,cpf-starters/base/src/main/java/com/cpf/starter/base/CpfGeneratedDomainPolicyRuntimeVerifier.java,FILE,"QA39 canonical move, package replacement, or duplicate contract removal",Canonical target is included in this Root Overlay ZIP,DELETE_IF_EXISTS,QA39_APPROVED_PRODUCT_CHANGE,PASS
