requirement_id,canonical_requirement_id,axis,previous_primary_work_item_id,resolved_primary_work_item_id,resolution_reason,reviewed_by,review_status,central_assignment_modified
CPF-FR-004652,BAT-CORE,동시성,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004654,BAT-CORE,재시도,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004656,BAT-CORE,결과 불명,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004659,BAT-CORE,보상,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004665,BAT-CORE,권한,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004666,BAT-CORE,Data Scope,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004667,BAT-CORE,Masking·Privacy,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004668,BAT-CORE,사유,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004673,BAT-CORE,Trace,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004674,BAT-CORE,Health·Readiness,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004676,BAT-CORE,Resource 상한,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,권한·scope·masking·reason·trace·health·resource·local/remote·metric은 실제 구현/Consumer 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004681,BAT-CORE,DB Rollback,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004689,BAT-CORE,JavaDoc·주석,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004695,BAT-CORE,Fault Test,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004697,BAT-CORE,Hygiene,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004769,BAT-ITEM,상태 Catalog,CPF-WP-BAT-ITEM-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-ITEM-01-CONTRACT_OWNERSHIP,상태 의미와 허용/terminal/UNKNOWN Catalog는 Owner contract에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004810,BAT-ITEM,Sample·EDU,CPF-WP-BAT-ITEM-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-ITEM-03-VERIFICATION_EVIDENCE,문서·Fault Test·Hygiene·Sample은 검증/Evidence Work Item에 귀속,DEVGPT-V9-S02,확정,False
CPF-FR-004896,BAT-AGENT,동시성,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,CPF-WP-BAT-AGENT-04-FAILURE_RECOVERY,동시성·retry·UNKNOWN·보상·timeout·multi-instance·rollback은 failure/recovery 경로에 귀속,DEVGPT-V9-S02,확정,False
