path,path_type,requirement_references,scenario_references,verification_basis,baseline_sha
POST /api/v1/batch/remote-messages/{direction}/{messageId}/reconcile-unknown/retry,endpoint,15,15,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/frontend/src/views/BatchCenterCutPage.vue,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/batch/RemoteBatchJobDefinitionControlAdapter.java,file,0,136,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/batch/RemoteCpfBatchOperationsAdapter.java,file,285,492,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/centercut/RemoteCpfCenterCutOperationsAdapter.java,file,145,180,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java,file,198,272,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBreakGlassController.java,file,105,142,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCenterCutController.java,file,145,180,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmConfigController.java,file,166,242,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmFeatureFlagController.java,file,166,242,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmHealthController.java,file,80,104,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java,file,82,106,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmObservabilityController.java,file,408,673,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmReliabilityController.java,file,305,388,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java,file,507,793,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmServiceRegistryController.java,file,200,274,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmSystemInfoController.java,file,80,104,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/incident,file,143,178,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimePolicyDistributionAdapter.java,file,166,242,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmDynamicLogLevelBroadcastService.java,file,166,242,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmDynamicLogLevelRuleStore.java,file,166,242,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmNotificationOutboxService.java,file,82,106,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmNotificationOutboxWorker.java,file,82,106,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmNotificationService.java,file,82,106,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmObservabilityService.java,file,488,777,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmReliabilityService.java,file,223,282,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmServiceRegistryService.java,file,200,274,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/CenterCutControlController.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/CenterCutLifecycleReconciler.java,file,141,176,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/CenterCutRunnerApplication.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/CenterCutRuntimePolicyConfiguration.java,file,82,106,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/CenterCutTargetGenerator.java,file,314,504,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/SpringBatchCenterCutRuntimeState.java,file,314,504,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/SpringBatchCenterCutStepHandler.java,file,396,610,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/internal/JdbcCenterCutAdmissionControl.java,file,162,210,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/internal/JdbcCenterCutClaimRepository.java,file,160,208,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/AgentArtifactRequest.java,file,105,142,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/ArtifactManifest.java,file,105,142,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchExecutionPlan.java,file,285,492,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchJobDefinition.java,file,384,628,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchJobDefinitionControlPort.java,file,99,136,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchParameterDefinition.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchStepDefinition.java,file,384,628,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/CenterCutExecutionRequest.java,file,314,504,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/CenterCutExecutionState.java,file,253,432,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeCommand.java,file,318,543,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeHeartbeat.java,file,400,649,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeRegistration.java,file,400,649,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeRole.java,file,82,106,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/CenterCutReconciliationController.java,file,225,284,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/ControlServerRuntimeStateProvider.java,file,118,168,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/RemoteMessageReconciliationController.java,file,15,15,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeCommandExecutor.java,file,402,651,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeControlController.java,file,84,651,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/deploy,file,105,142,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/deploy/RuntimeLifecycleService.java,file,84,108,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/internal/JdbcRuntimeRegistry.java,file,200,274,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/job/BatchJobDefinitionController.java,file,99,136,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/control-server/src/main/java/com/cpf/batch/control/job/BatchJobDefinitionService.java,file,99,136,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchExecutionListener.java,file,99,136,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchJobFactory.java,file,285,492,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaInboundBridge.java,file,61,72,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaManagerListener.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaRemoteConfiguration.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaWorkerListener.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchTasklet.java,file,384,700,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfKafkaOutboundMessageChannel.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfRemoteChunkItemProcessor.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfRemoteChunkItemWriter.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfSpringBatchExecutionControl.java,file,285,492,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfSynchronousWorkerChannel.java,file,61,72,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcBatchExecutionControlPlaneAdapter.java,file,384,628,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcCpfBatchRemoteMessageLedger.java,file,61,72,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentCommandLedger.java,file,318,543,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentController.java,file,507,793,OVERLAY_FILE_HASHED,fc207ac5560da59f352ee0c5f83199177f2987b4
cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/RuntimeControlProxy.java,file,318,543,EXACT_SHA_CONNECTOR_OR_API_CONTRACT,fc207ac5560da59f352ee0c5f83199177f2987b4
