path,action,purpose
cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/CHECKPOINT_STATUS.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/CPF_100_PERCENT_FINALIZATION_MANDATE.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/CPF_PROJECT_FINAL_100_PERCENT_COMPLETION_MANDATE.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/DATASET_MAP.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/HANDOVER.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/REVIEW_INDEX.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/final-dev-request/CPF_DEVGPT_NEXT_CYCLE_EXECUTION_POLICY.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/final-dev-request/CPF_DEVGPT_R6J_FULL_100_PERCENT_EXECUTION_INSTRUCTION.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/final-dev-request/CPF_DEVGPT_R6J_REWORK_EXECUTION_INSTRUCTION.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/final-dev-request/R6J_TRANSACTION_LOGGING_REWORK.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/qa/QA_100_PERCENT_COMPLETION_POLICY.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/qa/r6j/CENTRAL_INTEGRATED_FINDINGS.csv,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/qa/r6j/CENTRAL_MERGED_QA_REPORT.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/qa/r6j/CENTRAL_REQUIREMENT_STATUS.csv,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/qa/r6j/CENTRAL_RUNTIME_QUALIFICATION_MATRIX.csv,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/qa/r6j/EDU_ADM_ARCHITECTURE_DECISION.csv,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/qa/r6j/QA_CROSS_REVIEW_DISPOSITION.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
cpf-docs/work/v9i/qa/r6j/QA_RESULT_PACKAGE_STATUS.md,ADD_OR_MODIFY,Project-level 100 percent finalization mandate
