canonical_requirement_id,primary_owner,integration_owner,actual_source,actual_consumer,full_call_path,validation_type,command,exit_code,actual_result,evidence_path,development_status,verification_status
CMN-CALENDAR,cpf-common,S02 Batch + S05 Admin/API,cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java;cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java;cpf-common/src/main/java/com/cpf/common/calendar/CmnDurableCalendarChangePublisher.java;cpf-tools/db/runtime-template/cmn/calendar/**,CmnCalendarService;CmnJdbcCalendarStore;CmnBusinessCalendarRuntimeApplier;CacheRefreshEventListener;Batch calendar caller (S02),calendar command → cmnTransaction → JDBC Store → durable businessCalendar event → checkpoint consume; query → JDBC/DB-less fallback,UNIT_STATIC_TRANSACTION_OUTBOX,CPF_REPO_ROOT=$PWD python -m unittest cpf-tools/db/tests/test_cmn_calendar_durable_outbox.py -v,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_tests_final.log,완료,완료
CMN-CODE,cpf-common,S03 durable outbox + S05 Admin/API,cpf-common/src/main/java/com/cpf/common/cde/service/CodeCacheService.java;cpf-common/src/main/java/com/cpf/common/ref/service/CacheRefreshEventPublisher.java;cpf-common/src/main/java/com/cpf/common/ref/service/CacheRefreshEventListener.java,CodeCacheService mutation/query callers;CacheRefreshEventListener multi-instance replay;ADM code management route (S05),mutation → cmnTransaction → mapper → durable refresh outbox → per-instance checkpoint replay → immutable snapshot,STATIC_TRANSACTION_OUTBOX_CONTRACT,CPF_REPO_ROOT=$PWD python -m unittest cpf-tools/db/tests/test_cmn_code_message_durable_cache.py -v,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_code_message_contract.log,완료,완료
CMN-EXTENSION,cpf-common,S01 Core SPI + S05 Admin/API,cpf-common/src/main/java/com/cpf/common/validation/HeaderValidator.java;cpf-common/src/main/java/com/cpf/common/common/base/CmnBaseService.java;cpf-common/src/main/java/com/cpf/common/sec/**;cpf-common/src/main/java/com/cpf/common/cfg/**;cpf-common/src/main/java/com/cpf/common/tabular/**,CmnSampleItemService;CodeCacheService;MessageCacheService;customer/domain services extending CmnBaseService,domain request → cpf-core base/SPI → cpf-common validation/security/config extension → concrete service,STATIC_SOURCE_CONTRACT,CPF_REPO_ROOT=$PWD python -m unittest cpf-tools/db/tests/test_cmn_extension_contract.py -v,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,완료,완료
CMN-MSG,cpf-common,S03 durable outbox + S05 Admin/API,cpf-common/src/main/java/com/cpf/common/msg/service/MessageCacheService.java;cpf-common/src/main/java/com/cpf/common/msg/service/CmnCpfMessageResolver.java;cpf-common/src/main/java/com/cpf/common/ref/service/CacheRefreshEventListener.java,CmnCpfMessageResolver;MessageCacheService callers;CacheRefreshEventListener;ADM message management route (S05),message mutation → cmnTransaction → durable event → checkpoint replay; resolve → locale fallback → immutable snapshot,STATIC_TRANSACTION_OUTBOX_CONTRACT,CPF_REPO_ROOT=$PWD python -m unittest cpf-tools/db/tests/test_cmn_code_message_durable_cache.py -v,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_code_message_contract.log,완료,완료
CMN-SAMPLE-DB,cpf-common,S06 Generator sample,"cpf-common/src/main/java/com/cpf/common/sample/CmnSampleItemService.java;cpf-common/src/main/java/com/cpf/common/sample/CmnSampleSqlDialect.java;cpf-tools/db/runtime-template/cmn/sample/**;cpf-tools/db/vendor/{mariadb,postgresql,oracle}/source/20_cmn_schema.sql",CmnSampleItemService CRUD/offset/cursor/rollback verification;generated/reference consumers,sample service → official vendor detection → query-id resource → JdbcTemplate/TransactionTemplate → canonical cmn_sample_item,JAVA_HARNESS_VENDOR_PARSER,CPF_REPO_ROOT=$PWD python -m unittest cpf-tools/db/tests/test_cmn_sample_db_portability.py -v && java CmnSqlResourceHarness,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_sql_java_harness.log,완료,완료
CMN-TEMPLATE,cpf-common,S03 durable outbox + S05 Admin/API,"cpf-common/src/main/java/com/cpf/common/template/**;cpf-tools/db/runtime-template/cmn/template/**;cpf-tools/db/vendor/{mariadb,postgresql,oracle}/{source,install,migration,rollback,verify}/**V101**",CmnTemplateService;CmnTemplateManagementService;CmnJdbcTemplateStore;CacheRefreshEventListener commonTemplate checkpoint;ADM management route (S05),draft/approve/retire → cmnTransaction → row lock/CAS/SoD → append-only audit → durable commonTemplate event; render → active JDBC provider → escaped renderer,UNIT_STATIC_SCHEMA_VENDOR_PARITY,CPF_REPO_ROOT=$PWD python -m unittest cpf-tools/db/tests/test_cmn_template_persistence.py -v,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_tests_final.log,완료,완료
DATA-LINEAGE,cpf-tools DB + owning module,S05 Operations UI,cpf-tools/db/cpf-data-observability-policy.json;cpf-tools/scripts/verify-cpf-data-observability-evidence.py;invoke-cpf-data-observability-gate.ps1,Lineage/quality/reconciliation evidence gate;operations API/UI (S05),lineage nodes/edges + quality rules/results + reconciliation hashes → exact evidence hash → fail-closed verdict,EVIDENCE_VERIFIER_STATIC_SUBSTITUTE,python cpf-tools/scripts/verify-cpf-data-observability-evidence.py ...,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-verification.json,완료,완료
DATA-RETENTION,cpf-tools DB + owning module,S02 Batch Retention,cpf-tools/db/cpf-data-retention-policy.json;cpf-tools/scripts/generate-cpf-data-retention-sql.py;invoke-cpf-data-retention.ps1,S02 retention scheduler/operator;archive-before-purge SQL runner,approved policy/legal hold/cutoff → deterministic official-vendor SQL → archive → existence check → bounded purge → commit/UNKNOWN reconcile,DETERMINISTIC_SQL_GENERATOR,python -m unittest cpf-tools/scripts/tests/test_data_retention_generator.py -v; generate SQL for mariadb/postgresql/oracle,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/retention/mariadb-retention.sql,완료,완료
DB-BACKUP,cpf-tools DB + owning module,S06 Root Publication,"cpf-tools/db/cpf-backup-lifecycle-contract.json;cpf-tools/db/cpf-pitr-lifecycle-contract.json;cpf-tools/scripts/{backup-cpf-database,restore-cpf-database,invoke-cpf-pitr-restore,invoke-cpf-backup-retention,replicate-cpf-backup-artifact}.ps1",DB operators;retention/replication/PITR/DR restore scripts,approved request → plan/hash/backup manifest → restore/PITR → health/reconcile → immutable evidence,STATIC_POWERSHELL_CONTRACT_SUBSTITUTE,python cpf-tools/scripts/verify-cpf-db-development-contract.py --root . --json-output evidence.json,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,완료,완료
DB-FRESH,cpf-tools DB + owning module,S06 Root Publication,"cpf-tools/db/vendor/{mariadb,postgresql,oracle}/install/**;cpf-tools/db/vendor/{mariadb,postgresql,oracle}/migration/flyway/**;cpf-tools/db/verify_migration_lifecycle.py",run-db-vendor-lifecycle.ps1;fresh-install verifier;generated install packs,empty database → install → ordered migration → verify → drift/checksum gate → reapply simulation,PARSER_SIMULATOR,python -m unittest cpf-tools/db/tests/test_verify_migration_lifecycle.py -v,0,PASS - implementation/consumer/failure boundary reviewed with direct test or assignment-approved parser/simulator/static substitute,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_tests_final.log,완료,완료
