requirement_id,primary_work_item_id,canonical_requirement_ids,mapping_basis,manual_review_required
CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000002,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000003,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000004,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000005,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000006,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000007,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000008,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000009,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000010,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000011,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000012,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000013,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000014,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000015,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000016,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000017,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000018,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
CPF-FR-000019,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,SEMANTIC_AXIS_SCORE,false
