request_id,development_request_id,target_integration_owner,priority,exact_path,related_work_items,status,implemented_sha,regression_status,evidence_path,blocking_relation
S06-INT-ADM-APPROVAL-DUAL-PRIMARY,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S05,P0,cpf-admin/src/main/java/com/cpf/admin/approval/controller/AdmApprovalController.java;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmApprovalController.java,GATE-02-CONSUMER;GATE-03-HTTP-API;GAP-OPENAPI-PROFILE;STAB-028,PENDING_INTEGRATION_OWNER_IMPLEMENTATION,,FAILED_AT_BASELINE,evidence/SPRING_MAPPING_DUPLICATE.json,Seven duplicate Spring mappings and OpenAPI operationIds; one canonical Approval controller must remain and consumers/tests/OpenAPI must be regressed.
S06-INT-CACHE-VALKEY-MISSING-RUNTIME,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S06,P0,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/ValkeyCpfCachePort.java;cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyAutoConfiguration.java;cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfRedisCompatibilityAutoConfiguration.java;cpf-starters/data/cache-caffeine/src/main/java/com/cpf/starter/data/cache/caffeine/CpfCacheAutoConfiguration.java;cpf-tools/scripts/verify-cpf-cache-feature-flag-runtime.py,GAP-CACHE,IMPLEMENTED_IN_S06_OVERLAY,OVERLAY_PENDING_USER_APPLY,PASS_27_FILES_122_TESTS,evidence/S06_CAPABILITY_EVIDENCE_INDEX.json,Resolved in S06 root overlay. No Integration Owner action remains after the overlay is applied.
S06-INT-ADM-BROWSER-RELEASE-CONTRACT,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S05,P0,cpf-admin/frontend/playwright.config.ts,GATE-14-FRONTEND;STAB-027;GAP-SESSION-BFF;CPF-WP-TEST-BROWSER-01-GATE_ENGINE;CPF-WP-TEST-BROWSER-02-NEGATIVE_FIXTURES;CPF-WP-TEST-BROWSER-03-INTEGRATION_ENFORCEMENT,PENDING_INTEGRATION_OWNER_IMPLEMENTATION,,FAILED_AT_BASELINE,evidence/BROWSER_CONTRACT_FAIL.log,"ADM must consume CPF_FRONTEND_URL and canonical CPF_E2E_* release inputs like BZA, then execute Chromium/Firefox/WebKit regression."
S06-ENV-JAVA25-GRADLE91-RUNTIME,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,BUILD_RUNTIME_ENVIRONMENT,P0,Java 25 toolchain; Gradle 9.1.0 distribution; dependency repositories,GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;STAB-016;STAB-017;STAB-018;STAB-021;STAB-023,BLOCKED_EXTERNAL_ENVIRONMENT,,NOT_EXECUTED,evidence/RUNTIME_ENVIRONMENT.txt,"Sandbox has Java 21 and DNS cannot resolve Gradle/Adoptium; full build, test, publication and release evidence cannot be produced."
S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S06,P1,cpf-starters/openapi-webmvc,STAB-028;CPF-WP-ARCH-STARTER-03-VERIFICATION_EVIDENCE;CPF-WP-REL-BUILD-03-VERIFICATION_EVIDENCE,PENDING_USER_DELETE_APPROVAL,,NOT_EXECUTED,evidence/STARTER_CATALOG_TRUTH_LIMITED.log,Catalog removed root remains physically present; project rules prohibit deletion without user approval.
S06-INT-CORE-CRYPTO-AGILITY,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S01,P0,cpf-core/src/main/java/com/cpf/core/api/security;cpf-core/src/main/java/com/cpf/core/spi;cpf-starters/security;cpf-tools/release,GAP-CRYPTO-AGILITY,PENDING_INTEGRATION_OWNER_IMPLEMENTATION,,SOURCE_GAP_CONFIRMED,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-CRYPTO-AGILITY,"Add algorithm/provider allowlist, envelope encryption, key-version/rekey, deprecated algorithm rejection, PQC readiness and release CBOM consumer/tests without placing provider runtime in cpf-core."
S06-INT-DATA-FIELD-ENCRYPTION,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S04,P0,cpf-core/src/main/java/com/cpf/core/api/data;cpf-common/src/main/java/com/cpf/common;cpf-tools/db/vendor/oracle;cpf-tools/db/vendor/postgresql;cpf-tools/db/vendor/mariadb,GAP-DATA-ENCRYPTION,PENDING_INTEGRATION_OWNER_IMPLEMENTATION,,SOURCE_GAP_CONFIRMED,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-DATA-ENCRYPTION,"Implement field/file classification, tokenization/searchability, key version/rekey, three-vendor migration/rollback and actual application/query consumers with masking and audit tests."
S06-INT-DATA-QUALITY-OPERATIONS,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S04,P1,cpf-core/src/main/java/com/cpf/core/api/data;cpf-common/src/main/java/com/cpf/common;cpf-admin/src/main/java/com/cpf/admin/opr;cpf-tools/db/vendor/oracle;cpf-tools/db/vendor/postgresql;cpf-tools/db/vendor/mariadb,GAP-DATA-QUALITY,PENDING_INTEGRATION_OWNER_IMPLEMENTATION,,SOURCE_GAP_CONFIRMED,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-DATA-QUALITY,"Implement validation rule lifecycle, quarantine ledger, correction approval/reason/audit, replay/reconcile and ADM operational consumer across all three vendors."
S06-INT-CORE-TIME-STANDARD,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S01,P1,cpf-core/src/main/java/com/cpf/core/api/time;cpf-core/src/main/java/com/cpf/core/spi/time;cpf-admin/src/main/java/com/cpf/admin/opr/health,GAP-TIME,PENDING_INTEGRATION_OWNER_IMPLEMENTATION,,SOURCE_GAP_CONFIRMED,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-TIME,"Implement UTC/business timezone, monotonic deadline clock, skew/NTP health, serialization, lease/audit semantics and deterministic TestClock/DST regression matrix."
S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,CPF-V9-INITIAL-FULL-REVIEW-20260805-2020-REV-007-DEVGPT-V9-S06,DEVGPT-V9-S03,P1,cpf-core/src/main/java/com/cpf/core/api/webhook;cpf-starters/integration/webhook;cpf-tools/generator;cpf-admin/src/main/java/com/cpf/admin/opr,GAP-WEBHOOK,PENDING_INTEGRATION_OWNER_IMPLEMENTATION,,SOURCE_GAP_CONFIRMED,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-WEBHOOK,"Implement signed callback contract, replay/SSRF protection, endpoint validation, ordered retry/DLQ delivery ledger, reconciliation, generated customer adapter and operational consumer."
