scenario_id,requirement_id,primary_work_item_id,canonical_requirement_ids,mapping_basis,manual_review_required
CPF-SC-000001,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000002,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000003,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000004,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000005,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000006,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000007,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000008,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000009,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000010,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000011,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
CPF-SC-000012,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,PARENT_REQUIREMENT_MAPPING,false
