work_item_id,priority,title,disposition,request_ids,development_status,verification_status,evidence_path
GAP-CRYPTO-AGILITY,P0,Crypto Agility·PQC Readiness,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-CORE-CRYPTO-AGILITY,미완료,미검증,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-CRYPTO-AGILITY
GAP-DATA-ENCRYPTION,P0,Field/File Encryption·Tokenization,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-DATA-FIELD-ENCRYPTION,미완료,미검증,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-DATA-ENCRYPTION
GAP-SESSION-BFF,P0,General Session/BFF,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-BROWSER-RELEASE-CONTRACT,미완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-SESSION-BFF
STAB-001,P0,OpenAPI 삭제 API 타입 불일치,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP,미완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#STAB-001
STAB-002,P0,Notification Rule raw URL 우회,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP,미완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#STAB-002
CPF-WP-TEST-BROWSER-01-GATE_ENGINE,P1,품질 Gate Engine,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-BROWSER-RELEASE-CONTRACT,완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#CPF-WP-TEST-BROWSER-01-GATE_ENGINE
CPF-WP-TEST-BROWSER-02-NEGATIVE_FIXTURES,P1,의도적 위반 Fixture,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-BROWSER-RELEASE-CONTRACT,완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#CPF-WP-TEST-BROWSER-02-NEGATIVE_FIXTURES
CPF-WP-TEST-BROWSER-03-INTEGRATION_ENFORCEMENT,P1,CI·Publication·Release 차단 연계,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-BROWSER-RELEASE-CONTRACT,완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#CPF-WP-TEST-BROWSER-03-INTEGRATION_ENFORCEMENT
GAP-DATA-QUALITY,P1,Data Quality·Quarantine·Correction,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-DATA-QUALITY-OPERATIONS,미완료,미검증,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-DATA-QUALITY
GAP-OPENAPI-PROFILE,P1,OpenAPI Supported Profile Lifecycle,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-APPROVAL-DUAL-PRIMARY,미완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-OPENAPI-PROFILE
GAP-TIME,P1,Time·Clock·Timezone Standard,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-CORE-TIME-STANDARD,미완료,미검증,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-TIME
GAP-WEBHOOK,P1,Webhook/Callback Delivery,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,미완료,미검증,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#GAP-WEBHOOK
STAB-027,P1,Frontend 외부 Runtime Asset 의존,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-BROWSER-RELEASE-CONTRACT,미완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#STAB-027
STAB-028,P1,Dead Code·Dual Primary·Stale Evidence,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-ADM-APPROVAL-DUAL-PRIMARY;S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT,미완료,실패,evidence/ATOMIC_WORK_ITEM_EVIDENCE.jsonl#STAB-028
GAP-NOTIFICATION,P1,Notification Delivery Engine,FORMALLY_TRANSFERRED_BLOCKED_OR_APPROVAL_PENDING,S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY,미완료,실패,evidence/S06_CAPABILITY_EVIDENCE_INDEX.json
