path,action,sha256,purpose,test_evidence
cpf-common/src/main/java/com/cpf/common/cache/CpfCacheInvalidationCoordinator.java,CREATE_OR_MODIFY,183262e406adf771647a021cb01bb6a23fe64b438242e20c1e8804546c306dfb,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-common/src/main/java/com/cpf/common/cache/CpfRedisProperties.java,CREATE_OR_MODIFY,5edbf677666997f0c7aeba862c896fa01b00e541122a9b0887ce751f5c887643,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-starters/data/cache-caffeine/src/main/java/com/cpf/starter/data/cache/caffeine/CpfCacheAutoConfiguration.java,CREATE_OR_MODIFY,f01aed00b21304e87b2e65759d84f439553119e2483582675f923e604746e5a7,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfRedisCompatibilityAutoConfiguration.java,CREATE_OR_MODIFY,ff26d9e1bfde8f000b38092b860ba3770285445a1ddb168cd62f3f046525a0ad,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyAutoConfiguration.java,CREATE_OR_MODIFY,40bd7d76fdc1adfacb37e913a06a9483c212a4f4c8a25e0049e900788cb2d0ca,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java,CREATE_OR_MODIFY,8968654610205b31dcb5e1839037503b1d267876bf8a4c340644f366d4edfa82,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/JdbcCpfCacheInvalidationStore.java,CREATE_OR_MODIFY,174513e05af3eeadc00e9822ab3761c8f3ca78837d22784a0f06b59f8b9e6b6e,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/ValkeyCpfCachePort.java,CREATE_OR_MODIFY,0914df01608b97e7656a3bbae0f3efd06768256b17fe21bd2fd677eec5853284,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/contracts/asyncapi/cpf-asyncapi-catalog.json,CREATE_OR_MODIFY,6272c227d1cdcd3954caf4649d72899fd3601bca3ec7ce85bc3d917739cd5454,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/contracts/asyncapi/cpf-broker.asyncapi.json,CREATE_OR_MODIFY,fed0eddea3bab1ce774b7566b143a9f951baee1f5162c1ab73db2f596a45c0f7,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/mariadb/install/05_cache_invalidation_ledger.sql,CREATE_OR_MODIFY,e8453de24aeb7d1119b4ffb13a7355c5078c805fad94f15f94d12e66c5612276,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/mariadb/migration/V101__cache_invalidation_ledger.sql,CREATE_OR_MODIFY,e8453de24aeb7d1119b4ffb13a7355c5078c805fad94f15f94d12e66c5612276,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/mariadb/pack.json,CREATE_OR_MODIFY,5ac97e25c75dfa4b135dbe6356b6ff5ff774dc080afaf063cb5a4733adb9af98,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/mariadb/rollback/R101__cache_invalidation_ledger.sql,CREATE_OR_MODIFY,c4a697c63d66d9439caf778b78c7920c00cf67369578ad8461ea48e0ea8286ff,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/mariadb/runtime/cache/cache_invalidation_queries.sql,CREATE_OR_MODIFY,86d9c023f7a8726e744523ff5799883097838ab8f311dc0d9eb9c1a5640bc861,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/mariadb/source/16_cache_invalidation_ledger.sql,CREATE_OR_MODIFY,e8453de24aeb7d1119b4ffb13a7355c5078c805fad94f15f94d12e66c5612276,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/mariadb/verify/101_verify_cache_invalidation_ledger.sql,CREATE_OR_MODIFY,63a10f6b7780badce026c7157bed7705122d6b4f4f9b8dc52c9ce3d92ee18f07,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/oracle/install/05_cache_invalidation_ledger.sql,CREATE_OR_MODIFY,1afa8e612d1e66641624c6ad4c53a7b0e58ab474806842c4a66c0576879ff079,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/oracle/migration/V101__cache_invalidation_ledger.sql,CREATE_OR_MODIFY,1afa8e612d1e66641624c6ad4c53a7b0e58ab474806842c4a66c0576879ff079,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
cpf-tools/db/vendor/oracle/pack.json,CREATE_OR_MODIFY,9a2bc730d3b5443278707ae618f27b5f3ad8b0477d7923804e1242972b4ae668,S06 product implementation/test change,evidence/S06_FINAL29_REGRESSION_SUMMARY.json
