request_id,requirement_id,canonical_requirement_id,primary_work_item_id,mapping_basis,mapping_score,manual_review_required,priority,owner_module,owner_package,acceptance_criteria
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,SEMANTIC_AXIS_SCORE,64,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 기능 목적·업무 결과 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004638,BAT-CORE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,SEMANTIC_AXIS_SCORE,78,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 Owner·경계 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004639,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,SEMANTIC_AXIS_SCORE,68,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 실제 Consumer 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004640,BAT-CORE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,SEMANTIC_AXIS_SCORE,78,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 Public API 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004641,BAT-CORE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,SEMANTIC_AXIS_SCORE,82,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 고객 확장 SPI 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004642,BAT-CORE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,SEMANTIC_AXIS_SCORE,66,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 Internal 구현 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004643,BAT-CORE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,SEMANTIC_AXIS_SCORE,74,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 입력 계약 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004644,BAT-CORE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,SEMANTIC_AXIS_SCORE,74,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 출력 계약 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004645,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,SEMANTIC_AXIS_SCORE,72,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 설정 계약 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-FR-004646,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,SEMANTIC_AXIS_SCORE,68,false,P0,cpf-batch,com.cpf.batch,Batch 개발자·운영자가 실제 제품 경로에서 검증 기능을 사용할 때 Spring Batch를 Job/Step/Repository/ExecutionContext/Restart 단일 Primary Engine으로 사용하고 자체 중복 실행 Engine을 제거한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
