request_id,work_item_id,canonical_requirement_id,priority,primary_owner,integration_owner,engineering_gates,dependencies,requirement_count,actual_source,actual_consumer,full_call_path,test_method_assertion,command_exit_code_actual_result,evidence_ref,development_status,verification_status,open_issue
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-AGENT-01-CONTRACT_OWNERSHIP,BAT-AGENT,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,,202,cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeCommand.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeHeartbeat.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeRegistration.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentController.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentCommandLedger.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/RuntimeControlProxy.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeCommandExecutor.java,cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeControlController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java; host agent runtime process,ADM approved runtime command -> RuntimeControlController -> RuntimeCommandExecutor -> RuntimeLifecycleService/AgentController -> AgentCommandLedger -> result aggregation/audit,AgentCommandLedgerTest; RuntimeControlProxyTest; RuntimeCommandIdentityTest; RuntimeCommandExecutorFailureClassificationTest; S02 runtime-command harness | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-AGENT_REVIEW.md,완료,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,BAT-AGENT,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,CPF-WP-BAT-AGENT-01-CONTRACT_OWNERSHIP,1,cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeCommand.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeHeartbeat.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeRegistration.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentController.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentCommandLedger.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/RuntimeControlProxy.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeCommandExecutor.java,cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeControlController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java; host agent runtime process,ADM approved runtime command -> RuntimeControlController -> RuntimeCommandExecutor -> RuntimeLifecycleService/AgentController -> AgentCommandLedger -> result aggregation/audit,AgentCommandLedgerTest; RuntimeControlProxyTest; RuntimeCommandIdentityTest; RuntimeCommandExecutorFailureClassificationTest; S02 runtime-command harness | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-AGENT_REVIEW.md,완료,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE,BAT-AGENT,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,CPF-WP-BAT-AGENT-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER,75,cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeCommand.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeHeartbeat.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeRegistration.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentController.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentCommandLedger.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/RuntimeControlProxy.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeCommandExecutor.java,cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeControlController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java; host agent runtime process,ADM approved runtime command -> RuntimeControlController -> RuntimeCommandExecutor -> RuntimeLifecycleService/AgentController -> AgentCommandLedger -> result aggregation/audit,AgentCommandLedgerTest; RuntimeControlProxyTest; RuntimeCommandIdentityTest; RuntimeCommandExecutorFailureClassificationTest; S02 runtime-command harness | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-AGENT_REVIEW.md,완료,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-AGENT-04-FAILURE_RECOVERY,BAT-AGENT,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,CPF-WP-BAT-AGENT-01-CONTRACT_OWNERSHIP,40,cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeCommand.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeHeartbeat.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeRegistration.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentController.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentCommandLedger.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/RuntimeControlProxy.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeCommandExecutor.java,cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeControlController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java; host agent runtime process,ADM approved runtime command -> RuntimeControlController -> RuntimeCommandExecutor -> RuntimeLifecycleService/AgentController -> AgentCommandLedger -> result aggregation/audit,AgentCommandLedgerTest; RuntimeControlProxyTest; RuntimeCommandIdentityTest; RuntimeCommandExecutorFailureClassificationTest; S02 runtime-command harness | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-AGENT_REVIEW.md,완료,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-AGENT-05-GENERATION_COMPATIBILITY,BAT-AGENT,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-17-SUPPLY-CHAIN;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,CPF-WP-BAT-AGENT-01-CONTRACT_OWNERSHIP,0,cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeCommand.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeHeartbeat.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeRegistration.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentController.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentCommandLedger.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/RuntimeControlProxy.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeCommandExecutor.java,cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeControlController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java; host agent runtime process,ADM approved runtime command -> RuntimeControlController -> RuntimeCommandExecutor -> RuntimeLifecycleService/AgentController -> AgentCommandLedger -> result aggregation/audit,AgentCommandLedgerTest; RuntimeControlProxyTest; RuntimeCommandIdentityTest; RuntimeCommandExecutorFailureClassificationTest; S02 runtime-command harness | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-AGENT_REVIEW.md,재확인 필요,재확인 필요,
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CALL-ASYNC-01-CONTRACT_OWNERSHIP,BAT-CALL-ASYNC,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,,5,cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaRemoteConfiguration.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaInboundBridge.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaManagerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaWorkerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfKafkaOutboundMessageChannel.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcCpfBatchRemoteMessageLedger.java,Manager/worker Spring Batch steps and Kafka listeners,Manager -> canonical envelope/outbound channel -> Kafka -> worker listener/handler -> result topic -> manager listener -> message ledger/step completion,CpfBatchKafkaInboundBridgeAttemptOwnerTest; CpfBatchKafkaWorkerListenerAckBoundaryTest; JdbcCpfBatchRemoteMessageLedgerTest; CpfBatchRemoteCodecTest | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-CALL-ASYNC_REVIEW.md,완료,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CALL-ASYNC-02-IMPLEMENTATION_CONSUMER,BAT-CALL-ASYNC,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-CALL-ASYNC-01-CONTRACT_OWNERSHIP,0,cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaRemoteConfiguration.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaInboundBridge.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaManagerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaWorkerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfKafkaOutboundMessageChannel.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcCpfBatchRemoteMessageLedger.java,Manager/worker Spring Batch steps and Kafka listeners,Manager -> canonical envelope/outbound channel -> Kafka -> worker listener/handler -> result topic -> manager listener -> message ledger/step completion,CpfBatchKafkaInboundBridgeAttemptOwnerTest; CpfBatchKafkaWorkerListenerAckBoundaryTest; JdbcCpfBatchRemoteMessageLedgerTest; CpfBatchRemoteCodecTest | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-CALL-ASYNC_REVIEW.md,부분 구현,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required; ICR-V9-S02-S04-0002 and S05: durable async UNKNOWN explicit reconcile/query/UI pending; ICR-V9-S02-S04-0002: three-vendor SQL/catalog/schema integration pending; ICR-V9-S02-S05-0001: generated client/UI/E2E pending
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE,BAT-CALL-ASYNC,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-CALL-ASYNC-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-CALL-ASYNC-02-IMPLEMENTATION_CONSUMER,51,cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaRemoteConfiguration.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaInboundBridge.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaManagerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaWorkerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfKafkaOutboundMessageChannel.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcCpfBatchRemoteMessageLedger.java,Manager/worker Spring Batch steps and Kafka listeners,Manager -> canonical envelope/outbound channel -> Kafka -> worker listener/handler -> result topic -> manager listener -> message ledger/step completion,CpfBatchKafkaInboundBridgeAttemptOwnerTest; CpfBatchKafkaWorkerListenerAckBoundaryTest; JdbcCpfBatchRemoteMessageLedgerTest; CpfBatchRemoteCodecTest | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-CALL-ASYNC_REVIEW.md,부분 구현,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required; ICR-V9-S02-S04-0002 and S05: durable async UNKNOWN explicit reconcile/query/UI pending; ICR-V9-S02-S04-0002: three-vendor SQL/catalog/schema integration pending; ICR-V9-S02-S05-0001: generated client/UI/E2E pending
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CALL-ASYNC-04-FAILURE_RECOVERY,BAT-CALL-ASYNC,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-04-EVENT-API;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-CALL-ASYNC-01-CONTRACT_OWNERSHIP,5,cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaRemoteConfiguration.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaInboundBridge.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaManagerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaWorkerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfKafkaOutboundMessageChannel.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcCpfBatchRemoteMessageLedger.java,Manager/worker Spring Batch steps and Kafka listeners,Manager -> canonical envelope/outbound channel -> Kafka -> worker listener/handler -> result topic -> manager listener -> message ledger/step completion,CpfBatchKafkaInboundBridgeAttemptOwnerTest; CpfBatchKafkaWorkerListenerAckBoundaryTest; JdbcCpfBatchRemoteMessageLedgerTest; CpfBatchRemoteCodecTest | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-CALL-ASYNC_REVIEW.md,부분 구현,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required; ICR-V9-S02-S04-0002 and S05: durable async UNKNOWN explicit reconcile/query/UI pending; ICR-V9-S02-S04-0002: three-vendor SQL/catalog/schema integration pending; ICR-V9-S02-S05-0001: generated client/UI/E2E pending
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CALL-SYNC-01-CONTRACT_OWNERSHIP,BAT-CALL-SYNC,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,,5,cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfSynchronousWorkerChannel.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfRemoteChunkItemProcessor.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfRemoteChunkItemWriter.java,CpfBatchTasklet; CpfRemoteWorkerTasklet; SpringBatchWorkerStepHandler,Manager step -> synchronous worker channel -> worker handler -> response -> chunk processor/writer -> Spring Batch commit boundary,CpfSynchronousWorkerChannelTest; CpfRemoteChunkItemProcessorTest; CpfBatchRemoteCodecTest | all mapped CPF-FR/CPF-SC rows individually judged,exact-ID/anchor validation exit 0; center/claim/scheduler/runtime/async/host/reconcile harnesses exit 0; target environment recheck pending,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-CALL-SYNC_REVIEW.md,완료,재확인 필요,Java25/Gradle/DB/Broker/Browser target environment recheck required
