request_id,scenario_id,linked_requirement_id,canonical_requirement_id,primary_work_item_id,mapping_basis,manual_review_required,priority,scenario_type,title,expected_result,failure_criteria
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000913,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,POSITIVE,[BAT-CORE] 정상 수직 흐름,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000914,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,INVALID,[BAT-CORE] 입력·경계 오류,표준 field/path 오류·side effect 0,500/raw exception/부분 저장
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000915,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,UNAUTHORIZED,[BAT-CORE] 미인증·권한 부족,Server 거부·Audit·민감정보 0,버튼만 숨김/default allow
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000916,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,CONFLICT,[BAT-CORE] Version·Hash 충돌,409·기존 결과 보존·lost update 0,후행 요청 덮어씀
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000917,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,DUPLICATE,[BAT-CORE] 중복 요청,"동일 replay, 다른 payload conflict",side effect 2회
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000918,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,TIMEOUT_PRE,[BAT-CORE] Side effect 전 Timeout,retryable failure·side effect 0,UNKNOWN/성공 오인
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000919,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,RESPONSE_LOSS,[BAT-CORE] Side effect 후 응답 유실,UNKNOWN·blind retry 금지·reconcile,자동 실패/무조건 retry
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000920,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,PARTIAL,[BAT-CORE] 부분 실패,개별 성공/실패/unknown 보존,전체 성공/실패로 축약
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000921,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,PROCESS_KILL,[BAT-CORE] Process Kill·Restart,lease 회수·stale fencing·복구,고아 상태·중복
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-SC-000922,CPF-FR-004637,BAT-CORE,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,PARENT_REQUIREMENT_MAPPING,false,P0,MULTI_INSTANCE,[BAT-CORE] 다중 Instance,version/state 일치·중복 0,local state 의존
