request_id,canonical_requirement_id,work_item_count,requirement_count,scenario_count,primary_owner,integration_owner,work_item_ids
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-CORE,4,285,492,cpf-batch,DEVGPT-V9-S02,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER;CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE;CPF-WP-BAT-CORE-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-JOB,5,99,136,cpf-batch,DEVGPT-V9-S02,CPF-WP-BAT-JOB-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-JOB-02-IMPLEMENTATION_CONSUMER;CPF-WP-BAT-JOB-03-VERIFICATION_EVIDENCE;CPF-WP-BAT-JOB-04-FAILURE_RECOVERY;CPF-WP-BAT-JOB-05-DATA_MIGRATION
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-ITEM,4,99,136,cpf-batch,DEVGPT-V9-S02,CPF-WP-BAT-ITEM-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-ITEM-02-IMPLEMENTATION_CONSUMER;CPF-WP-BAT-ITEM-03-VERIFICATION_EVIDENCE;CPF-WP-BAT-ITEM-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-EXECUTOR,5,61,72,cpf-batch,DEVGPT-V9-S02,CPF-WP-BAT-EXECUTOR-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-EXECUTOR-02-IMPLEMENTATION_CONSUMER;CPF-WP-BAT-EXECUTOR-03-VERIFICATION_EVIDENCE;CPF-WP-BAT-EXECUTOR-04-FAILURE_RECOVERY;CPF-WP-BAT-EXECUTOR-05-OPERATIONS_SECURITY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-AGENT,5,318,543,cpf-batch,DEVGPT-V9-S02,CPF-WP-BAT-AGENT-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-AGENT-02-IMPLEMENTATION_CONSUMER;CPF-WP-BAT-AGENT-03-VERIFICATION_EVIDENCE;CPF-WP-BAT-AGENT-04-FAILURE_RECOVERY;CPF-WP-BAT-AGENT-05-GENERATION_COMPATIBILITY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-CALL-SYNC,4,61,72,cpf-batch,DEVGPT-V9-S02,CPF-WP-BAT-CALL-SYNC-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-CALL-SYNC-02-IMPLEMENTATION_CONSUMER;CPF-WP-BAT-CALL-SYNC-03-VERIFICATION_EVIDENCE;CPF-WP-BAT-CALL-SYNC-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-CALL-ASYNC,4,61,72,cpf-batch,DEVGPT-V9-S02,CPF-WP-BAT-CALL-ASYNC-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-CALL-ASYNC-02-IMPLEMENTATION_CONSUMER;CPF-WP-BAT-CALL-ASYNC-03-VERIFICATION_EVIDENCE;CPF-WP-BAT-CALL-ASYNC-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-SHARED,6,61,72,cpf-batch,DEVGPT-V9-S02,CPF-WP-BAT-SHARED-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-SHARED-02-IMPLEMENTATION_CONSUMER;CPF-WP-BAT-SHARED-03-VERIFICATION_EVIDENCE;CPF-WP-BAT-SHARED-04-FAILURE_RECOVERY;CPF-WP-BAT-SHARED-05-OPERATIONS_SECURITY;CPF-WP-BAT-SHARED-06-GENERATION_COMPATIBILITY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-CORE,4,253,432,cpf-batch,DEVGPT-V9-S02,CPF-WP-CENTER-CORE-01-CONTRACT_OWNERSHIP;CPF-WP-CENTER-CORE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CENTER-CORE-03-VERIFICATION_EVIDENCE;CPF-WP-CENTER-CORE-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-RUNNER,4,61,72,cpf-batch,DEVGPT-V9-S02,CPF-WP-CENTER-RUNNER-01-CONTRACT_OWNERSHIP;CPF-WP-CENTER-RUNNER-02-IMPLEMENTATION_CONSUMER;CPF-WP-CENTER-RUNNER-03-VERIFICATION_EVIDENCE;CPF-WP-CENTER-RUNNER-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-PARAM,6,61,72,cpf-batch,DEVGPT-V9-S02,CPF-WP-CENTER-PARAM-01-CONTRACT_OWNERSHIP;CPF-WP-CENTER-PARAM-02-IMPLEMENTATION_CONSUMER;CPF-WP-CENTER-PARAM-03-VERIFICATION_EVIDENCE;CPF-WP-CENTER-PARAM-04-FAILURE_RECOVERY;CPF-WP-CENTER-PARAM-05-DATA_MIGRATION;CPF-WP-CENTER-PARAM-06-GENERATION_COMPATIBILITY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-CLAIM,4,80,104,cpf-batch,DEVGPT-V9-S02,CPF-WP-CENTER-CLAIM-01-CONTRACT_OWNERSHIP;CPF-WP-CENTER-CLAIM-02-IMPLEMENTATION_CONSUMER;CPF-WP-CENTER-CLAIM-03-VERIFICATION_EVIDENCE;CPF-WP-CENTER-CLAIM-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-RATE,4,82,106,cpf-batch,DEVGPT-V9-S02,CPF-WP-CENTER-RATE-01-CONTRACT_OWNERSHIP;CPF-WP-CENTER-RATE-02-IMPLEMENTATION_CONSUMER;CPF-WP-CENTER-RATE-03-VERIFICATION_EVIDENCE;CPF-WP-CENTER-RATE-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-REPROCESS,4,84,108,cpf-batch,DEVGPT-V9-S02,CPF-WP-CENTER-REPROCESS-01-CONTRACT_OWNERSHIP;CPF-WP-CENTER-REPROCESS-02-IMPLEMENTATION_CONSUMER;CPF-WP-CENTER-REPROCESS-03-VERIFICATION_EVIDENCE;CPF-WP-CENTER-REPROCESS-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-UNKNOWN,5,80,104,cpf-batch,DEVGPT-V9-S02,CPF-WP-CENTER-UNKNOWN-01-CONTRACT_OWNERSHIP;CPF-WP-CENTER-UNKNOWN-02-IMPLEMENTATION_CONSUMER;CPF-WP-CENTER-UNKNOWN-03-VERIFICATION_EVIDENCE;CPF-WP-CENTER-UNKNOWN-04-FAILURE_RECOVERY;CPF-WP-CENTER-UNKNOWN-05-OPERATIONS_SECURITY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-OPS,4,61,72,cpf-batch,DEVGPT-V9-S02,CPF-WP-CENTER-OPS-01-CONTRACT_OWNERSHIP;CPF-WP-CENTER-OPS-02-IMPLEMENTATION_CONSUMER;CPF-WP-CENTER-OPS-03-VERIFICATION_EVIDENCE;CPF-WP-CENTER-OPS-04-FAILURE_RECOVERY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,OPS-METRIC,6,328,569,cpf-admin control plane + runtime owner,DEVGPT-V9-S02,CPF-WP-OPS-METRIC-01-CONTRACT_OWNERSHIP;CPF-WP-OPS-METRIC-02-IMPLEMENTATION_CONSUMER;CPF-WP-OPS-METRIC-03-VERIFICATION_EVIDENCE;CPF-WP-OPS-METRIC-04-FAILURE_RECOVERY;CPF-WP-OPS-METRIC-05-OPERATIONS_SECURITY;CPF-WP-OPS-METRIC-06-DATA_MIGRATION
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,OPS-SLO,5,80,104,cpf-admin control plane + runtime owner,DEVGPT-V9-S02,CPF-WP-OPS-SLO-01-CONTRACT_OWNERSHIP;CPF-WP-OPS-SLO-02-IMPLEMENTATION_CONSUMER;CPF-WP-OPS-SLO-03-VERIFICATION_EVIDENCE;CPF-WP-OPS-SLO-04-FAILURE_RECOVERY;CPF-WP-OPS-SLO-05-OPERATIONS_SECURITY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,OPS-ALERT,5,82,106,cpf-admin control plane + runtime owner,DEVGPT-V9-S02,CPF-WP-OPS-ALERT-01-CONTRACT_OWNERSHIP;CPF-WP-OPS-ALERT-02-IMPLEMENTATION_CONSUMER;CPF-WP-OPS-ALERT-03-VERIFICATION_EVIDENCE;CPF-WP-OPS-ALERT-04-FAILURE_RECOVERY;CPF-WP-OPS-ALERT-05-OPERATIONS_SECURITY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,OPS-INCIDENT,5,61,72,cpf-admin control plane + runtime owner,DEVGPT-V9-S02,CPF-WP-OPS-INCIDENT-01-CONTRACT_OWNERSHIP;CPF-WP-OPS-INCIDENT-02-IMPLEMENTATION_CONSUMER;CPF-WP-OPS-INCIDENT-03-VERIFICATION_EVIDENCE;CPF-WP-OPS-INCIDENT-04-FAILURE_RECOVERY;CPF-WP-OPS-INCIDENT-05-OPERATIONS_SECURITY
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,OPS-RUNBOOK,5,82,106,cpf-admin control plane + runtime owner,DEVGPT-V9-S02,CPF-WP-OPS-RUNBOOK-01-CONTRACT_OWNERSHIP;CPF-WP-OPS-RUNBOOK-02-IMPLEMENTATION_CONSUMER;CPF-WP-OPS-RUNBOOK-03-VERIFICATION_EVIDENCE;CPF-WP-OPS-RUNBOOK-04-FAILURE_RECOVERY;CPF-WP-OPS-RUNBOOK-05-OPERATIONS_SECURITY
