request_id,work_item_id,canonical_requirement_id,priority,primary_owner,integration_owner,applicable_gates,dependencies,ledger_part
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,BAT-CORE,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,BAT-CORE,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CORE-03-VERIFICATION_EVIDENCE,BAT-CORE,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-CORE-02-IMPLEMENTATION_CONSUMER,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-CORE-04-FAILURE_RECOVERY,BAT-CORE,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-CORE-01-CONTRACT_OWNERSHIP,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-JOB-01-CONTRACT_OWNERSHIP,BAT-JOB,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-JOB-02-IMPLEMENTATION_CONSUMER,BAT-JOB,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-JOB-01-CONTRACT_OWNERSHIP,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-JOB-03-VERIFICATION_EVIDENCE,BAT-JOB,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-JOB-01-CONTRACT_OWNERSHIP;CPF-WP-BAT-JOB-02-IMPLEMENTATION_CONSUMER,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-JOB-04-FAILURE_RECOVERY,BAT-JOB,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-JOB-01-CONTRACT_OWNERSHIP,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-JOB-05-DATA_MIGRATION,BAT-JOB,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,CPF-WP-BAT-JOB-01-CONTRACT_OWNERSHIP,40_BATCH_AGENT_WORKER.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CPF-WP-BAT-ITEM-01-CONTRACT_OWNERSHIP,BAT-ITEM,P1,cpf-batch,DEVGPT-V9-S02,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,,40_BATCH_AGENT_WORKER.md
