runtime_id,title,qa_status,basis_sha,attempt_or_constraint,rerun_command,success_expected,failure_criteria,required_evidence
RUNTIME-01,Java25 + Gradle9.1 clean build/test/publication/regeneration zero-diff,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Local Java=21; gradle command missing (exit 127); pwsh missing (exit 127); clean clone failed DNS (exit 128).,./cpf-tools/verification/final-dev/run-r6-release-gates.ps1 -ExpectedHead b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb -Release -RunBrowser -RunDb3 -RunMultiprocess,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-02,Oracle/PostgreSQL/MariaDB live install→upgrade→runtime query→rollback→reapply,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No live DB3 profiles/credentials/endpoints; pwsh absent.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-03,ADM authenticated Chromium/Firefox/WebKit,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No current checkout/browser runtime URLs/auth-state fixtures.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-04,BZA authenticated Chromium/Firefox/WebKit,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No current checkout/browser runtime URLs/auth-state fixtures.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-05,Approval 2+ instance process-kill/UNKNOWN reconcile,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No 2+ instance runtime/DB/process-kill harness.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-06,Broker/network/DB-finalization fault injection,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No broker/chaos DB/network harness.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-07,Performance/resource/backpressure,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No live resource/broker/batch/performance probe endpoints.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-08,Security semantic negative corpus,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No authenticated security corpus/token/alternate tenant runtime.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-09,DR/backup/restore/RPO/RTO,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No DB backup/restore credentials or independent DR chaos target.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-10,Generator create→runtime→remove→regenerate,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No clean exact-SHA checkout/Java25/Gradle/DB runtime.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-11,Full ADM operation closure + runtime OpenAPI/client,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Static source inspected; runtime OpenAPI files/browser/backend not available.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-12,Independent Codex review,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No independent Codex worker result was produced in this QA execution.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
RUNTIME-13,Online/Batch/Remote/Message/File transaction/logging end-to-end lineage,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,No live multi-domain runtime spanning required sources.,Use current release workflow/gate with the axis-specific required environment variables and exact HEAD.,"Exit 0 and immutable current-SHA evidence artifact proving the stated behavior, not READY/PLANNED/booleans.","Non-zero exit, missing evidence, wrong SHA, self-attested/synthetic evidence, or unexecuted required scenario.","command, environment, start/end, exit code, sourceSha, measured/runtime result, artifact SHA-256"
